root_symbol,root_symbol,exchange,name_x,name_y,multiplier,tick_size
0D,0D,NYMEX,Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures,Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts),100,0.01
0F,0F,NYMEX,Mini Singapore Fuel Oil 180 cst (Platts) Futures,,,
1N,1N,NYMEX,Singapore Mogas 92 Unleaded (Platts) Futures,,,
1NB,1NB,NYMEX,Singapore Mogas 92 Unleaded (Platts) Brent Crack Spread Futures,,,
1R,1R,NYMEX,Propane Non-LDH Mont Belvieu (OPIS) Futures,,,
1U,1U,NYMEX,NY Jet Fuel (Platts) vs. NY Harbor ULSD Futures,,,
46,46,NYMEX,PJM METED Zone Off-Peak Calendar-Month Day-Ahead LMP Futures,,,
47,47,NYMEX,PJM METED Zone Peak Calendar-Month Day-Ahead LMP Futures,,,
4L,4L,NYMEX,NYISO Zone F 5 MW Peak Calendar-Month Day-Ahead LBMP Futures,,,
4M,4M,NYMEX,NYISO Zone F 5 MW Off-Peak Calendar-Month Day-Ahead LBMP Futures,,,
4N,4N,NYMEX,PJM PECO Zone 5 MW Peak Calendar-Month Day-Ahead LMP Futures,,,
4P,4P,NYMEX,PJM PECO Zone 5 MW Off-Peak Calendar-Month Day-Ahead LMP Futures,,,
58,58,NYMEX,NYISO Zone E 5 MW Off-Peak Calendar-Month Day-Ahead LBMP Futures,,,
5C,5C,NYMEX,Chicago ULSD (Platts) vs. NY Harbor ULSD Futures,Chicago ULSD (Platts) vs. NY Harbor ULSD,42000,0.01
5Z,5Z,NYMEX,Columbia Gulf Mainline Natural Gas (Platts IFERC) Basis Futures,,,
6T,6T,NYMEX,In Delivery Month European Union Allowance (EUA) Futures,In Delivery Month EUA,1000,0.25
6Z,6Z,NYMEX,Tennessee 800 Leg Natural Gas (Platts IFERC) Basis Futures,Tennessee 800 Basis,2500,0.25
71,71,CBT,Ethanol Forward Month Futures,,,
7H,7H,NYMEX,Gasoline Euro-bob Oxy NWE Barges (Argus) Futures,,,
7K,7K,NYMEX,Gasoline Euro-bob Oxy NWE Barges (Argus) Crack Spread Futures,Gasoline Euro-bob Oxy NWE Barges (Argus) Crack Spread,1000,0.01
7Q,7Q,NYMEX,Mont Belvieu Natural Gasoline (OPIS) Futures,Mont Belvieu Natural Gasoline (OPIS) Swap Futures,42000,0.01
7Y,7Y,NYMEX,NY ULSD (Argus) vs. NY Harbor ULSD Futures,,,
8I,8I,NYMEX,Mont Belvieu Iso-Butane (OPIS) Futures,Mont Belvieu Iso-Butane (OPIS) Swap Futures,42000,0.01
8Z,8Z,NYMEX,Southern Star Tx.-Okla.-Kan. Natural Gas (Platts IFERC) Basis Futures,Southern Star Basis,2500,0.25
9F,9F,NYMEX,Texas Gas Zone 1 Natural Gas (Platts IFERC) Basis Futures,,,
A3,A3,NYMEX,NYISO Zone C 5 MW Off-Peak Calendar-Month Day-Ahead LBMP Futures,,,
A5,A5,NYMEX,EIA Flat Tax On-Highway Diesel Futures,,,
A6,A6,NYMEX,Group Three ULSD (Platts) vs. NY Harbor ULSD Futures,Group Three ULSD (Platts) vs. NY Harbor ULSD,42000,0.01
ABY,ABY,NYMEX,WTI-Brent Bullet Futures,,,
AD,AD,CME,Australian Dollar Futures,,,
AFF,AFF,NYMEX,WTI Midland (Argus) vs. WTI Financial Futures,,,
AGA,AGA,NYMEX,Singapore Gasoil (Platts) vs. Gasoil Futures,,,
ARW,ARW,NYMEX,Gulf Coast Unl 87 Gasoline M1 (Platts) Crack Spread Futures,,,
AW,AW,CBT,Dow Jones-UBS Commodity Index Futures,Bloomberg Commodity Index (DJ UBS Commodity Index),100,0.01
B0,B0,NYMEX,Mont Belvieu LDH Propane (OPIS) Futures,Mont Belvieu LDH Propane (OPIS) Swap Futures,42000,0.01
B3,B3,NYMEX,PJM Northern Illinois Hub 5 MW Peak Calendar-Month Real-Time LMP Futures,,,
B4,B4,NYMEX,Algonquin City-Gates Natural Gas (Platts IFERC) Basis Futures,Algonguin NGas Basis,2500,0.25
B6,B6,NYMEX,PJM Northern Illinois Hub Real-Time Off-Peak Calendar-Month 5 MW Futures,PJM Northern Illinois Hub Real-Time Off-Peak,5,0.01
BB,BB,NYMEX,Brent Crude Oil Futures,,,
BK,BK,NYMEX,WTI-Brent Financial Futures,WTI-Brent Calendar Swap,1000,0.01
BO,BO,CBT,Soybean Oil Futures,Soybean Oil,600,0.01
BOB,BOB,NYMEX,3.5% Fuel Oil Barges FOB Rdam (Platts) Crack Spread (1000mt) Futures,,,
BP,BP,CME,British Pound Futures,British Pound,62500,0.01
BR,BR,CME,Brazilian Real Futures,Brazilian Real,100000,0.01
BY,BY,CME,British Pound/Japanese Yen Futures,,1000,0.01
BZ,BZ,NYMEX,Brent Crude Oil Financial Futures,,42000,0.01
C,C,CBT,Corn Futures,Corn,50,0.02
C0,C0,NYMEX,Mont Belvieu Ethane (OPIS) Futures,Mont Belvieu Ethane (OPIS) Swap Futures,42000,0.01
CB,CB,CME,Cash-settled Butter Futures,Cash Settled Butter,200,0.025
CD,CD,CME,Canadian Dollar Futures,Canadian Dollar,100000,0.05
CI,CI,NYMEX,CIG Rockies Natural Gas (Platts IFERC) Basis Futures,,500,0.05
CL,CL,NYMEX,Crude Oil Futures,Crude Oil,1000,0.01
CNH,CNH,CME,Standard-Size USD/Offshore RMB (CNH) Futures,USD/Offshore RMB(CNH),100000,0.01
CPO,CPO,CME,Crude Palm Oil Futures,Crude Palm Oil,25,0.25
CS,CS,NYMEX,WTI Financial Futures,WTI Calendar Spread,1000,0.01
CSC,CSC,CME,Cash-Settled Cheese Futures,Cash Settled Cheese,20000,0.01
CU,CU,NYMEX,Chicago Ethanol (Platts) Futures,,,
CY,CY,NYMEX,Brent Financial Futures,,,
CZ,CZ,NYMEX,Transco Zone 3 Natural Gas (Platts IFERC) Basis Futures,Transco Zone 3 Natural Gas Basis,2500,0.01
D0,D0,NYMEX,Mont Belvieu Normal Butane (OPIS) Futures,Mont Belvieu Normal Butane (OPIS) Swap Futures,42000,0.01
D2,D2,NYMEX,NYISO Zone G Day-Ahead Off-Peak Calendar-Month 5 MW Futures,,,
D3,D3,NYMEX,NYISO Zone J Day-Ahead Peak Calendar-Month 5 MW Futures,,,
D4,D4,NYMEX,NYISO Zone J Day-Ahead Off-Peak Calendar-Month 5 MW Futures,NYISO Zone J Day-Ahead Off-Peak,5,0.01
D6,D6,NYMEX,PJM Duquesne Zone 5 MW Off-Peak Calendar-Month Day-Ahead LMP Futures,,,
D7,D7,NYMEX,PJM AEP Dayton Hub Day-Ahead LMP Peak Calendar-Month 5 MW Futures,,,
D8,D8,NYMEX,PJM ComEd Zone 5 MW Peak Calendar-Month Day-Ahead LMP Futures,,,
D9,D9,NYMEX,PJM ComEd Zone 5 MW Off-Peak Calendar-Month Day-Ahead LMP Futures,PJM ComEd Zone Off-Peak Day-Ahead LMP,5,0.01
DA,DA,CME,Class III Milk Futures,Class III Milk,2000,0.01
DB,DB,NYMEX,Brent Crude Oil vs. Dubai Crude Oil (Platts) Futures,,,
DC,DC,NYMEX,Dubai Crude Oil (Platts) Financial Futures,Dubai Crude Cal Swap,1000,0.01
