,root,url,Product Code,Settlement Method,Price Quotation,Contract Unit,Minimum Price Fluctuation,Termination Of Trading,Trading Hours
0,0D,http://www.cmegroup.com/trading/energy/refined-products/mini-european-35pct-fuel-oil-platts-barges-fob-rdam-swap-futures_contract_specifications.html,CME Globex: A0DCME ClearPort: 0DClearing: 0D ,Financially Settled ,U.S. dollars and cents per metric ton ,100 metric tons ,$0.001 per metric ton ,Trading shall cease on the last business day of the contract month. ,CME Globex: 
1,0F,http://www.cmegroup.com/trading/energy/refined-products/mini-singapore-fuel-oil-180-cst-platts-swap-futures_contract_specifications.html,CME Globex: A0FCME ClearPort: 0FClearing: 0F ,Financially Settled ,U.S. dollars and cents per metric ton ,100 metric tons ,$0.001 per metric ton ,Trading shall cease on the last business day of the contract month. ,CME Globex: 
2,1N,http://www.cmegroup.com/trading/energy/refined-products/singapore-mogas-92-unleaded-platts-swap-futures_contract_specifications.html,CME Globex: N1BCME ClearPort: 1NClearing: 1N ,Financially Settled ,U.S. dollars and cents per barrel ,"1,000 barrels ",$0.001 per barrel ,Trading shall cease on the last business day of the contract month. ,CME Globex: 
3,1NB,http://www.cmegroup.com/trading/energy/refined-products/singapore-mogas-92-unleaded-platts-brent-crack-spread-swap-futures_contract_specifications.html,CME Globex: D1NCME ClearPort: 1NBClearing: 1NB ,Financially Settled ,U.S. dollars and cents per barrel ,"1,000 barrels ",$0.001 per barrel ,Trading shall cease on the last business day of the contract month. ,CME Globex: 
4,1R,http://www.cmegroup.com/trading/energy/petrochemicals/propane-non-ldh-mt-belvieu-opis-swap_contract_specifications.html,CME Globex: A1RCME ClearPort: 1RClearing: 1R ,Financially Settled ,U.S. dollars and cents per gallon ,"42,000 gallons ",$0.00001 per gallon ,Trading shall cease on the last business day of the contract month. ,CME Globex: 
5,1U,http://www.cmegroup.com/trading/energy/refined-products/new-york-jet-fuel-platt-vs-heating-oil-swap_contract_specifications.html,CME Globex: A1UCME ClearPort: 1UClearing: 1U ,Financially Settled ,U.S. dollars and cents per gallon ,"42,000 U.S. gallons ",$0.0001 per gallon ,Trading shall cease on the last business day of the contract month. ,CME Globex: 
6,46,http://www.cmegroup.com/trading/energy/electricity/pjm-meted-zone-off-peak-calendar-month-day-ahead-lmp-swap-futures_contract_specifications.html,CME Globex: A46CME ClearPort: 46Clearing: 46 ,Financially Settled ,The contract quantity shall be 5 Megawatts hours (MWh). Transaction sizes for trading in any delivery month shall be restricted to whole number multiples of the number of off-peak hours in the month. ,5 Megawatts hours (MWh) ,$0.05 per MWh ,CME Globex: ,CME Globex: 
7,47,http://www.cmegroup.com/trading/energy/electricity/pjm-meted-zone-peak-calendar-month-day-ahead-lmp-swap-futures_contract_specifications.html,CME Globex: A47CME ClearPort: 47Clearing: 47 ,Financially Settled ,The contract quantity shall be 80 Megawatt Hours (MWH) and is based on 5 megawatts for peak daily hours. Transaction sizes for trading in any delivery month shall be restricted to whole number multiples of the number of peak days in the contract month. ,5 MWh ,$0.05 per MWh ,CME Globex: ,CME Globex: 
8,4L,http://www.cmegroup.com/trading/energy/electricity/nyiso-zone-f-5-mw-peak-calendar-month-day-ahead-lbmp-swap-futures_contract_specifications.html,CME Globex: A4LCME ClearPort: 4LClearing: 4L ,Financially Settled ,The contract quantity shall be 80 Megawatt Hours (MWh) and is based on 5 megawatts for peak daily hours. Transaction sizes for trading in any delivery month shall be restricted to whole number multiples of the number of peak days in the contract month. ,5 MWh ,$0.05 per MWh ,CME Globex: ,CME Globex: 
9,4M,http://www.cmegroup.com/trading/energy/electricity/nyiso-zone-f-5-mw-off-peak-calendar-month-day-ahead-lbmp-swap-futures_contract_specifications.html,CME Globex: A4M ,Financially Settled ,The contract quantity shall be 5 MWh. Transaction sizes for trading in any delivery month shall be restricted to whole number multiples of the number of off-peak hours in the month. ,5 Megawatts hours (MWh) ,$0.05 per MWh ,CME Globex: ,CME Globex: 
10,4N,http://www.cmegroup.com/trading/energy/electricity/pjm-peco-zone-5-mw-peak-calendar-month-day-ahead-lmp-swap-futures_contract_specifications.html,CME Globex: A4NCME ClearPort: 4NClearing: 4N ,Financially Settled ,The contract quantity shall be 80 Megawatt Hours (MWH) and is based on 5 megawatts for peak daily hours. Transaction sizes for trading in any delivery month shall be restricted to whole number multiples of the number of peak days in the contract month. ,5 MWh ,$0.05 ,CME Globex: ,CME Globex: 
