,code,name,description,refreshed_at,from_date,to_date,year,root
3,0DF2018,"Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures, January 2018 (0DF2018)",http://www.cmegroup.com/trading/energy/refined-products/mini-european-35pct-fuel-oil-platts-barges-fob-rdam-swap-futures_product_calendar_futures.html,2018-02-03 01:07:36,2014-11-21,2018-02-02,2018,0D
4,0DF2019,"Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures, January 2019 (0DF2019)",http://www.cmegroup.com/trading/energy/refined-products/mini-european-35pct-fuel-oil-platts-barges-fob-rdam-swap-futures_product_calendar_futures.html ,2018-10-19 00:15:29,2015-02-12,2018-10-18,2019,0D
5,0DF2020,"Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures, January 2020 (0DF2020)",http://www.cmegroup.com/trading/energy/refined-products/mini-european-35pct-fuel-oil-platts-barges-fob-rdam-swap-futures_product_calendar_futures.html ,2018-10-19 00:15:29,2017-12-04,2018-10-18,2020,0D
6,0DF2021,"Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures, January 2021 (0DF2021)",http://www.cmegroup.com/trading/energy/refined-products/mini-european-35pct-fuel-oil-platts-barges-fob-rdam-swap-futures_product_calendar_futures.html,2017-12-07 01:08:51,2017-12-04,2017-12-06,2021,0D
11,0DG2018,"Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures, February 2018 (0DG2018)",http://www.cmegroup.com/trading/energy/refined-products/mini-european-35pct-fuel-oil-platts-barges-fob-rdam-swap-futures_product_calendar_futures.html,2018-03-03 01:07:30,2014-11-21,2018-03-02,2018,0D
12,0DG2019,"Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures, February 2019 (0DG2019)",http://www.cmegroup.com/trading/energy/refined-products/mini-european-35pct-fuel-oil-platts-barges-fob-rdam-swap-futures_product_calendar_futures.html ,2018-10-19 00:15:29,2015-02-12,2018-10-18,2019,0D
13,0DG2020,"Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures, February 2020 (0DG2020)",http://www.cmegroup.com/trading/energy/refined-products/mini-european-35pct-fuel-oil-platts-barges-fob-rdam-swap-futures_product_calendar_futures.html ,2018-10-19 00:15:29,2017-12-04,2018-10-18,2020,0D
14,0DG2021,"Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures, February 2021 (0DG2021)",http://www.cmegroup.com/trading/energy/refined-products/mini-european-35pct-fuel-oil-platts-barges-fob-rdam-swap-futures_product_calendar_futures.html,2017-12-07 01:08:51,2017-12-04,2017-12-06,2021,0D
19,0DH2018,"Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures, March 2018 (0DH2018)",http://www.cmegroup.com/trading/energy/refined-products/mini-european-35pct-fuel-oil-platts-barges-fob-rdam-swap-futures_product_calendar_futures.html,2018-04-04 00:10:35,2014-11-21,2018-04-03,2018,0D
20,0DH2019,"Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures, March 2019 (0DH2019)",http://www.cmegroup.com/trading/energy/refined-products/mini-european-35pct-fuel-oil-platts-barges-fob-rdam-swap-futures_product_calendar_futures.html ,2018-10-19 00:15:29,2015-02-12,2018-10-18,2019,0D
21,0DH2020,"Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures, March 2020 (0DH2020)",http://www.cmegroup.com/trading/energy/refined-products/mini-european-35pct-fuel-oil-platts-barges-fob-rdam-swap-futures_product_calendar_futures.html ,2018-10-19 00:15:29,2017-12-04,2018-10-18,2020,0D
22,0DH2021,"Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures, March 2021 (0DH2021)",http://www.cmegroup.com/trading/energy/refined-products/mini-european-35pct-fuel-oil-platts-barges-fob-rdam-swap-futures_product_calendar_futures.html,2017-12-07 01:08:51,2017-12-04,2017-12-06,2021,0D
27,0DJ2018,"Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures, April 2018 (0DJ2018)",http://www.cmegroup.com/trading/energy/refined-products/mini-european-35pct-fuel-oil-platts-barges-fob-rdam-swap-futures_product_calendar_futures.html,2018-05-03 00:09:19,2014-11-21,2018-05-02,2018,0D
28,0DJ2019,"Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures, April 2019 (0DJ2019)",http://www.cmegroup.com/trading/energy/refined-products/mini-european-35pct-fuel-oil-platts-barges-fob-rdam-swap-futures_product_calendar_futures.html ,2018-10-19 00:15:29,2015-02-12,2018-10-18,2019,0D
29,0DJ2020,"Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures, April 2020 (0DJ2020)",http://www.cmegroup.com/trading/energy/refined-products/mini-european-35pct-fuel-oil-platts-barges-fob-rdam-swap-futures_product_calendar_futures.html ,2018-10-19 00:15:29,2017-12-04,2018-10-18,2020,0D
30,0DJ2021,"Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures, April 2021 (0DJ2021)",http://www.cmegroup.com/trading/energy/refined-products/mini-european-35pct-fuel-oil-platts-barges-fob-rdam-swap-futures_product_calendar_futures.html,2017-12-07 01:08:51,2017-12-04,2017-12-06,2021,0D
35,0DK2018,"Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures, May 2018 (0DK2018)",http://www.cmegroup.com/trading/energy/refined-products/mini-european-35pct-fuel-oil-platts-barges-fob-rdam-swap-futures_product_calendar_futures.html,2018-06-05 00:10:15,2014-11-21,2018-06-04,2018,0D
36,0DK2019,"Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures, May 2019 (0DK2019)",http://www.cmegroup.com/trading/energy/refined-products/mini-european-35pct-fuel-oil-platts-barges-fob-rdam-swap-futures_product_calendar_futures.html ,2018-10-19 00:15:29,2015-02-12,2018-10-18,2019,0D
37,0DK2020,"Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures, May 2020 (0DK2020)",http://www.cmegroup.com/trading/energy/refined-products/mini-european-35pct-fuel-oil-platts-barges-fob-rdam-swap-futures_product_calendar_futures.html ,2018-10-19 00:15:29,2017-12-04,2018-10-18,2020,0D
38,0DK2021,"Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures, May 2021 (0DK2021)",http://www.cmegroup.com/trading/energy/refined-products/mini-european-35pct-fuel-oil-platts-barges-fob-rdam-swap-futures_product_calendar_futures.html,2017-12-07 01:08:51,2017-12-04,2017-12-06,2021,0D
43,0DM2018,"Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures, June 2018 (0DM2018)",http://www.cmegroup.com/trading/energy/refined-products/mini-european-35pct-fuel-oil-platts-barges-fob-rdam-swap-futures_product_calendar_futures.html ,2018-07-03 22:14:29,2014-11-21,2018-07-03,2018,0D
44,0DM2019,"Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures, June 2019 (0DM2019)",http://www.cmegroup.com/trading/energy/refined-products/mini-european-35pct-fuel-oil-platts-barges-fob-rdam-swap-futures_product_calendar_futures.html ,2018-10-19 00:15:29,2015-02-12,2018-10-18,2019,0D
45,0DM2020,"Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures, June 2020 (0DM2020)",http://www.cmegroup.com/trading/energy/refined-products/mini-european-35pct-fuel-oil-platts-barges-fob-rdam-swap-futures_product_calendar_futures.html ,2018-10-19 00:15:29,2017-12-04,2018-10-18,2020,0D
46,0DM2021,"Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures, June 2021 (0DM2021)",http://www.cmegroup.com/trading/energy/refined-products/mini-european-35pct-fuel-oil-platts-barges-fob-rdam-swap-futures_product_calendar_futures.html,2017-12-07 01:08:51,2017-12-04,2017-12-06,2021,0D
51,0DN2018,"Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures, July 2018 (0DN2018)",http://www.cmegroup.com/trading/energy/refined-products/mini-european-35pct-fuel-oil-platts-barges-fob-rdam-swap-futures_product_calendar_futures.html ,2018-08-03 00:11:38,2014-11-21,2018-08-02,2018,0D
52,0DN2019,"Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures, July 2019 (0DN2019)",http://www.cmegroup.com/trading/energy/refined-products/mini-european-35pct-fuel-oil-platts-barges-fob-rdam-swap-futures_product_calendar_futures.html ,2018-10-19 00:15:29,2015-02-12,2018-10-18,2019,0D
53,0DN2020,"Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures, July 2020 (0DN2020)",http://www.cmegroup.com/trading/energy/refined-products/mini-european-35pct-fuel-oil-platts-barges-fob-rdam-swap-futures_product_calendar_futures.html ,2018-10-19 00:15:29,2017-12-04,2018-10-18,2020,0D
54,0DN2021,"Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures, July 2021 (0DN2021)",http://www.cmegroup.com/trading/energy/refined-products/mini-european-35pct-fuel-oil-platts-barges-fob-rdam-swap-futures_product_calendar_futures.html,2017-12-07 01:08:51,2017-12-04,2017-12-06,2021,0D
59,0DQ2018,"Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures, August 2018 (0DQ2018)",http://www.cmegroup.com/trading/energy/refined-products/mini-european-35pct-fuel-oil-platts-barges-fob-rdam-swap-futures_product_calendar_futures.html ,2018-09-06 00:26:57,2014-11-21,2018-09-05,2018,0D
60,0DQ2019,"Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures, August 2019 (0DQ2019)",http://www.cmegroup.com/trading/energy/refined-products/mini-european-35pct-fuel-oil-platts-barges-fob-rdam-swap-futures_product_calendar_futures.html ,2018-10-19 00:15:29,2015-02-12,2018-10-18,2019,0D
61,0DQ2020,"Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures, August 2020 (0DQ2020)",http://www.cmegroup.com/trading/energy/refined-products/mini-european-35pct-fuel-oil-platts-barges-fob-rdam-swap-futures_product_calendar_futures.html ,2018-10-19 00:15:29,2017-12-04,2018-10-18,2020,0D
62,0DQ2021,"Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures, August 2021 (0DQ2021)",http://www.cmegroup.com/trading/energy/refined-products/mini-european-35pct-fuel-oil-platts-barges-fob-rdam-swap-futures_product_calendar_futures.html,2017-12-07 01:08:51,2017-12-04,2017-12-06,2021,0D
67,0DU2018,"Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures, September 2018 (0DU2018)",http://www.cmegroup.com/trading/energy/refined-products/mini-european-35pct-fuel-oil-platts-barges-fob-rdam-swap-futures_product_calendar_futures.html ,2018-10-03 00:08:51,2014-11-21,2018-10-02,2018,0D
68,0DU2019,"Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures, September 2019 (0DU2019)",http://www.cmegroup.com/trading/energy/refined-products/mini-european-35pct-fuel-oil-platts-barges-fob-rdam-swap-futures_product_calendar_futures.html ,2018-10-19 00:15:29,2015-02-12,2018-10-18,2019,0D
69,0DU2020,"Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures, September 2020 (0DU2020)",http://www.cmegroup.com/trading/energy/refined-products/mini-european-35pct-fuel-oil-platts-barges-fob-rdam-swap-futures_product_calendar_futures.html ,2018-10-19 00:15:29,2017-12-04,2018-10-18,2020,0D
70,0DU2021,"Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures, September 2021 (0DU2021)",http://www.cmegroup.com/trading/energy/refined-products/mini-european-35pct-fuel-oil-platts-barges-fob-rdam-swap-futures_product_calendar_futures.html,2017-12-07 01:08:51,2017-12-04,2017-12-06,2021,0D
75,0DV2018,"Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures, October 2018 (0DV2018)",http://www.cmegroup.com/trading/energy/refined-products/mini-european-35pct-fuel-oil-platts-barges-fob-rdam-swap-futures_product_calendar_futures.html ,2018-10-19 00:15:29,2014-11-21,2018-10-18,2018,0D
76,0DV2019,"Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures, October 2019 (0DV2019)",http://www.cmegroup.com/trading/energy/refined-products/mini-european-35pct-fuel-oil-platts-barges-fob-rdam-swap-futures_product_calendar_futures.html ,2018-10-19 00:15:29,2015-02-12,2018-10-18,2019,0D
77,0DV2020,"Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures, October 2020 (0DV2020)",http://www.cmegroup.com/trading/energy/refined-products/mini-european-35pct-fuel-oil-platts-barges-fob-rdam-swap-futures_product_calendar_futures.html ,2018-10-19 00:15:29,2017-12-04,2018-10-18,2020,0D
78,0DV2021,"Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures, October 2021 (0DV2021)",http://www.cmegroup.com/trading/energy/refined-products/mini-european-35pct-fuel-oil-platts-barges-fob-rdam-swap-futures_product_calendar_futures.html,2017-12-07 01:08:51,2017-12-04,2017-12-06,2021,0D
83,0DX2018,"Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures, November 2018 (0DX2018)",http://www.cmegroup.com/trading/energy/refined-products/mini-european-35pct-fuel-oil-platts-barges-fob-rdam-swap-futures_product_calendar_futures.html ,2018-10-19 00:15:29,2014-11-21,2018-10-18,2018,0D
84,0DX2019,"Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures, November 2019 (0DX2019)",http://www.cmegroup.com/trading/energy/refined-products/mini-european-35pct-fuel-oil-platts-barges-fob-rdam-swap-futures_product_calendar_futures.html ,2018-10-19 00:15:29,2015-02-12,2018-10-18,2019,0D
85,0DX2020,"Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures, November 2020 (0DX2020)",http://www.cmegroup.com/trading/energy/refined-products/mini-european-35pct-fuel-oil-platts-barges-fob-rdam-swap-futures_product_calendar_futures.html ,2018-10-19 00:15:29,2017-12-04,2018-10-18,2020,0D
86,0DX2021,"Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures, November 2021 (0DX2021)",http://www.cmegroup.com/trading/energy/refined-products/mini-european-35pct-fuel-oil-platts-barges-fob-rdam-swap-futures_product_calendar_futures.html,2017-12-07 01:08:51,2017-12-04,2017-12-06,2021,0D
91,0DZ2018,"Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures, December 2018 (0DZ2018)",http://www.cmegroup.com/trading/energy/refined-products/mini-european-35pct-fuel-oil-platts-barges-fob-rdam-swap-futures_product_calendar_futures.html ,2018-10-19 00:15:29,2014-11-21,2018-10-18,2018,0D
92,0DZ2019,"Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures, December 2019 (0DZ2019)",http://www.cmegroup.com/trading/energy/refined-products/mini-european-35pct-fuel-oil-platts-barges-fob-rdam-swap-futures_product_calendar_futures.html ,2018-10-19 00:15:29,2015-02-12,2018-10-18,2019,0D
