Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
1990-07-18,21.05,21.05,20.93,,,21.01,910.0,1190.0
1990-07-19,20.99,20.99,20.99,,,20.99,13.0,1203.0
1990-07-20,20.95,20.98,20.9,,,20.9,60.0,1203.0
1990-07-23,21.3,21.35,21.2,,,21.35,427.0,1346.0
1990-07-24,21.5,21.5,21.33,,,21.33,10.0,1346.0
1990-07-25,21.8,21.8,21.37,,,21.37,1.0,1203.0
1990-07-26,21.45,21.45,21.45,,,21.45,0.0,1203.0
1990-07-27,21.46,21.46,21.46,,,21.46,0.0,1203.0
1990-07-30,21.81,21.81,21.81,,,21.81,50.0,1203.0
1990-07-31,21.73,21.73,21.73,,,21.73,200.0,1203.0
1990-08-01,22.06,22.06,22.06,,,22.06,688.0,1203.0
1990-08-02,23.0,23.0,22.78,,,22.78,1.0,1204.0
1990-08-03,23.47,23.47,23.47,,,23.47,0.0,1204.0
1990-08-06,24.47,24.47,24.2,,,24.47,425.0,1629.0
1990-08-07,23.9,23.9,23.76,,,23.76,14.0,1618.0
1990-08-08,23.01,23.01,23.01,,,23.01,0.0,1618.0
1990-08-09,22.8,23.0,22.61,,,22.61,11.0,1619.0
1990-08-10,22.48,22.48,22.48,,,22.48,0.0,1619.0
1990-08-13,23.48,23.48,23.45,,,23.48,0.0,0.0
1990-08-14,23.28,23.48,23.28,,,23.28,125.0,1680.0
1990-08-15,23.15,23.51,23.15,,,23.51,1040.0,2259.0
1990-08-16,23.52,23.52,23.52,,,23.52,0.0,2234.0
1990-08-17,23.8,23.9,23.8,,,23.86,503.0,2534.0
1990-08-20,23.8,24.5,23.8,,,24.49,364.0,2693.0
1990-08-21,24.5,25.0,24.43,,,24.43,126.0,2814.0
1990-08-22,25.25,25.43,24.9,,,25.43,171.0,2834.0
1990-08-23,26.1,26.8,26.1,,,26.57,106.0,3018.0
1990-08-24,25.75,25.75,24.57,,,24.84,76.0,3000.0
1990-08-27,22.84,22.84,22.84,,,22.84,391.0,2963.0
1990-08-28,23.31,23.31,23.31,,,23.31,0.0,3100.0
1990-08-29,22.92,22.92,22.92,,,22.92,0.0,3100.0
1990-08-30,23.19,23.19,23.19,,,23.19,0.0,3100.0
1990-08-31,23.3,24.0,23.2,,,23.31,322.0,3076.0
1990-09-04,23.3,24.0,23.2,,,24.0,66.0,3126.0
1990-09-05,24.25,24.34,23.85,,,24.34,115.0,3226.0
1990-09-06,24.56,25.0,24.56,,,25.0,189.0,3340.0
1990-09-07,24.03,24.03,24.03,,,24.03,587.0,3085.0
1990-09-10,25.07,25.07,25.07,,,25.07,0.0,3085.0
1990-09-11,24.35,24.7,24.07,,,24.07,91.0,3091.0
1990-09-12,24.55,24.72,24.55,,,24.72,319.0,3284.0
1990-09-13,25.0,25.0,24.6,,,24.76,306.0,3343.0
1990-09-14,25.0,25.06,24.9,,,25.06,30.0,3383.0
1990-09-17,25.0,25.4,25.0,,,25.4,105.0,3426.0
1990-09-18,25.5,25.65,25.2,,,25.65,128.0,3548.0
1990-09-19,25.5,25.5,25.29,,,25.29,255.0,3548.0
1990-09-20,25.5,25.85,25.46,,,25.46,1882.0,4263.0
1990-09-21,25.81,25.81,25.25,,,25.39,483.0,4349.0
1990-09-24,25.9,26.15,25.9,,,26.03,230.0,4413.0
1990-09-25,26.2,26.43,26.15,,,26.43,2591.0,4769.0
1990-09-26,26.0,26.44,25.9,,,26.44,515.0,5183.0
1990-09-27,26.0,27.26,26.0,,,27.26,1102.0,5323.0
1990-09-28,27.6,27.71,27.0,,,27.71,96.0,5292.0
1990-10-01,26.9,26.9,26.71,,,26.71,197.0,5280.0
1990-10-02,26.0,26.0,25.21,,,25.21,883.0,5700.0
1990-10-03,24.65,26.55,24.6,,,26.55,658.0,5793.0
1990-10-04,26.25,26.25,25.8,,,25.8,229.0,5558.0
1990-10-05,26.2,26.23,25.7,,,26.07,187.0,5737.0
1990-10-08,25.86,26.76,25.86,,,26.76,122.0,5796.0
1990-10-09,26.76,26.92,26.5,,,26.92,264.0,5919.0
1990-10-10,26.5,26.6,25.73,,,25.73,216.0,5786.0
1990-10-11,26.15,26.37,26.1,,,26.33,239.0,5840.0
1990-10-12,26.2,26.23,26.0,,,26.23,75.0,5879.0
1990-10-15,25.1,25.57,25.1,,,25.57,177.0,5944.0
1990-10-16,25.26,26.42,25.26,,,26.42,47.0,5955.0
1990-10-17,26.2,26.3,25.16,,,25.16,168.0,6017.0
1990-10-18,24.5,25.42,23.8,,,25.42,279.0,5957.0
1990-10-19,24.0,24.0,23.42,,,23.42,60.0,5950.0
1990-10-22,23.75,23.75,21.75,,,21.75,1.0,6000.0
1990-10-23,22.8,22.8,22.07,,,22.07,27.0,5948.0
1990-10-24,23.1,23.75,23.1,,,23.75,25.0,5942.0
1990-10-25,25.75,25.75,25.75,,,25.75,0.0,5939.0
1990-10-26,24.21,24.21,24.21,,,24.21,56.0,5903.0
1990-10-29,25.0,25.25,24.97,,,24.97,133.0,5952.0
1990-10-30,25.42,25.42,24.5,,,24.61,729.0,6151.0
1990-10-31,24.4,25.25,24.4,,,25.25,210.0,6295.0
1990-11-01,25.45,25.45,24.92,,,24.92,103.0,6327.0
1990-11-02,24.4,24.7,24.37,,,24.37,100.0,6276.0
1990-11-05,23.9,23.9,23.37,,,23.37,807.0,6338.0
1990-11-06,23.0,23.44,23.0,,,23.44,163.0,6141.0
1990-11-07,24.0,24.52,23.7,,,24.52,723.0,6154.0
1990-11-08,24.67,25.13,24.67,,,25.13,160.0,6132.0
1990-11-09,24.95,24.95,24.04,,,24.04,1233.0,6229.0
1990-11-12,23.0,23.81,23.0,,,23.81,89.0,5443.0
