Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
1989-01-25,16.5,16.5,16.5,,,16.5,65.0,65.0
1989-01-26,16.14,16.14,16.14,,,16.14,0.0,65.0
1989-01-27,16.21,16.21,16.21,,,16.21,0.0,65.0
1989-01-30,15.88,15.88,15.88,,,15.88,0.0,65.0
1989-01-31,15.72,15.72,15.72,,,15.72,0.0,65.0
1989-02-01,16.31,16.31,16.31,,,16.31,0.0,65.0
1989-02-02,16.3,16.3,16.3,,,16.3,0.0,65.0
1989-02-03,16.33,16.33,15.84,,,15.84,32.0,73.0
1989-02-06,15.61,15.61,15.61,,,15.61,0.0,73.0
1989-02-07,15.74,15.74,15.74,,,15.74,0.0,73.0
1989-02-08,15.61,15.61,15.61,,,15.61,0.0,73.0
1989-02-09,15.69,15.69,15.69,,,15.69,0.0,73.0
1989-02-10,15.52,15.52,15.52,,,15.52,0.0,73.0
1989-02-13,15.73,15.73,15.73,,,15.73,0.0,73.0
1989-02-14,15.74,15.74,15.46,,,15.46,101.0,173.0
1989-02-15,15.75,15.75,15.75,,,15.75,0.0,173.0
1989-02-16,15.98,15.98,15.98,,,15.98,0.0,173.0
1989-02-17,16.11,16.11,16.11,,,16.11,0.0,173.0
1989-02-21,16.02,16.02,16.02,,,16.02,0.0,173.0
1989-02-22,16.31,16.31,16.31,,,16.31,0.0,173.0
1989-02-23,16.27,16.27,16.27,,,16.27,0.0,173.0
1989-02-24,16.34,16.34,16.34,,,16.34,0.0,173.0
1989-02-27,16.4,16.4,16.23,,,16.23,20.0,193.0
1989-02-28,16.31,16.32,16.31,,,16.32,13.0,190.0
1989-03-01,16.4,16.42,16.4,,,16.42,20.0,190.0
1989-03-02,16.6,16.6,16.6,,,16.6,0.0,190.0
1989-03-03,16.58,16.58,16.41,,,16.41,30.0,190.0
1989-03-06,16.59,16.61,16.59,,,16.61,45.0,226.0
1989-03-07,16.6,16.6,16.39,,,16.39,31.0,207.0
1989-03-08,16.83,16.83,16.83,,,16.83,0.0,207.0
1989-03-09,16.87,16.87,16.8,,,16.8,340.0,292.0
1989-03-10,16.75,16.75,16.75,,,16.75,0.0,267.0
1989-03-13,16.91,16.91,16.91,,,16.91,0.0,267.0
1989-03-14,16.97,16.97,16.83,,,16.83,64.0,313.0
1989-03-15,17.1,17.1,16.97,,,16.97,246.0,514.0
1989-03-16,17.0,17.05,16.92,,,16.98,51.0,567.0
1989-03-17,17.05,17.1,17.0,,,17.0,417.0,662.0
1989-03-20,16.97,17.07,16.97,,,17.01,70.0,692.0
1989-03-21,17.25,17.35,17.25,,,17.35,53.0,734.0
1989-03-22,17.18,17.33,17.18,,,17.33,66.0,733.0
1989-03-23,17.4,17.41,17.25,,,17.41,38.0,764.0
1989-03-27,17.54,17.6,17.5,,,17.54,315.0,940.0
1989-03-28,17.2,17.2,17.04,,,17.04,347.0,1137.0
1989-03-29,17.06,17.35,17.05,,,17.35,236.0,1348.0
1989-03-30,17.85,17.85,17.51,,,17.72,215.0,1478.0
1989-03-31,17.85,17.95,17.03,,,17.03,158.0,1394.0
1989-04-03,17.5,17.5,16.71,,,16.71,62.0,1458.0
1989-04-04,17.0,17.0,16.9,,,16.93,82.0,1462.0
1989-04-05,16.9,16.9,16.37,,,16.37,556.0,1303.0
1989-04-06,16.35,16.9,16.35,,,16.67,37.0,1317.0
1989-04-07,16.82,17.13,16.82,,,17.13,43.0,1302.0
1989-04-10,17.25,17.25,17.24,,,17.24,50.0,1345.0
1989-04-11,17.38,17.4,17.02,,,17.02,21.0,1339.0
1989-04-12,17.05,17.05,17.0,,,17.04,161.0,1427.0
1989-04-13,17.12,17.15,16.83,,,16.83,222.0,1406.0
1989-04-14,17.27,17.27,17.27,,,17.27,0.0,1506.0
1989-04-17,17.26,17.43,17.22,,,17.39,275.0,1659.0
1989-04-18,17.35,17.36,17.35,,,17.36,65.0,1674.0
1989-04-19,17.5,17.6,17.4,,,17.4,100.0,1736.0
1989-04-20,17.45,17.5,17.43,,,17.43,199.0,1822.0
1989-04-21,17.55,17.71,17.5,,,17.71,60.0,1862.0
1989-04-24,17.7,17.85,17.15,,,17.15,25.0,1853.0
1989-04-25,17.26,17.33,17.15,,,17.15,295.0,1960.0
1989-04-26,17.15,17.2,16.96,,,16.99,133.0,2099.0
1989-04-27,17.04,17.04,16.9,,,16.93,157.0,2105.0
1989-04-28,17.19,17.5,17.19,,,17.37,28.0,2130.0
1989-05-01,17.45,17.55,17.4,,,17.52,106.0,2162.0
1989-05-02,17.52,17.52,17.09,,,17.09,769.0,2277.0
1989-05-03,17.1,17.55,17.1,,,17.55,286.0,2331.0
1989-05-04,17.44,17.5,17.4,,,17.45,193.0,2283.0
1989-05-05,17.45,17.45,17.2,,,17.2,71.0,2312.0
1989-05-08,17.15,17.2,17.02,,,17.02,338.0,2378.0
1989-05-09,17.17,17.17,17.05,,,17.05,49.0,2513.0
1989-05-10,17.1,17.1,17.1,,,17.1,35.0,2498.0
1989-05-11,17.19,17.3,17.12,,,17.12,272.0,2541.0
1989-05-12,17.14,17.16,17.07,,,17.07,382.0,2803.0
1989-05-15,17.0,17.08,17.0,,,17.0,60.0,2854.0
1989-05-16,17.2,17.25,17.05,,,17.12,1182.0,3603.0
1989-05-17,17.09,17.09,16.89,,,16.89,239.0,3757.0
1989-05-18,17.0,17.05,16.85,,,16.96,788.0,3957.0
1989-05-19,17.15,17.2,16.98,,,16.98,54.0,3992.0
1989-05-22,16.85,16.9,16.74,,,16.74,299.0,3938.0
1989-05-23,16.97,17.01,16.86,,,16.86,95.0,3843.0
1989-05-24,17.07,17.32,17.07,,,17.32,2.0,3845.0
1989-05-25,17.45,17.48,17.37,,,17.37,101.0,3814.0
1989-05-26,17.45,17.5,17.4,,,17.5,55.0,3809.0
1989-05-30,17.52,17.52,17.4,,,17.4,237.0,3779.0
1989-05-31,17.4,17.4,17.33,,,17.33,201.0,3693.0
1989-06-01,17.34,17.37,17.3,,,17.37,232.0,3676.0
1989-06-02,17.38,18.0,17.38,,,18.0,65.0,3689.0
1989-06-05,18.25,18.4,18.1,,,18.35,401.0,3862.0
1989-06-06,18.33,18.33,18.05,,,18.21,151.0,3922.0
1989-06-07,18.05,18.05,17.66,,,17.66,37.0,3918.0
1989-06-08,17.6,17.9,17.6,,,17.81,199.0,3990.0
1989-06-09,17.78,17.89,17.55,,,17.55,569.0,4350.0
1989-06-12,17.31,17.31,17.02,,,17.02,2734.0,6240.0
1989-06-13,17.09,17.09,16.82,,,16.82,1705.0,6631.0
1989-06-14,16.96,16.96,16.7,,,16.88,3454.0,6689.0
1989-06-15,17.0,17.1,17.0,,,17.06,3050.0,7531.0
1989-06-16,17.0,17.0,16.85,,,16.98,2351.0,8728.0
1989-06-19,16.84,17.01,16.84,,,16.99,649.0,8524.0
1989-06-20,17.1,17.1,16.92,,,16.95,3836.0,8981.0
1989-06-21,16.99,17.35,16.99,,,17.35,3586.0,9273.0
1989-06-22,17.4,17.55,17.35,,,17.45,2078.0,8992.0
1989-06-23,17.66,17.74,17.6,,,17.74,2620.0,8681.0
1989-06-26,17.88,17.91,17.7,,,17.91,580.0,8470.0
1989-06-27,17.8,18.07,17.8,,,18.07,420.0,8212.0
1989-06-28,18.1,18.1,17.75,,,17.8,415.0,8413.0
1989-06-29,17.66,18.0,17.66,,,17.95,1013.0,8348.0
1989-06-30,18.0,18.0,17.89,,,17.97,98.0,8434.0
1989-07-05,18.16,18.31,18.1,,,18.2,216.0,8386.0
1989-07-06,18.28,18.38,17.83,,,17.83,1463.0,8853.0
1989-07-07,17.85,17.9,17.84,,,17.9,482.0,8937.0
1989-07-10,17.8,17.88,17.8,,,17.83,1033.0,9299.0
1989-07-11,17.88,18.03,17.83,,,17.94,387.0,9473.0
1989-07-12,18.17,18.23,17.93,,,17.93,820.0,9621.0
1989-07-13,17.95,18.35,17.95,,,18.35,744.0,9538.0
1989-07-14,18.4,18.43,18.29,,,18.37,428.0,9463.0
1989-07-17,18.3,18.82,18.3,,,18.82,1607.0,9701.0
1989-07-18,18.73,18.84,18.53,,,18.54,633.0,9501.0
1989-07-19,18.33,18.42,18.3,,,18.42,567.0,9545.0
1989-07-20,18.4,18.69,18.4,,,18.64,1386.0,9554.0
1989-07-21,18.61,18.72,18.59,,,18.63,221.0,9544.0
1989-07-24,18.42,18.47,18.05,,,18.14,622.0,9669.0
1989-07-25,18.2,18.43,18.06,,,18.1,692.0,10100.0
1989-07-26,18.1,18.23,18.09,,,18.09,2355.0,10779.0
1989-07-27,18.24,18.27,17.98,,,17.98,573.0,10627.0
1989-07-28,18.15,18.15,17.85,,,17.85,1996.0,11190.0
1989-07-31,17.95,18.1,17.9,,,18.01,1068.0,11247.0
1989-08-01,18.01,18.01,17.68,,,17.76,769.0,11475.0
1989-08-02,17.6,17.8,17.5,,,17.8,751.0,11391.0
1989-08-03,17.76,17.78,17.55,,,17.68,825.0,11782.0
1989-08-04,17.6,17.64,17.52,,,17.52,560.0,11804.0
1989-08-07,17.45,17.5,17.41,,,17.47,214.0,11880.0
1989-08-08,17.56,17.6,17.53,,,17.56,390.0,11865.0
1989-08-09,17.61,17.73,17.61,,,17.69,254.0,11846.0
1989-08-10,17.95,17.95,17.8,,,17.95,77.0,11812.0
1989-08-11,17.95,17.95,17.81,,,17.81,545.0,11697.0
1989-08-14,17.7,17.8,17.69,,,17.7,431.0,11763.0
