Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2015-11-20,,,,,0.0,56.57,0.0,0.0
2015-11-23,,,,,0.29,56.86,0.0,0.0
2015-11-24,,,,,1.26,58.12,0.0,0.0
2015-11-25,,,,,0.03,58.09,0.0,0.0
2015-11-27,,,,,0.52,57.57,0.0,0.0
2015-11-30,,,,,0.21,57.36,0.0,0.0
2015-12-01,,,,,0.08,57.28,0.0,0.0
2015-12-02,,,,,0.28,57.0,0.0,0.0
2015-12-03,,,,,0.6,57.6,0.0,0.0
2015-12-04,,,,,0.07,57.53,0.0,0.0
2015-12-07,,,,,0.26,57.27,0.0,0.0
2015-12-08,,,,,0.09,57.18,0.0,0.0
2015-12-09,,,,,0.1,57.08,0.0,0.0
2015-12-10,,,,,0.2,57.28,0.0,0.0
2015-12-11,,,,,0.7,56.58,0.0,0.0
2015-12-14,,,,,1.17,55.41,0.0,0.0
2015-12-15,,,,,0.07,55.48,0.0,0.0
2015-12-16,,,,,0.39,55.09,0.0,0.0
2015-12-17,,,,,0.18,54.91,0.0,0.0
2015-12-18,,,,,0.3,54.61,0.0,0.0
2015-12-21,,,,,0.69,53.92,0.0,0.0
2015-12-22,,,,,0.88,53.04,0.0,0.0
2015-12-23,,,,,0.12,53.16,0.0,0.0
2015-12-24,,,,,0.94,54.1,0.0,0.0
2015-12-28,,,,,0.36,53.74,0.0,0.0
2015-12-29,,,,,0.73,54.47,0.0,0.0
2015-12-30,,,,,0.67,53.8,0.0,0.0
2015-12-31,,,,,0.55,54.35,0.0,0.0
2016-01-04,,,,,0.17,54.18,0.0,0.0
2016-01-05,,,,,0.51,53.67,0.0,0.0
2016-01-06,,,,,1.17,52.5,0.0,0.0
2016-01-07,,,,,0.93,51.57,0.0,0.0
2016-01-08,,,,,0.08,51.49,0.0,0.0
2016-01-11,,,,,1.23,50.26,0.0,0.0
2016-01-12,,,,,1.29,48.97,0.0,0.0
2016-01-13,,,,,1.0,47.97,0.0,0.0
2016-01-14,,,,,0.53,48.5,0.0,0.0
