Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
1993-03-16,20.23,20.25,20.23,,,20.25,1.0,0.0
1993-03-17,20.24,20.24,20.24,,,20.24,0.0,1.0
1993-03-18,20.31,20.31,20.31,,,20.31,0.0,1.0
1993-03-19,20.17,20.17,20.17,,,20.17,0.0,1.0
1993-03-22,19.86,19.86,19.86,,,19.86,0.0,1.0
1993-03-23,20.1,20.1,20.1,,,20.1,0.0,1.0
1993-03-24,20.2,20.2,20.2,,,20.2,0.0,1.0
1993-03-25,20.28,20.28,20.28,,,20.28,0.0,1.0
1993-03-26,20.1,20.28,20.1,,,20.28,47.0,37.0
1993-03-29,20.24,20.24,20.24,,,20.24,0.0,37.0
1993-03-30,20.34,20.34,20.34,,,20.34,0.0,37.0
1993-03-31,20.51,20.51,20.51,,,20.51,0.0,37.0
1993-04-01,20.52,20.55,20.52,,,20.55,21.0,58.0
1993-04-02,20.64,20.64,20.64,,,20.64,0.0,58.0
1993-04-05,20.55,20.65,20.53,,,20.65,350.0,358.0
1993-04-06,20.47,20.47,20.47,,,20.47,0.0,358.0
1993-04-07,20.51,20.51,20.51,,,20.51,0.0,358.0
1993-04-08,20.45,20.45,20.45,,,20.45,0.0,358.0
1993-04-12,20.63,20.67,20.63,,,20.67,40.0,388.0
1993-04-13,20.62,20.62,20.62,,,20.62,0.0,388.0
1993-04-14,20.65,20.65,20.65,,,20.65,0.0,388.0
1993-04-15,20.6,20.6,20.6,,,20.6,0.0,388.0
1993-04-16,20.58,20.58,20.58,,,20.58,0.0,388.0
1993-04-19,20.57,20.57,20.57,,,20.57,63.0,451.0
1993-04-20,20.64,20.64,20.64,,,20.64,0.0,451.0
1993-04-21,20.65,20.65,20.65,,,20.65,0.0,451.0
1993-04-22,20.5,20.5,20.5,,,20.5,0.0,451.0
1993-04-23,20.65,20.65,20.65,,,20.65,0.0,451.0
1993-04-26,20.63,20.63,20.63,,,20.63,0.0,451.0
1993-04-27,20.57,20.57,20.57,,,20.57,0.0,451.0
1993-04-28,20.58,20.58,20.58,,,20.58,0.0,451.0
1993-04-29,20.63,20.8,20.63,,,20.8,229.0,580.0
1993-04-30,20.68,20.68,20.68,,,20.68,0.0,580.0
1993-05-03,20.7,20.7,20.7,,,20.7,0.0,580.0
1993-05-04,20.53,20.53,20.53,,,20.53,250.0,830.0
1993-05-05,20.63,20.63,20.63,,,20.63,0.0,830.0
1993-05-06,20.57,20.57,20.57,,,20.57,400.0,1080.0
1993-05-07,20.57,20.57,20.57,,,20.57,0.0,1080.0
1993-05-10,20.53,20.53,20.53,,,20.53,0.0,1080.0
1993-05-11,20.51,20.51,20.51,,,20.51,0.0,1080.0
1993-05-12,20.41,20.41,20.41,,,20.41,0.0,1080.0
1993-05-13,20.11,20.11,20.11,,,20.11,0.0,1080.0
1993-05-14,20.0,20.06,20.0,,,20.06,225.0,855.0
1993-05-17,20.13,20.13,20.13,,,20.13,0.0,855.0
1993-05-18,19.99,19.99,19.99,,,19.99,0.0,855.0
1993-05-19,20.0,20.01,20.0,,,20.01,100.0,788.0
1993-05-20,20.19,20.19,20.19,,,20.19,0.0,788.0
1993-05-21,20.15,20.15,20.15,,,20.15,0.0,788.0
1993-05-24,20.08,20.08,20.08,,,20.08,0.0,788.0
1993-05-25,20.18,20.2,20.18,,,20.2,96.0,844.0
1993-05-26,20.22,20.22,20.22,,,20.22,0.0,844.0
1993-05-27,20.34,20.34,20.34,,,20.34,0.0,844.0
1993-05-28,20.29,20.29,20.29,,,20.29,0.0,844.0
1993-06-01,20.47,20.47,20.47,,,20.47,0.0,844.0
1993-06-02,20.28,20.28,20.28,,,20.28,0.0,844.0
1993-06-03,20.04,20.04,20.04,,,20.04,0.0,844.0
1993-06-04,20.09,20.09,20.09,,,20.09,0.0,844.0
1993-06-07,20.0,20.02,20.0,,,20.02,175.0,669.0
1993-06-08,20.16,20.16,20.16,,,20.16,0.0,669.0
1993-06-09,20.29,20.29,20.29,,,20.29,0.0,669.0
1993-06-10,20.1,20.1,20.1,,,20.1,400.0,1069.0
1993-06-11,20.02,20.04,20.0,,,20.04,750.0,1636.0
1993-06-14,19.98,19.98,19.98,,,19.98,1090.0,2526.0
1993-06-15,19.92,19.92,19.92,,,19.92,41.0,2567.0
1993-06-16,20.13,20.13,20.13,,,20.13,1092.0,2567.0
1993-06-17,20.0,20.0,20.0,,,20.0,185.0,2417.0
1993-06-18,19.99,19.99,19.99,,,19.99,92.0,2659.0
1993-06-21,19.93,19.93,19.93,,,19.93,58.0,2717.0
1993-06-22,19.9,19.9,19.9,,,19.9,0.0,2717.0
1993-06-23,20.01,20.01,20.01,,,20.01,0.0,2717.0
1993-06-24,20.0,20.0,20.0,,,20.0,0.0,2717.0
1993-06-25,19.98,19.98,19.98,,,19.98,0.0,2717.0
1993-06-28,20.08,20.08,20.08,,,20.08,14.0,2729.0
1993-06-29,20.14,20.14,20.14,,,20.14,0.0,2742.0
1993-06-30,20.01,20.01,20.01,,,20.01,0.0,2742.0
1993-07-01,19.99,19.99,19.99,,,19.99,0.0,2742.0
1993-07-02,19.78,19.78,19.78,,,19.78,0.0,2742.0
1993-07-06,19.9,19.9,19.89,,,19.89,100.0,2788.0
1993-07-07,19.82,19.82,19.72,,,19.72,155.0,2883.0
1993-07-08,19.66,19.66,19.66,,,19.66,359.0,3242.0
1993-07-09,19.76,19.76,19.76,,,19.76,200.0,3442.0
1993-07-12,19.9,19.9,19.9,,,19.9,0.0,3442.0
1993-07-13,19.84,19.84,19.84,,,19.84,400.0,3442.0
1993-07-14,19.34,19.34,19.34,,,19.34,0.0,3442.0
1993-07-15,19.49,19.49,19.49,,,19.49,50.0,3492.0
1993-07-16,19.49,19.49,19.01,,,19.01,40.0,3486.0
