Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
1994-09-30,18.57,18.57,18.57,,,18.57,0.0,1.0
1994-10-03,18.41,18.41,18.41,,,18.41,0.0,1.0
1994-10-04,18.35,18.35,18.35,,,18.35,0.0,1.0
1994-10-05,18.54,18.54,18.54,,,18.54,0.0,1.0
1994-10-06,18.58,18.58,18.58,,,18.58,0.0,1.0
1994-10-07,18.47,18.47,18.47,,,18.47,0.0,1.0
1994-10-10,18.25,18.25,18.25,,,18.25,0.0,1.0
1994-10-11,18.17,18.17,18.09,,,18.09,9.0,10.0
1994-10-12,17.74,17.74,17.74,,,17.74,9.0,10.0
1994-10-13,17.9,17.9,17.9,,,17.9,0.0,10.0
1994-10-14,17.87,17.87,17.74,,,17.74,1.0,11.0
1994-10-17,17.87,17.87,17.87,,,17.87,0.0,11.0
1994-10-18,17.85,17.85,17.85,,,17.85,0.0,11.0
1994-10-19,17.79,17.79,17.79,,,17.79,0.0,11.0
1994-10-20,17.79,17.79,17.79,,,17.79,0.0,11.0
1994-10-21,17.71,17.71,17.71,,,17.71,0.0,11.0
1994-10-24,17.79,17.79,17.79,,,17.79,0.0,11.0
1994-10-25,17.81,17.84,17.81,,,17.84,100.0,110.0
1994-10-26,17.9,17.9,17.9,,,17.9,100.0,110.0
1994-10-27,17.91,17.91,17.91,,,17.91,50.0,110.0
1994-10-28,17.84,17.84,17.84,,,17.84,50.0,110.0
1994-10-31,17.91,17.91,17.91,,,17.91,0.0,110.0
1994-11-01,18.13,18.13,18.13,,,18.13,0.0,110.0
1994-11-02,18.25,18.25,18.25,,,18.25,100.0,210.0
1994-11-03,18.21,18.21,18.21,,,18.21,0.0,210.0
1994-11-04,18.22,18.22,18.22,,,18.22,0.0,210.0
1994-11-07,17.99,17.99,17.99,,,17.99,0.0,210.0
1994-11-08,18.27,18.27,18.27,,,18.27,0.0,210.0
1994-11-09,18.12,18.12,18.12,,,18.12,0.0,111.0
1994-11-10,18.11,18.11,18.11,,,18.11,0.0,210.0
1994-11-11,18.13,18.13,18.13,,,18.13,0.0,210.0
1994-11-14,17.81,17.81,17.81,,,17.81,95.0,296.0
1994-11-15,17.93,17.93,17.93,,,17.93,0.0,296.0
1994-11-16,17.81,17.81,17.81,,,17.81,21.0,296.0
1994-11-17,17.76,17.76,17.76,,,17.76,10.0,296.0
1994-11-18,17.76,17.76,17.76,,,17.76,0.0,296.0
1994-11-21,17.85,17.85,17.85,,,17.85,0.0,296.0
1994-11-22,18.12,18.12,18.12,,,18.12,0.0,296.0
1994-11-23,18.29,18.29,18.29,,,18.29,0.0,296.0
1994-11-28,18.25,18.25,18.25,,,18.25,0.0,296.0
1994-11-29,18.17,18.17,18.17,,,18.17,0.0,296.0
1994-11-30,18.05,18.05,18.05,,,18.05,0.0,296.0
1994-12-01,17.9,17.9,17.9,,,17.9,0.0,296.0
1994-12-02,17.51,17.51,17.51,,,17.51,0.0,296.0
1994-12-05,17.59,17.59,17.59,,,17.59,0.0,296.0
1994-12-06,17.69,17.69,17.69,,,17.69,0.0,296.0
1994-12-07,17.66,17.66,17.66,,,17.66,0.0,296.0
1994-12-08,17.82,17.82,17.82,,,17.82,170.0,396.0
1994-12-09,17.87,17.87,17.83,,,17.83,110.0,506.0
1994-12-12,17.83,17.83,17.63,,,17.63,415.0,766.0
1994-12-13,17.74,17.74,17.74,,,17.74,75.0,716.0
1994-12-14,17.84,17.84,17.84,,,17.84,0.0,769.0
1994-12-15,17.84,17.87,17.84,,,17.87,20.0,769.0
1994-12-16,17.89,17.89,17.89,,,17.89,0.0,751.0
1994-12-19,17.85,17.85,17.85,,,17.85,0.0,751.0
1994-12-20,17.81,17.81,17.81,,,17.81,50.0,801.0
1994-12-21,17.79,17.79,17.79,,,17.79,73.0,780.0
1994-12-22,17.72,17.72,17.72,,,17.72,25.0,805.0
1994-12-23,17.69,17.69,17.69,,,17.69,0.0,805.0
1994-12-27,17.94,17.94,17.94,,,17.94,0.0,805.0
1994-12-28,18.13,18.13,18.13,,,18.13,0.0,805.0
1994-12-29,17.94,17.94,17.94,,,17.94,0.0,805.0
1994-12-30,18.05,18.05,18.0,,,18.0,160.0,811.0
1995-01-03,17.79,17.79,17.79,,,17.79,0.0,811.0
1995-01-04,17.93,17.93,17.93,,,17.93,0.0,811.0
1995-01-05,18.01,18.01,18.01,,,18.01,70.0,861.0
1995-01-06,18.05,18.07,17.84,,,17.84,240.0,1001.0
1995-01-09,17.64,17.64,17.64,,,17.64,0.0,1001.0
1995-01-10,17.65,17.65,17.61,,,17.61,19.0,1004.0
1995-01-11,17.72,17.75,17.72,,,17.74,185.0,1079.0
1995-01-12,17.68,17.68,17.68,,,17.68,550.0,1079.0
1995-01-13,17.57,17.57,17.57,,,17.57,0.0,1629.0
1995-01-16,17.72,17.72,17.72,,,17.72,0.0,1629.0
1995-01-17,17.72,17.95,17.7,,,17.95,225.0,1650.0
1995-01-18,17.92,17.92,17.92,,,17.92,0.0,1651.0
1995-01-19,17.67,17.67,17.67,,,17.67,0.0,1650.0
1995-01-20,17.76,17.76,17.76,,,17.76,0.0,1650.0
1995-01-23,17.64,17.64,17.64,,,17.64,0.0,1650.0
1995-01-24,17.68,17.73,17.68,,,17.73,2.0,1660.0
1995-01-25,17.78,17.78,17.55,,,17.61,125.0,1739.0
1995-01-26,17.7,17.73,17.65,,,17.65,75.0,1739.0
1995-01-27,17.58,17.58,17.58,,,17.58,10.0,1739.0
1995-01-30,17.62,17.64,17.62,,,17.64,0.0,1739.0
1995-01-31,17.7,17.88,17.7,,,17.88,5.0,1739.0
1995-02-01,17.7,17.7,17.7,,,17.7,50.0,1739.0
1995-02-02,17.59,17.59,17.59,,,17.59,0.0,1739.0
1995-02-03,17.69,17.69,17.6,,,17.62,106.0,1827.0
1995-02-06,17.63,17.63,17.63,,,17.63,0.0,1831.0
1995-02-07,17.52,17.52,17.52,,,17.52,0.0,1831.0
1995-02-08,17.53,17.53,17.48,,,17.48,16.0,1831.0
1995-02-09,17.54,17.54,17.54,,,17.54,10.0,1831.0
1995-02-10,17.71,17.71,17.71,,,17.71,0.0,1831.0
1995-02-13,17.7,17.7,17.7,,,17.7,0.0,1831.0
1995-02-14,17.78,17.78,17.75,,,17.75,142.0,1923.0
1995-02-15,17.81,17.81,17.75,,,17.75,142.0,1956.0
1995-02-16,17.84,17.84,17.84,,,17.84,30.0,1856.0
1995-02-17,17.78,17.84,17.78,,,17.84,3.0,1856.0
1995-02-21,17.76,17.76,17.76,,,17.76,0.0,1856.0
1995-02-22,17.8,17.8,17.8,,,17.8,0.0,1856.0
1995-02-23,17.75,17.76,17.7,,,17.7,76.0,1872.0
1995-02-24,17.82,17.82,17.82,,,17.82,0.0,1872.0
1995-02-27,17.79,17.79,17.76,,,17.76,7.0,1872.0
1995-02-28,17.73,17.73,17.73,,,17.73,0.0,1872.0
1995-03-01,17.73,17.73,17.58,,,17.58,40.0,1872.0
1995-03-02,17.6,17.6,17.6,,,17.6,90.0,1962.0
1995-03-03,17.67,17.77,17.67,,,17.77,10.0,1962.0
1995-03-06,17.76,17.78,17.76,,,17.78,19.0,1981.0
1995-03-07,17.77,17.8,17.77,,,17.8,570.0,1946.0
1995-03-08,17.8,17.8,17.77,,,17.77,462.0,1938.0
1995-03-09,17.7,17.72,17.68,,,17.72,195.0,1809.0
1995-03-10,17.67,17.71,17.67,,,17.69,195.0,1817.0
1995-03-13,17.85,17.85,17.85,,,17.85,0.0,1867.0
1995-03-14,17.75,17.75,17.7,,,17.72,316.0,2133.0
1995-03-15,17.82,17.82,17.82,,,17.82,175.0,2233.0
1995-03-16,17.75,17.75,17.75,,,17.75,180.0,2288.0
1995-03-17,17.77,17.83,17.76,,,17.83,28.0,2273.0
1995-03-20,17.9,17.9,17.9,,,17.9,1.0,2274.0
1995-03-21,17.81,17.86,17.81,,,17.86,128.0,2374.0
1995-03-22,17.92,18.02,17.9,,,18.02,77.0,2399.0
1995-03-23,17.95,17.98,17.95,,,17.98,200.0,2509.0
1995-03-24,17.96,17.96,17.83,,,17.87,315.0,2710.0
1995-03-27,17.9,17.97,17.9,,,17.93,231.0,2921.0
1995-03-28,17.93,17.95,17.9,,,17.91,62.0,2909.0
1995-03-29,17.91,17.95,17.91,,,17.91,201.0,2953.0
1995-03-30,17.89,17.9,17.86,,,17.87,649.0,3208.0
1995-03-31,17.87,17.87,17.85,,,17.87,55.0,3191.0
1995-04-03,17.84,17.84,17.84,,,17.84,0.0,3190.0
1995-04-04,17.85,17.97,17.85,,,17.97,272.0,3270.0
1995-04-05,18.03,18.19,18.03,,,18.19,350.0,3255.0
1995-04-06,18.14,18.4,18.12,,,18.4,280.0,3352.0
1995-04-07,18.35,18.35,18.28,,,18.31,74.0,3406.0
1995-04-10,18.26,18.29,18.25,,,18.29,97.0,3432.0
1995-04-11,18.44,18.44,18.36,,,18.41,74.0,3406.0
1995-04-12,18.46,18.46,18.15,,,18.15,204.0,3673.0
1995-04-13,18.05,18.05,17.92,,,17.92,154.0,3614.0
1995-04-17,18.33,18.33,18.24,,,18.24,140.0,3680.0
1995-04-18,18.2,18.28,18.2,,,18.28,116.0,3780.0
1995-04-19,18.2,18.32,18.15,,,18.32,773.0,4024.0
1995-04-20,18.32,18.32,18.2,,,18.3,192.0,4011.0
1995-04-21,18.11,18.43,18.11,,,18.43,445.0,4123.0
1995-04-24,18.27,18.28,18.27,,,18.28,301.0,4275.0
1995-04-25,18.36,18.36,18.27,,,18.36,552.0,4398.0
1995-04-26,18.3,18.3,18.3,,,18.3,260.0,4163.0
1995-04-27,18.39,18.42,18.39,,,18.42,237.0,4111.0
1995-04-28,18.45,18.45,18.45,,,18.45,0.0,4111.0
1995-05-01,18.46,18.54,18.4,,,18.4,91.0,4076.0
1995-05-02,18.33,18.33,18.23,,,18.23,1124.0,5071.0
1995-05-03,18.25,18.32,18.19,,,18.19,209.0,5219.0
1995-05-04,18.24,18.4,18.24,,,18.4,291.0,5214.0
1995-05-05,18.4,18.44,18.4,,,18.44,85.0,5240.0
1995-05-08,18.46,18.46,18.42,,,18.42,11.0,5250.0
1995-05-09,18.04,18.04,18.04,,,18.04,420.0,5670.0
1995-05-10,18.11,18.21,18.1,,,18.21,1538.0,5355.0
1995-05-11,18.09,18.09,18.09,,,18.09,746.0,5525.0
1995-05-12,18.01,18.12,18.01,,,18.1,200.0,5525.0
1995-05-15,18.16,18.36,18.16,,,18.36,16.0,5522.0
1995-05-16,18.4,18.49,18.4,,,18.49,286.0,5578.0
1995-05-17,18.4,18.54,18.4,,,18.54,1247.0,5694.0
1995-05-18,18.58,18.58,18.58,,,18.58,0.0,5694.0
1995-05-19,18.54,18.6,18.53,,,18.59,217.0,5769.0
1995-05-22,18.54,18.67,18.52,,,18.67,421.0,5790.0
1995-05-23,18.6,18.63,18.6,,,18.63,256.0,5989.0
1995-05-24,18.65,18.65,18.36,,,18.36,770.0,5989.0
1995-05-25,18.4,18.4,18.32,,,18.32,601.0,5989.0
1995-05-26,18.06,18.06,18.06,,,18.06,250.0,6047.0
1995-05-30,18.2,18.2,18.2,,,18.2,1126.0,6332.0
1995-05-31,18.2,18.28,18.2,,,18.28,825.0,6837.0
1995-06-01,18.15,18.2,18.15,,,18.2,935.0,6329.0
1995-06-02,18.2,18.3,18.18,,,18.3,935.0,6329.0
1995-06-05,18.27,18.27,18.25,,,18.25,166.0,6460.0
1995-06-06,18.21,18.21,18.21,,,18.21,600.0,6350.0
1995-06-07,18.25,18.25,18.2,,,18.2,21.0,6320.0
1995-06-08,18.13,18.13,18.08,,,18.08,61.0,6344.0
1995-06-09,18.01,18.06,17.96,,,18.06,280.0,6415.0
1995-06-12,18.14,18.14,18.14,,,18.14,100.0,6454.0
1995-06-13,18.12,18.12,18.12,,,18.12,0.0,6454.0
1995-06-14,18.06,18.18,18.06,,,18.18,610.0,6447.0
1995-06-15,18.15,18.15,17.98,,,17.98,118.0,6459.0
1995-06-16,17.95,17.95,17.89,,,17.89,50.0,6409.0
1995-06-19,17.64,17.72,17.55,,,17.55,302.0,6521.0
1995-06-20,17.67,17.68,17.65,,,17.65,864.0,7148.0
1995-06-21,17.57,17.57,17.37,,,17.37,899.0,7321.0
1995-06-22,17.52,17.52,17.4,,,17.4,212.0,7410.0
1995-06-23,17.45,17.45,17.4,,,17.4,215.0,7414.0
1995-06-26,17.44,17.47,17.44,,,17.47,78.0,7367.0
1995-06-27,17.57,17.57,17.47,,,17.47,219.0,7461.0
1995-06-28,17.55,17.64,17.45,,,17.45,327.0,7366.0
1995-06-29,17.3,17.3,17.22,,,17.22,354.0,7066.0
1995-06-30,17.22,17.22,17.12,,,17.12,1538.0,6529.0
1995-07-05,17.0,17.05,17.0,,,17.05,104.0,6548.0
1995-07-06,17.11,17.17,17.11,,,17.17,355.0,6606.0
1995-07-07,17.14,17.14,16.98,,,16.98,602.0,6277.0
1995-07-10,16.95,17.22,16.94,,,17.22,709.0,6002.0
1995-07-11,17.2,17.2,17.15,,,17.15,8.0,6005.0
1995-07-12,17.27,17.27,17.07,,,17.07,101.0,5991.0
1995-07-13,17.09,17.09,16.93,,,16.93,679.0,6246.0
1995-07-14,17.03,17.09,17.02,,,17.09,165.0,6238.0
1995-07-17,17.05,17.05,17.05,,,17.05,230.0,6438.0
1995-07-18,17.12,17.19,17.12,,,17.19,28.0,6430.0
1995-07-19,17.12,17.2,17.12,,,17.12,220.0,6461.0
1995-07-20,17.1,17.1,16.9,,,16.9,50.0,6461.0
1995-07-21,16.97,16.99,16.92,,,16.94,746.0,6564.0
1995-07-24,16.92,17.1,16.92,,,17.05,929.0,6576.0
1995-07-25,17.11,17.11,17.0,,,17.06,206.0,6659.0
1995-07-26,17.18,17.34,17.18,,,17.34,1093.0,7162.0
1995-07-27,17.38,17.4,17.18,,,17.18,664.0,7474.0
1995-07-28,17.31,17.31,17.16,,,17.16,57.0,7474.0
1995-07-31,17.16,17.19,17.16,,,17.19,380.0,7620.0
1995-08-01,17.26,17.26,17.26,,,17.26,20.0,7640.0
1995-08-02,17.23,17.37,17.23,,,17.29,472.0,7707.0
1995-08-03,17.37,17.37,17.26,,,17.28,1364.0,6971.0
1995-08-04,17.26,17.31,17.26,,,17.31,1167.0,7774.0
1995-08-07,17.29,17.32,17.29,,,17.32,100.0,7897.0
1995-08-08,17.33,17.36,17.33,,,17.36,784.0,8165.0
1995-08-09,17.38,17.38,17.38,,,17.38,80.0,8105.0
1995-08-10,17.37,17.45,17.37,,,17.45,170.0,8179.0
1995-08-11,17.46,17.46,17.34,,,17.34,420.0,8260.0
