Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2015-11-20,,,,,0.0,56.68,0.0,0.0
2015-11-23,,,,,0.29,56.97,0.0,0.0
2015-11-24,,,,,1.26,58.23,0.0,0.0
2015-11-25,,,,,0.03,58.2,0.0,0.0
2015-11-27,,,,,0.52,57.68,0.0,0.0
2015-11-30,,,,,0.21,57.47,0.0,0.0
2015-12-01,,,,,0.08,57.39,0.0,0.0
2015-12-02,,,,,0.28,57.11,0.0,0.0
2015-12-03,,,,,0.6,57.71,0.0,0.0
2015-12-04,,,,,0.06,57.65,0.0,0.0
2015-12-07,,,,,0.25,57.4,0.0,0.0
2015-12-08,,,,,0.09,57.31,0.0,0.0
2015-12-09,,,,,0.1,57.21,0.0,0.0
2015-12-10,,,,,0.2,57.41,0.0,0.0
2015-12-11,,,,,0.7,56.71,0.0,0.0
2015-12-14,,,,,1.16,55.55,0.0,0.0
2015-12-15,,,,,0.07,55.62,0.0,0.0
2015-12-16,,,,,0.39,55.23,0.0,0.0
2015-12-17,,,,,0.18,55.05,0.0,0.0
2015-12-18,,,,,0.3,54.75,0.0,0.0
2015-12-21,,,,,0.68,54.07,0.0,0.0
2015-12-22,,,,,0.88,53.19,0.0,0.0
2015-12-23,,,,,0.12,53.31,0.0,0.0
2015-12-24,,,,,0.94,54.25,0.0,0.0
2015-12-28,,,,,0.37,53.88,0.0,0.0
2015-12-29,,,,,0.73,54.61,0.0,0.0
2015-12-30,,,,,0.67,53.94,0.0,0.0
2015-12-31,,,,,0.55,54.49,0.0,0.0
2016-01-04,,,,,0.17,54.32,0.0,0.0
2016-01-05,,,,,0.51,53.81,0.0,0.0
2016-01-06,,,,,1.17,52.64,0.0,0.0
2016-01-07,,,,,0.93,51.71,0.0,0.0
2016-01-08,,,,,0.08,51.63,0.0,0.0
2016-01-11,,,,,1.23,50.4,0.0,0.0
2016-01-12,,,,,1.27,49.13,0.0,0.0
2016-01-13,,,,,1.0,48.13,0.0,0.0
2016-01-14,,,,,0.53,48.66,0.0,0.0
2016-01-15,,,,,2.29,46.37,0.0,0.0
2016-01-19,,,,,1.24,45.13,0.0,0.0
2016-01-20,,,,,0.49,44.64,0.0,0.0
2016-01-21,,,,,0.38,45.02,0.0,0.0
2016-01-22,,,,,2.0,47.02,0.0,0.0
2016-01-25,,,,,0.25,47.27,0.0,0.0
2016-01-26,,,,,0.78,48.05,0.0,0.0
2016-01-27,,,,,0.6,48.65,0.0,0.0
2016-01-28,,,,,0.52,49.17,0.0,0.0
2016-01-29,,,,,0.96,50.13,0.0,0.0
2016-02-01,,,,,1.28,48.85,0.0,0.0
2016-02-02,,,,,0.73,48.12,0.0,0.0
2016-02-03,,,,,0.85,48.97,0.0,0.0
2016-02-04,,,,,0.46,49.43,0.0,0.0
2016-02-05,,,,,0.09,49.34,0.0,0.0
2016-02-08,,,,,0.38,48.96,0.0,0.0
2016-02-09,,,,,2.45,46.51,0.0,0.0
2016-02-10,,,,,0.41,46.92,0.0,0.0
2016-02-11,,,,,0.04,46.96,0.0,0.0
2016-02-12,,,,,2.47,49.43,0.0,0.0
2016-02-16,,,,,1.17,48.26,0.0,0.0
2016-02-17,,,,,0.85,49.11,0.0,0.0
2016-02-18,,,,,0.51,48.6,0.0,0.0
2016-02-19,,,,,0.95,47.65,0.0,0.0
2016-02-22,,,,,0.97,48.62,0.0,0.0
2016-02-23,,,,,1.1,47.52,0.0,0.0
2016-02-24,,,,,0.29,47.81,0.0,0.0
2016-02-25,,,,,0.23,48.04,0.0,0.0
2016-02-26,,,,,0.91,47.13,0.0,0.0
2016-02-29,,,,,1.05,48.18,0.0,0.0
2016-03-01,,,,,0.23,48.41,0.0,0.0
2016-03-02,,,,,0.22,48.19,0.0,0.0
2016-03-03,,,,,0.23,47.96,0.0,0.0
2016-03-04,,,,,0.67,48.63,0.0,0.0
2016-03-07,,,,,1.18,49.81,0.0,0.0
2016-03-08,,,,,0.86,48.95,0.0,0.0
2016-03-09,,,,,0.92,49.87,0.0,0.0
2016-03-10,,,,,0.28,49.59,0.0,0.0
2016-03-11,,,,,0.32,49.91,0.0,0.0
2016-03-14,,,,,0.8,49.11,0.0,0.0
2016-03-15,,,,,0.13,48.98,0.0,0.0
2016-03-16,,,,,0.59,49.57,0.0,0.0
2016-03-17,,,,,0.04,49.61,0.0,0.0
2016-03-18,,,,,0.28,49.89,0.0,0.0
2016-03-21,,,,,0.25,50.14,0.0,0.0
2016-03-22,,,,,0.18,50.32,0.0,0.0
2016-03-23,,,,,0.41,49.91,0.0,0.0
2016-03-24,,,,,0.33,49.58,0.0,0.0
2016-03-28,,,,,0.06,49.52,0.0,0.0
2016-03-29,,,,,0.09,49.61,0.0,0.0
2016-03-30,,,,,0.7,50.31,0.0,0.0
2016-03-31,,,,,0.37,50.68,0.0,0.0
2016-04-01,,,,,1.13,49.55,0.0,0.0
2016-04-04,,,,,0.89,48.66,0.0,0.0
2016-04-05,,,,,0.4,48.26,0.0,0.0
2016-04-06,,,,,1.09,49.35,0.0,0.0
2016-04-07,,,,,0.96,48.39,0.0,0.0
2016-04-08,,,,,1.44,49.83,0.0,0.0
2016-04-11,,,,,0.62,50.45,0.0,0.0
2016-04-12,,,,,0.81,51.26,0.0,0.0
2016-04-13,,,,,0.18,51.08,0.0,0.0
2016-04-14,,,,,0.65,50.43,0.0,0.0
2016-04-15,,,,,1.2,49.23,0.0,0.0
2016-04-18,,,,,0.15,49.08,0.0,0.0
2016-04-19,,,,,0.67,49.75,0.0,0.0
2016-04-20,,,,,1.32,51.07,0.0,0.0
2016-04-21,,,,,0.2,50.87,0.0,0.0
2016-04-22,,,,,1.02,51.89,0.0,0.0
2016-04-25,,,,,0.08,51.97,0.0,0.0
2016-04-26,,,,,0.44,52.41,0.0,0.0
2016-04-27,,,,,0.82,53.23,0.0,0.0
2016-04-28,,,,,0.2,53.03,0.0,0.0
2016-04-29,,,,,0.26,53.29,0.0,0.0
2016-05-02,,,,,0.52,52.77,0.0,0.0
2016-05-03,,,,,0.17,52.6,0.0,0.0
2016-05-04,,,,,0.31,52.91,0.0,0.0
2016-05-05,,,,,0.62,53.53,0.0,0.0
2016-05-06,,,,,0.64,54.17,0.0,0.0
2016-05-09,,,,,0.29,53.88,0.0,0.0
2016-05-10,,,,,0.61,54.49,0.0,0.0
2016-05-11,,,,,0.24,54.73,0.0,0.0
2016-05-12,,,,,0.32,54.41,0.0,0.0
2016-05-13,,,,,1.15,53.26,0.0,0.0
2016-05-16,,,,,0.27,53.53,0.0,0.0
2016-05-17,,,,,0.66,54.19,0.0,0.0
2016-05-18,,,,,0.36,54.55,0.0,0.0
2016-05-19,,,,,0.41,54.96,0.0,0.0
2016-05-20,,,,,0.32,54.64,0.0,0.0
2016-05-23,,,,,0.46,55.1,0.0,0.0
2016-05-24,,,,,0.28,55.38,0.0,0.0
2016-05-25,,,,,0.38,55.76,0.0,0.0
2016-05-26,,,,,0.13,55.89,0.0,0.0
2016-05-27,,,,,0.32,56.21,0.0,0.0
2016-05-31,,,,,0.08,56.29,0.0,0.0
2016-06-01,,,,,0.22,56.07,0.0,0.0
2016-06-02,,,,,0.21,56.28,0.0,0.0
2016-06-03,,,,,0.58,55.7,0.0,0.0
2016-06-06,,,,,0.28,55.98,0.0,0.0
2016-06-07,,,,,0.29,56.27,0.0,0.0
2016-06-08,,,,,0.08,56.35,0.0,0.0
2016-06-09,,,,,0.46,55.89,0.0,0.0
