Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2018-01-22,,,,,0.0,54.15,0.0,0.0
2018-01-23,,,,,0.22,54.37,0.0,0.0
2018-01-24,,,,,0.54,53.83,0.0,0.0
2018-01-25,,,,,0.18,54.01,0.0,0.0
2018-01-26,,,,,0.11,53.9,0.0,0.0
2018-01-29,,,,,0.37,53.53,0.0,0.0
2018-01-30,,,,,0.62,52.91,0.0,0.0
2018-01-31,,,,,0.19,52.72,0.0,0.0
2018-02-01,,,,,0.01,52.71,0.0,0.0
2018-02-02,,,,,0.96,51.75,0.0,0.0
2018-02-05,,,,,0.34,51.41,0.0,0.0
2018-02-06,,,,,0.25,51.16,0.0,0.0
2018-02-07,,,,,0.63,50.53,0.0,0.0
2018-02-08,,,,,0.03,50.56,0.0,0.0
2018-02-09,,,,,0.54,50.02,0.0,0.0
2018-02-12,,,,,0.23,50.25,0.0,0.0
2018-02-13,,,,,0.69,50.94,0.0,0.0
2018-02-14,,,,,0.03,50.91,0.0,0.0
2018-02-15,,,,,0.04,50.87,0.0,0.0
2018-02-16,,,,,0.29,51.16,0.0,0.0
2018-02-20,,,,,0.6,51.76,0.0,0.0
2018-02-21,,,,,0.04,51.8,0.0,0.0
2018-02-22,,,,,0.14,51.94,0.0,0.0
2018-02-23,,,,,0.79,52.73,0.0,0.0
2018-02-26,,,,,0.61,53.34,0.0,0.0
2018-02-27,,,,,0.4,52.94,0.0,0.0
2018-02-28,,,,,1.54,51.4,0.0,0.0
2018-03-01,,,,,0.31,51.09,0.0,0.0
2018-03-02,,,,,0.03,51.12,0.0,0.0
2018-03-05,,,,,0.69,51.81,0.0,0.0
2018-03-06,,,,,0.07,51.88,0.0,0.0
2018-03-07,,,,,0.6,51.28,0.0,0.0
2018-03-08,,,,,0.01,51.29,0.0,0.0
2018-03-09,,,,,0.97,52.26,0.0,0.0
2018-03-12,,,,,0.1,52.16,0.0,0.0
2018-03-13,,,,,0.11,52.05,0.0,0.0
2018-03-14,,,,,0.14,52.19,0.0,0.0
2018-03-15,,,,,0.21,51.98,0.0,0.0
2018-03-16,,,,,0.02,51.96,0.0,0.0
2018-03-19,,,,,0.41,51.55,0.0,0.0
2018-03-20,,,,,0.16,51.71,0.0,0.0
2018-03-21,,,,,0.71,52.42,0.0,0.0
2018-03-22,,,,,0.45,51.97,0.0,0.0
2018-03-23,,,,,0.41,52.38,0.0,0.0
2018-03-26,,,,,0.19,52.19,0.0,0.0
2018-03-27,,,,,,52.19,0.0,0.0
2018-03-28,,,,,0.02,52.17,0.0,0.0
2018-03-29,,,,,0.22,51.95,0.0,0.0
2018-04-02,,,,,0.94,51.01,0.0,0.0
2018-04-03,,,,,0.38,51.39,0.0,0.0
2018-04-04,,,,,0.04,51.35,0.0,0.0
2018-04-05,,,,,0.15,51.5,0.0,0.0
2018-04-06,,,,,0.7,50.8,0.0,0.0
2018-04-09,,,,,0.15,50.95,0.0,0.0
2018-04-10,,,,,0.29,51.24,0.0,0.0
2018-04-11,,,,,0.3,51.54,0.0,0.0
2018-04-12,,,,,0.33,51.21,0.0,0.0
2018-04-13,,,,,0.07,51.14,0.0,0.0
2018-04-16,,,,,0.03,51.11,0.0,0.0
2018-04-17,,,,,0.05,51.06,0.0,0.0
2018-04-18,,,,,0.09,50.97,0.0,0.0
2018-04-19,,,,,0.18,51.15,0.0,0.0
2018-04-20,,,,,0.06,51.09,0.0,0.0
2018-04-23,,,,,0.33,51.42,0.0,0.0
2018-04-24,,,,,0.44,50.98,0.0,0.0
2018-04-25,,,,,0.11,50.87,0.0,0.0
2018-04-26,,,,,0.03,50.9,0.0,0.0
2018-04-27,,,,,0.34,50.56,0.0,0.0
2018-04-30,,,,,0.16,50.72,0.0,0.0
2018-05-01,,,,,0.29,50.43,0.0,0.0
2018-05-02,,,,,0.05,50.38,0.0,0.0
2018-05-03,,,,,0.45,50.83,0.0,0.0
2018-05-04,,,,,0.67,51.5,0.0,0.0
2018-05-07,,,,,0.33,51.83,0.0,0.0
2018-05-08,,,,,0.46,51.37,0.0,0.0
2018-05-09,,,,,0.81,52.18,0.0,0.0
2018-05-10,,,,,0.35,52.53,0.0,0.0
2018-05-11,,,,,0.19,52.72,0.0,0.0
2018-05-14,,,,,0.33,53.05,0.0,0.0
2018-05-15,,,,,0.43,53.48,0.0,0.0
2018-05-16,,,,,0.12,53.36,0.0,0.0
2018-05-17,,,,,0.62,53.98,0.0,0.0
