Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
1989-11-28,18.35,18.35,17.94,,,17.94,155.0,150.0
1989-11-29,18.01,18.01,18.01,,,18.01,0.0,200.0
1989-11-30,18.41,18.41,18.41,,,18.41,55.0,155.0
1989-12-01,18.77,18.77,18.77,,,18.77,100.0,200.0
1989-12-04,18.71,18.71,18.71,,,18.71,0.0,300.0
1989-12-05,18.75,18.75,18.75,,,18.75,0.0,300.0
1989-12-06,18.85,18.85,18.85,,,18.85,0.0,300.0
1989-12-07,18.82,18.82,18.82,,,18.82,0.0,300.0
1989-12-08,18.88,18.88,18.88,,,18.88,0.0,300.0
1989-12-11,19.11,19.11,19.11,,,19.11,0.0,300.0
1989-12-12,18.93,18.93,18.69,,,18.69,584.0,875.0
1989-12-13,18.76,18.76,18.76,,,18.76,14.0,875.0
1989-12-14,18.7,18.71,18.7,,,18.71,52.0,931.0
1989-12-15,18.81,18.81,18.81,,,18.81,0.0,927.0
1989-12-18,19.05,19.05,18.83,,,18.83,20.0,947.0
1989-12-19,19.0,19.0,18.88,,,18.88,5.0,947.0
1989-12-20,18.8,18.8,18.8,,,18.8,0.0,947.0
1989-12-21,19.14,19.14,19.14,,,19.14,0.0,947.0
1989-12-22,18.87,18.87,18.87,,,18.87,0.0,947.0
1989-12-26,19.22,19.22,19.22,,,19.22,0.0,947.0
1989-12-27,19.3,19.35,19.3,,,19.35,14.0,949.0
1989-12-28,19.32,19.32,19.18,,,19.18,100.0,1017.0
1989-12-29,19.34,19.34,19.34,,,19.34,0.0,1017.0
1990-01-02,19.92,19.92,19.92,,,19.92,0.0,1017.0
1990-01-03,20.25,20.25,20.03,,,20.03,6.0,1012.0
1990-01-04,20.03,20.03,19.46,,,19.46,22.0,990.0
1990-01-05,18.95,18.95,18.95,,,18.95,0.0,990.0
1990-01-08,18.61,18.61,18.61,,,18.61,0.0,990.0
1990-01-09,18.5,18.77,18.5,,,18.77,250.0,1230.0
1990-01-10,18.9,19.22,18.9,,,19.22,10.0,1230.0
1990-01-11,19.13,19.13,19.13,,,19.13,4.0,1140.0
1990-01-12,18.68,18.68,18.68,,,18.68,0.0,1140.0
1990-01-15,18.41,18.46,18.41,,,18.46,480.0,1390.0
1990-01-16,18.43,18.43,18.43,,,18.43,500.0,1890.0
1990-01-17,18.46,18.46,18.46,,,18.46,100.0,1990.0
1990-01-18,18.8,18.8,18.52,,,18.52,4.0,1994.0
1990-01-19,18.77,18.77,18.77,,,18.77,0.0,1992.0
1990-01-22,18.85,18.85,18.84,,,18.84,4.0,1990.0
1990-01-23,18.63,18.72,18.63,,,18.72,75.0,2037.0
1990-01-24,18.72,18.72,18.69,,,18.69,30.0,2067.0
