Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2010-11-22,0.0,89.57,89.57,,,89.57,0.0,0.0
2010-11-23,0.0,89.22,89.22,,,89.22,0.0,0.0
2010-11-24,0.0,91.45,91.45,,,91.45,0.0,0.0
2010-11-26,0.0,91.21,91.21,,,91.21,0.0,0.0
2010-11-29,0.0,92.65,92.65,,,92.65,0.0,0.0
2010-11-30,0.0,90.42,90.41,,,90.41,0.0,0.0
2010-12-01,0.0,91.86,91.86,,,91.86,0.0,0.0
2010-12-02,0.0,91.46,91.46,,,91.46,0.0,0.0
2010-12-03,0.0,89.34,89.04,,,89.34,0.0,0.0
2010-12-06,0.0,88.04,88.04,,,88.04,0.0,0.0
2010-12-07,0.0,89.99,89.99,,,89.99,0.0,0.0
2010-12-08,0.0,90.97,90.97,,,90.97,0.0,0.0
2010-12-09,0.0,90.88,90.88,,,90.88,0.0,0.0
2010-12-10,0.0,90.4,90.4,,,90.4,0.0,0.0
2010-12-13,0.0,90.83,90.63,,,90.63,0.0,0.0
2010-12-14,0.0,91.33,91.33,,,91.33,0.0,0.0
2010-12-15,0.0,92.08,92.08,,,92.08,0.0,0.0
2010-12-16,0.0,91.9,91.9,,,91.9,0.0,0.0
2010-12-17,0.0,91.84,91.84,,,91.84,0.0,0.0
2010-12-20,0.0,92.75,92.75,,,92.75,0.0,0.0
2010-12-21,0.0,92.75,92.75,,,92.75,0.0,0.0
2010-12-22,0.0,93.06,93.06,,,93.06,0.0,0.0
2010-12-23,0.0,93.71,93.71,,,93.71,0.0,0.0
2010-12-27,0.0,93.36,93.36,,,93.36,0.0,0.0
2010-12-28,0.0,93.85,93.85,,,93.85,0.0,0.0
2010-12-29,0.0,94.2,94.2,,,94.2,0.0,0.0
2010-12-30,0.0,93.61,93.61,,,93.61,0.0,0.0
2010-12-31,0.0,94.89,94.89,,,94.89,0.0,0.0
2011-01-03,0.0,94.58,94.58,,,94.58,0.0,0.0
2011-01-04,0.0,93.96,93.96,,,93.96,0.0,0.0
2011-01-05,0.0,95.69,95.69,,,95.69,0.0,0.0
2011-01-06,0.0,95.46,95.46,,,95.46,0.0,0.0
2011-01-07,0.0,93.91,93.91,,,93.91,0.0,0.0
2011-01-10,0.0,95.56,95.56,,,95.56,0.0,0.0
2011-01-11,0.0,96.99,96.99,,,96.99,0.0,0.0
2011-01-12,0.0,97.12,97.12,,,97.12,0.0,0.0
2011-01-13,0.0,96.89,96.89,,,96.89,0.0,0.0
2011-01-14,0.0,97.4,97.4,,,97.4,0.0,0.0
2011-01-18,0.0,97.6,97.6,,,97.6,0.0,0.0
2011-01-19,0.0,97.5,97.5,,,97.5,0.0,0.0
2011-01-20,0.0,97.38,97.38,,,97.38,0.0,0.0
2011-01-21,0.0,98.35,98.35,,,98.35,0.0,0.0
2011-01-24,0.0,97.82,97.82,,,97.82,0.0,0.0
2011-01-25,0.0,97.03,97.03,,,97.03,0.0,0.0
2011-01-26,0.0,98.6,98.6,,,98.6,0.0,0.0
2011-01-27,0.0,98.33,98.33,,,98.33,0.0,0.0
2011-01-28,0.0,99.21,99.2,,,99.2,0.0,0.0
2011-01-31,0.0,100.28,100.28,,,100.28,0.0,0.0
2011-02-01,0.0,100.73,100.69,,,100.73,0.0,0.0
2011-02-02,0.0,101.5,101.5,,,101.5,0.0,0.0
2011-02-03,0.0,102.81,102.81,,,102.81,0.0,0.0
2011-02-04,0.0,101.91,101.91,,,101.91,0.0,0.0
2011-02-07,0.0,101.57,101.57,,,101.57,0.0,0.0
2011-02-08,0.0,103.02,102.98,,,103.02,0.0,0.0
2011-02-09,0.0,103.71,103.71,,,103.71,0.0,0.0
2011-02-10,0.0,102.88,102.88,,,102.88,0.0,0.0
2011-02-11,0.0,102.47,102.47,,,102.47,0.0,0.0
2011-02-14,0.0,104.38,104.38,,,104.38,0.0,0.0
2011-02-15,0.0,103.03,103.03,,,103.03,0.0,0.0
2011-02-16,0.0,103.41,103.41,,,103.41,0.0,0.0
2011-02-17,0.0,103.3,103.3,,,103.3,0.0,0.0
2011-02-18,0.0,103.9,103.9,,,103.9,0.0,0.0
