Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
1986-07-15,11.67,11.67,11.67,,,11.67,0.0,85.0
1986-07-16,12.14,12.14,12.14,,,12.14,0.0,85.0
1986-07-17,11.51,11.51,11.51,,,11.51,0.0,85.0
1986-07-18,11.77,11.77,11.77,,,11.77,0.0,85.0
1986-07-21,12.2,12.2,12.01,,,12.01,2.0,87.0
1986-07-22,11.75,11.75,11.75,,,11.75,0.0,87.0
1986-07-23,11.7,11.75,11.7,,,11.72,6.0,93.0
1986-07-24,11.69,11.69,11.69,,,11.69,0.0,83.0
1986-07-25,11.75,11.75,11.49,,,11.49,68.0,135.0
1986-07-28,11.2,11.63,11.0,,,11.63,15.0,131.0
1986-07-29,12.01,12.01,12.01,,,12.01,0.0,131.0
1986-07-30,12.5,12.5,12.28,,,12.28,5.0,136.0
1986-07-31,12.2,12.2,11.35,,,11.84,13.0,149.0
1986-08-01,12.15,12.15,12.15,,,12.15,0.0,149.0
1986-08-04,12.35,13.15,12.35,,,13.15,97.0,211.0
1986-08-05,14.65,14.65,14.65,,,14.65,0.0,211.0
1986-08-06,14.6,14.82,14.6,,,14.82,14.0,210.0
1986-08-07,15.05,15.11,15.0,,,15.11,10.0,200.0
1986-08-08,14.95,14.95,14.35,,,14.35,3.0,203.0
1986-08-11,14.6,14.6,14.16,,,14.16,50.0,156.0
1986-08-12,15.0,15.0,14.65,,,14.65,1.0,155.0
1986-08-13,14.95,15.13,14.8,,,15.13,15.0,170.0
1986-08-14,15.15,15.26,15.15,,,15.26,3.0,173.0
1986-08-15,15.65,15.69,15.65,,,15.69,231.0,403.0
1986-08-18,15.58,15.58,15.58,,,15.58,0.0,402.0
1986-08-19,15.25,15.25,15.25,,,15.25,0.0,402.0
1986-08-20,15.5,15.5,15.47,,,15.47,17.0,409.0
1986-08-21,15.49,15.49,15.49,,,15.49,0.0,409.0
1986-08-22,15.49,15.49,15.49,,,15.49,0.0,409.0
1986-08-25,15.5,15.6,15.42,,,15.42,7.0,411.0
1986-08-26,15.55,15.55,15.55,,,15.55,0.0,396.0
1986-08-27,15.49,15.49,15.49,,,15.49,0.0,396.0
1986-08-28,15.51,15.51,15.51,,,15.51,0.0,396.0
1986-08-29,15.48,15.48,15.48,,,15.48,0.0,396.0
1986-09-02,15.55,15.58,15.49,,,15.49,28.0,414.0
1986-09-03,15.6,15.6,15.51,,,15.51,19.0,428.0
1986-09-04,15.55,15.55,15.55,,,15.55,0.0,428.0
1986-09-05,15.8,15.93,15.8,,,15.8,6.0,429.0
1986-09-08,15.75,15.75,14.97,,,14.97,5.0,362.0
1986-09-09,14.75,14.9,14.73,,,14.73,108.0,370.0
1986-09-10,14.65,14.8,14.19,,,14.19,16.0,384.0
1986-09-11,14.25,14.51,14.25,,,14.51,15.0,397.0
1986-09-12,14.55,14.59,14.37,,,14.37,4.0,401.0
1986-09-15,14.25,14.25,13.98,,,13.98,4.0,402.0
