Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2011-11-18,0.0,0.0,0.0,,,91.54,0.0,0.0
2011-11-21,0.0,0.0,0.0,,,91.03,0.0,0.0
2011-11-22,0.0,0.0,0.0,,,92.28,0.0,0.0
2011-11-23,0.0,0.0,0.0,,,91.32,0.0,0.0
2011-11-25,0.0,0.0,0.0,,,89.95,0.0,0.0
2011-11-28,0.0,0.0,0.0,,,89.97,0.0,0.0
2011-11-29,0.0,0.0,0.0,,,89.36,0.0,0.0
2011-11-30,0.0,0.0,0.0,,,90.28,0.0,0.0
2011-12-01,0.0,0.0,0.0,,,91.56,0.0,0.0
2011-12-02,0.0,0.0,0.0,,,92.42,0.0,0.0
2011-12-05,0.0,0.0,0.0,,,92.22,0.0,0.0
2011-12-06,0.0,0.0,0.0,,,92.18,0.0,0.0
2011-12-07,0.0,0.0,0.0,,,92.94,0.0,0.0
2011-12-08,0.0,0.0,0.0,,,92.29,0.0,0.0
2011-12-09,0.0,0.0,0.0,,,91.27,0.0,0.0
2011-12-12,0.0,0.0,0.0,,,90.92,0.0,0.0
2011-12-13,0.0,0.0,0.0,,,91.21,0.0,0.0
2011-12-14,0.0,0.0,0.0,,,88.81,0.0,0.0
2011-12-15,0.0,0.0,0.0,,,88.14,0.0,0.0
2011-12-16,0.0,0.0,0.0,,,88.54,0.0,0.0
2011-12-19,0.0,0.0,0.0,,,87.52,0.0,0.0
2011-12-20,0.0,0.0,0.0,,,89.25,0.0,0.0
2011-12-21,0.0,0.0,0.0,,,90.55,0.0,0.0
2011-12-22,0.0,0.0,0.0,,,90.17,0.0,0.0
2011-12-23,0.0,0.0,0.0,,,89.99,0.0,0.0
2011-12-27,0.0,0.0,0.0,,,90.68,0.0,0.0
2011-12-28,0.0,0.0,0.0,,,90.27,0.0,0.0
2011-12-29,0.0,0.0,0.0,,,91.09,0.0,0.0
2011-12-30,0.0,0.0,0.0,,,90.29,0.0,0.0
2012-01-03,0.0,0.0,0.0,,,91.18,0.0,0.0
2012-01-04,0.0,0.0,0.0,,,92.9,0.0,0.0
2012-01-05,0.0,0.0,0.0,,,92.93,0.0,0.0
2012-01-06,0.0,0.0,0.0,,,93.99,0.0,0.0
2012-01-09,0.0,0.0,0.0,,,94.32,0.0,0.0
2012-01-10,0.0,0.0,0.0,,,92.96,0.0,0.0
2012-01-11,0.0,0.0,0.0,,,92.4,0.0,0.0
2012-01-12,0.0,0.0,0.0,,,90.43,0.0,0.0
2012-01-13,0.0,0.0,0.0,,,89.82,0.0,0.0
2012-01-17,0.0,0.0,0.0,,,90.6,0.0,0.0
2012-01-18,0.0,0.0,0.0,,,90.12,0.0,0.0
2012-01-19,0.0,0.0,0.0,,,90.59,0.0,0.0
2012-01-20,0.0,0.0,0.0,,,89.12,0.0,0.0
2012-01-23,0.0,0.0,0.0,,,89.86,0.0,0.0
2012-01-24,0.0,0.0,0.0,,,90.56,0.0,0.0
2012-01-25,0.0,0.0,0.0,,,90.24,0.0,0.0
2012-01-26,0.0,0.0,0.0,,,90.03,0.0,0.0
2012-01-27,0.0,0.0,0.0,,,88.97,0.0,0.0
2012-01-30,0.0,0.0,0.0,,,88.73,0.0,0.0
2012-01-31,0.0,0.0,0.0,,,88.28,0.0,0.0
2012-02-01,0.0,0.0,0.0,,,88.92,0.0,0.0
2012-02-02,0.0,0.0,0.0,,,88.63,0.0,0.0
2012-02-03,0.0,0.0,0.0,,,90.14,0.0,0.0
2012-02-06,0.0,0.0,0.0,,,91.09,0.0,0.0
2012-02-07,0.0,0.0,0.0,,,90.57,0.0,0.0
2012-02-08,0.0,0.0,0.0,,,91.23,0.0,0.0
2012-02-09,0.0,0.0,0.0,,,92.1,0.0,0.0
2012-02-10,0.0,0.0,0.0,,,90.62,0.0,0.0
2012-02-13,0.0,0.0,0.0,,,91.17,0.0,0.0
2012-02-14,0.0,0.0,0.0,,,90.7,0.0,0.0
2012-02-15,0.0,0.0,0.0,,,90.49,0.0,0.0
2012-02-16,0.0,0.0,0.0,,,90.23,0.0,0.0
2012-02-17,0.0,0.0,0.0,,,90.37,0.0,0.0
2012-02-21,0.0,0.0,0.0,,,91.48,0.0,0.0
2012-02-22,0.0,0.0,0.0,,,90.0,0.0,0.0
2012-02-23,0.0,0.0,0.0,,,89.55,0.0,0.0
2012-02-24,0.0,0.0,0.0,,,89.67,0.0,0.0
2012-02-27,0.0,0.0,0.0,,,90.32,0.0,0.0
2012-02-28,0.0,0.0,0.0,,,90.47,0.0,0.0
2012-02-29,0.0,0.0,0.0,,,91.84,0.0,0.0
