Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
2002-02-21,20.78,20.78,20.78,,,20.78,0.0,0.0
2002-02-22,20.74,20.74,20.74,,,20.74,0.0,0.0
2002-02-25,20.4,20.4,20.4,,,20.4,0.0,0.0
2002-02-27,20.81,20.81,20.81,,,20.81,1.0,1.0
2002-02-28,21.22,21.22,21.22,,,21.22,1.0,1.0
2002-03-01,21.39,21.39,21.39,,,21.39,0.0,1.0
2002-03-04,21.46,21.46,21.46,,,21.46,0.0,1.0
2002-03-05,21.91,21.91,21.91,,,21.91,0.0,1.0
2002-03-06,21.97,21.97,21.97,,,21.97,0.0,1.0
2002-03-07,22.17,22.17,22.17,,,22.17,0.0,1.0
2002-03-08,22.4,22.4,22.4,,,22.4,0.0,1.0
2002-03-11,22.79,22.79,22.79,,,22.79,0.0,1.0
2002-03-12,22.61,22.61,22.61,,,22.61,0.0,1.0
2002-03-13,22.47,22.47,22.47,,,22.47,0.0,1.0
2002-03-14,22.3,22.3,22.3,,,22.3,0.0,1.0
2002-03-15,22.29,22.29,22.29,,,22.29,0.0,1.0
2002-03-18,22.5,22.5,22.5,,,22.5,0.0,1.0
2002-03-19,22.41,22.41,22.41,,,22.41,0.0,1.0
2002-03-20,22.21,22.21,22.21,,,22.21,0.0,1.0
2002-03-21,22.76,22.76,22.76,,,22.76,0.0,1.0
2002-03-22,22.69,22.69,22.69,,,22.69,0.0,1.0
2002-03-25,22.53,22.53,22.53,,,22.53,0.0,1.0
2002-03-26,22.77,22.77,22.77,,,22.77,0.0,1.0
2002-03-27,22.86,22.86,22.86,,,22.86,0.0,1.0
2002-03-28,22.83,22.83,22.83,,,22.83,0.0,1.0
2002-04-01,22.67,22.67,22.67,,,22.67,0.0,1.0
2002-04-02,22.78,22.78,22.78,,,22.78,0.0,1.0
2002-04-03,22.68,22.68,22.68,,,22.68,0.0,1.0
2002-04-04,22.15,22.15,22.15,,,22.15,0.0,1.0
2002-04-05,22.21,22.21,22.21,,,22.21,0.0,1.0
2002-04-08,22.09,22.09,22.09,,,22.09,0.0,1.0
2002-04-09,21.91,21.91,21.91,,,21.91,0.0,1.0
2002-04-10,22.02,22.02,22.02,,,22.02,0.0,1.0
2002-04-11,21.66,21.66,21.66,,,21.66,0.0,1.0
2002-04-12,21.52,21.52,21.52,,,21.52,0.0,1.0
2002-04-15,22.35,22.35,22.35,,,22.35,0.0,1.0
2002-04-16,22.53,22.53,22.53,,,22.53,0.0,1.0
2002-04-17,22.74,22.74,22.74,,,22.74,0.0,1.0
2002-04-18,22.25,22.25,22.25,,,22.25,0.0,1.0
2002-04-19,22.57,22.57,22.57,,,22.57,0.0,1.0
2002-04-22,22.75,22.75,22.75,,,22.75,0.0,1.0
2002-04-23,22.8,22.8,22.8,,,22.8,0.0,1.0
2002-04-24,22.69,22.69,22.69,,,22.69,0.0,1.0
2002-04-25,22.78,22.78,22.78,,,22.78,0.0,1.0
2002-04-26,22.88,22.88,22.88,,,22.88,0.0,1.0
2002-04-29,22.9,22.9,22.9,,,22.9,0.0,1.0
2002-04-30,22.89,22.89,22.89,,,22.89,0.0,1.0
2002-05-01,22.72,22.72,22.72,,,22.72,0.0,1.0
2002-05-02,22.58,22.58,22.58,,,22.58,0.0,1.0
2002-05-03,22.77,22.77,22.77,,,22.77,0.0,1.0
2002-05-06,22.79,22.79,22.79,,,22.79,0.0,1.0
2002-05-07,23.07,23.07,23.07,,,23.07,0.0,1.0
2002-05-08,23.06,23.06,23.06,,,23.06,0.0,1.0
2002-05-09,23.12,23.12,23.12,,,23.12,0.0,1.0
2002-05-10,23.1,23.12,23.1,,,23.12,10.0,11.0
2002-05-13,23.29,23.29,23.29,,,23.29,0.0,11.0
