Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
1983-12-09,28.55,28.55,28.5,,,28.5,2.0,23.0
1983-12-12,28.48,28.5,28.48,,,28.5,6.0,28.0
1983-12-13,28.45,28.45,28.35,,,28.35,1.0,28.0
1983-12-14,28.35,28.35,28.35,,,28.35,1.0,28.0
1983-12-15,28.1,28.1,27.9,,,27.9,1.0,29.0
1983-12-16,27.6,27.6,27.5,,,27.5,1.0,29.0
1983-12-19,27.6,27.6,27.6,,,27.6,1.0,29.0
1983-12-20,27.9,28.04,27.9,,,28.04,1.0,29.0
1983-12-21,28.55,28.55,28.2,,,28.2,1.0,29.0
1983-12-22,28.2,28.44,28.2,,,28.44,1.0,29.0
1983-12-23,28.46,28.94,28.46,,,28.94,1.0,29.0
1983-12-27,29.55,29.55,29.4,,,29.4,1.0,29.0
1983-12-28,29.35,29.35,29.35,,,29.35,0.0,29.0
1983-12-29,28.85,28.85,28.85,,,28.85,0.0,29.0
1983-12-30,28.75,28.75,28.2,,,28.2,2.0,30.0
1984-01-03,28.2,28.35,28.2,,,28.35,1.0,30.0
1984-01-04,28.5,28.5,28.5,,,28.5,1.0,30.0
1984-01-05,28.62,28.62,28.5,,,28.5,2.0,30.0
1984-01-06,28.25,28.45,28.25,,,28.45,1.0,30.0
1984-01-09,28.35,28.6,28.25,,,28.55,4.0,33.0
1984-01-10,28.5,28.65,28.5,,,28.65,1.0,33.0
1984-01-11,28.7,28.7,28.7,,,28.7,1.0,33.0
1984-01-12,28.65,28.75,28.65,,,28.75,2.0,34.0
1984-01-13,29.0,29.0,29.0,,,29.0,1.0,35.0
1984-01-16,29.45,29.45,29.4,,,29.45,2.0,36.0
1984-01-17,29.35,29.35,29.35,,,29.35,1.0,37.0
1984-01-18,29.3,29.35,29.25,,,29.35,1.0,38.0
1984-01-19,29.55,29.55,29.5,,,29.5,17.0,55.0
1984-01-20,29.5,29.5,29.5,,,29.5,3.0,58.0
1984-01-23,29.6,29.6,29.05,,,29.05,6.0,63.0
1984-01-24,29.23,29.23,29.2,,,29.2,2.0,64.0
1984-01-25,29.25,29.25,29.25,,,29.25,2.0,64.0
1984-01-26,29.45,29.45,29.2,,,29.2,11.0,73.0
1984-01-27,29.5,29.56,29.25,,,29.25,17.0,85.0
1984-01-30,29.3,29.3,29.05,,,29.05,6.0,90.0
1984-01-31,29.5,29.5,29.2,,,29.2,1.0,91.0
1984-02-01,29.65,29.65,29.65,,,29.65,5.0,96.0
1984-02-02,29.65,29.85,29.65,,,29.85,5.0,101.0
1984-02-03,29.85,29.85,29.75,,,29.75,26.0,110.0
1984-02-06,29.7,29.75,29.7,,,29.7,31.0,141.0
1984-02-07,29.6,29.6,29.5,,,29.5,3.0,141.0
1984-02-08,29.6,29.6,29.45,,,29.45,6.0,143.0
1984-02-09,29.35,29.35,29.22,,,29.22,4.0,146.0
1984-02-10,29.3,29.3,29.22,,,29.22,1.0,147.0
1984-02-13,28.95,28.95,28.95,,,28.95,0.0,147.0
1984-02-14,29.0,29.0,29.0,,,29.0,0.0,147.0
1984-02-15,29.0,29.0,29.0,,,29.0,0.0,147.0
