Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2010-11-22,0.0,87.19,87.19,,,87.19,0.0,0.0
2010-11-23,0.0,86.84,86.84,,,86.84,0.0,0.0
2010-11-24,0.0,89.07,89.07,,,89.07,0.0,0.0
2010-11-26,0.0,88.83,88.83,,,88.83,0.0,0.0
2010-11-29,0.0,90.37,90.37,,,90.37,0.0,0.0
2010-11-30,0.0,88.51,88.5,,,88.5,0.0,0.0
2010-12-01,0.0,90.23,90.23,,,90.23,0.0,0.0
2010-12-02,0.0,90.07,90.07,,,90.07,0.0,0.0
2010-12-03,0.0,88.09,87.79,,,88.09,0.0,0.0
2010-12-06,0.0,86.82,86.82,,,86.82,0.0,0.0
2010-12-07,0.0,88.75,88.75,,,88.75,0.0,0.0
2010-12-08,0.0,89.66,89.66,,,89.66,0.0,0.0
2010-12-09,0.0,89.49,89.49,,,89.49,0.0,0.0
2010-12-10,0.0,89.01,89.01,,,89.01,0.0,0.0
2010-12-13,0.0,89.42,89.22,,,89.22,0.0,0.0
2010-12-14,0.0,89.98,89.98,,,89.98,0.0,0.0
2010-12-15,0.0,90.71,90.71,,,90.71,0.0,0.0
2010-12-16,0.0,90.53,90.53,,,90.53,0.0,0.0
2010-12-17,0.0,90.49,90.49,,,90.49,0.0,0.0
2010-12-20,0.0,91.4,91.4,,,91.4,0.0,0.0
2010-12-21,0.0,91.4,91.4,,,91.4,0.0,0.0
2010-12-22,0.0,91.71,91.71,,,91.71,0.0,0.0
2010-12-23,0.0,92.36,92.36,,,92.36,0.0,0.0
2010-12-27,0.0,92.01,92.01,,,92.01,0.0,0.0
2010-12-28,0.0,92.48,92.48,,,92.48,0.0,0.0
2010-12-29,0.0,92.54,92.54,,,92.54,0.0,0.0
2010-12-30,0.0,91.95,91.95,,,91.95,0.0,0.0
2010-12-31,0.0,93.23,93.23,,,93.23,0.0,0.0
2011-01-03,0.0,92.91,92.91,,,92.91,0.0,0.0
2011-01-04,0.0,92.11,92.11,,,92.11,0.0,0.0
2011-01-05,0.0,93.85,93.85,,,93.85,0.0,0.0
2011-01-06,0.0,93.57,93.57,,,93.57,0.0,0.0
2011-01-07,0.0,91.99,91.99,,,91.99,0.0,0.0
2011-01-10,0.0,93.6,93.6,,,93.6,0.0,0.0
2011-01-11,0.0,95.03,95.03,,,95.03,0.0,0.0
2011-01-12,0.0,95.16,95.16,,,95.16,0.0,0.0
2011-01-13,0.0,94.93,94.93,,,94.93,0.0,0.0
2011-01-14,0.0,95.44,95.44,,,95.44,0.0,0.0
2011-01-18,0.0,95.64,95.64,,,95.64,0.0,0.0
2011-01-19,0.0,95.47,95.47,,,95.47,0.0,0.0
2011-01-20,0.0,95.26,95.26,,,95.26,0.0,0.0
2011-01-21,0.0,96.23,96.23,,,96.23,0.0,0.0
2011-01-24,0.0,95.62,95.62,,,95.62,0.0,0.0
2011-01-25,0.0,94.82,94.82,,,94.82,0.0,0.0
2011-01-26,0.0,96.51,96.51,,,96.51,0.0,0.0
2011-01-27,0.0,96.25,96.25,,,96.25,0.0,0.0
2011-01-28,0.0,97.38,97.37,,,97.37,0.0,0.0
2011-01-31,0.0,98.54,98.54,,,98.54,0.0,0.0
2011-02-01,0.0,98.97,98.93,,,98.97,0.0,0.0
2011-02-02,0.0,99.74,99.74,,,99.74,0.0,0.0
2011-02-03,0.0,100.75,100.75,,,100.75,0.0,0.0
2011-02-04,0.0,99.73,99.73,,,99.73,0.0,0.0
2011-02-07,0.0,99.43,99.43,,,99.43,0.0,0.0
2011-02-08,0.0,100.82,100.78,,,100.82,0.0,0.0
2011-02-09,0.0,101.51,101.51,,,101.51,0.0,0.0
2011-02-10,0.0,100.69,100.69,,,100.69,0.0,0.0
2011-02-11,0.0,100.28,100.28,,,100.28,0.0,0.0
2011-02-14,0.0,101.89,101.89,,,101.89,0.0,0.0
2011-02-15,0.0,100.46,100.46,,,100.46,0.0,0.0
2011-02-16,0.0,100.85,100.85,,,100.85,0.0,0.0
2011-02-17,0.0,100.68,100.68,,,100.68,0.0,0.0
2011-02-18,0.0,101.29,101.29,,,101.29,0.0,0.0
2011-02-22,0.0,100.58,100.58,,,100.58,0.0,0.0
2011-02-23,0.0,99.65,99.65,,,99.65,0.0,0.0
2011-02-24,0.0,99.51,99.51,,,99.51,0.0,0.0
2011-02-25,0.0,100.83,100.83,,,100.83,0.0,0.0
2011-02-28,0.0,100.86,100.86,,,100.86,0.0,0.0
2011-03-01,0.0,101.71,101.71,,,101.71,0.0,0.0
2011-03-02,0.0,102.48,102.48,,,102.48,0.0,0.0
2011-03-03,0.0,103.09,103.09,,,103.09,0.0,0.0
2011-03-04,0.0,102.69,102.69,,,102.69,0.0,0.0
2011-03-07,0.0,102.86,102.86,,,102.86,0.0,0.0
2011-03-08,0.0,102.78,102.78,,,102.78,0.0,0.0
2011-03-09,0.0,103.85,103.85,,,103.85,0.0,0.0
2011-03-10,0.0,102.11,102.11,,,102.11,0.0,0.0
2011-03-11,0.0,101.15,101.15,,,101.15,0.0,0.0
2011-03-14,0.0,100.97,100.97,,,100.97,0.0,0.0
2011-03-15,0.0,97.14,97.14,,,97.14,0.0,0.0
2011-03-16,0.0,97.49,97.49,,,97.49,0.0,0.0
2011-03-17,0.0,99.88,99.88,,,99.88,0.0,0.0
2011-03-18,0.0,98.88,98.88,,,98.88,0.0,0.0
2011-03-21,0.0,100.0,100.0,,,100.0,0.0,0.0
2011-03-23,0.0,101.07,101.07,,,101.07,0.0,0.0
2011-03-24,0.0,101.39,101.39,,,101.39,0.0,0.0
2011-03-25,0.0,101.43,101.43,,,101.43,0.0,0.0
2011-03-28,0.0,100.16,100.16,,,100.16,0.0,0.0
2011-03-29,0.0,100.84,100.84,,,100.84,0.0,0.0
2011-03-30,0.0,100.61,100.61,,,100.61,0.0,0.0
2011-03-31,0.0,101.63,101.63,,,101.63,0.0,0.0
2011-04-01,0.0,101.55,101.55,,,101.55,0.0,0.0
2011-04-04,0.0,102.36,102.36,,,102.36,0.0,0.0
2011-04-05,0.0,102.2,102.2,,,102.2,0.0,0.0
2011-04-06,0.0,101.43,101.43,,,101.43,0.0,0.0
2011-04-07,0.0,101.38,101.38,,,101.38,0.0,0.0
2011-04-08,0.0,103.97,103.97,,,103.97,0.0,0.0
2011-04-12,0.0,100.75,100.75,,,100.75,0.0,0.0
2011-04-13,0.0,101.56,101.56,,,101.56,0.0,0.0
2011-04-14,0.0,100.77,100.77,,,100.77,0.0,0.0
2011-04-15,0.0,102.31,102.31,,,102.31,0.0,0.0
2011-04-18,0.0,100.61,100.61,,,100.61,0.0,0.0
2011-04-19,0.0,101.28,101.28,,,101.28,0.0,0.0
2011-04-20,0.0,102.7,102.7,,,102.7,0.0,0.0
2011-04-21,0.0,103.91,103.9,,,103.9,0.0,0.0
2011-04-25,0.0,104.24,104.24,,,104.24,0.0,0.0
2011-04-26,0.0,105.26,105.26,,,105.26,0.0,0.0
2011-04-27,0.0,105.55,105.55,,,105.55,0.0,0.0
2011-04-28,0.0,105.06,105.06,,,105.06,0.0,0.0
2011-04-29,0.0,106.04,106.04,,,106.04,0.0,0.0
2011-05-02,0.0,105.77,105.77,,,105.77,0.0,0.0
2011-05-03,0.0,103.92,103.92,,,103.92,0.0,0.0
2011-05-04,0.0,103.1,103.1,,,103.1,0.0,0.0
2011-05-05,0.0,95.43,95.43,,,95.43,0.0,0.0
2011-05-06,0.0,93.04,93.04,,,93.04,0.0,0.0
2011-05-09,0.0,97.11,97.11,,,97.11,0.0,0.0
2011-05-10,0.0,97.86,97.86,,,97.86,0.0,0.0
2011-05-11,0.0,94.47,94.47,,,94.47,0.0,0.0
2011-05-12,0.0,95.29,95.29,,,95.29,0.0,0.0
2011-05-13,0.0,95.53,95.53,,,95.53,0.0,0.0
2011-05-16,0.0,94.33,94.33,,,94.33,0.0,0.0
2011-05-17,0.0,94.52,94.52,,,94.52,0.0,0.0
2011-05-18,0.0,96.35,96.35,,,96.35,0.0,0.0
2011-05-19,0.0,96.06,96.06,,,96.06,0.0,0.0
2011-05-20,0.0,98.29,98.29,,,98.29,0.0,0.0
2011-05-23,0.0,97.46,97.46,,,97.46,0.0,0.0
2011-05-24,0.0,99.02,99.02,,,99.02,0.0,0.0
2011-05-25,0.0,100.58,100.58,,,100.58,0.0,0.0
2011-05-26,0.0,100.29,100.29,,,100.29,0.0,0.0
2011-05-27,0.0,100.67,100.67,,,100.67,0.0,0.0
2011-05-31,0.0,101.52,101.52,,,101.52,0.0,0.0
2011-06-01,0.0,99.77,99.77,,,99.77,0.0,0.0
2011-06-02,0.0,100.66,100.66,,,100.66,0.0,0.0
2011-06-03,0.0,100.96,100.92,,,100.96,0.0,0.0
2011-06-06,0.0,100.19,100.19,,,100.19,0.0,0.0
2011-06-07,0.0,101.91,101.91,,,101.91,0.0,0.0
2011-06-08,0.0,102.81,102.81,,,102.81,0.0,0.0
2011-06-09,0.0,101.12,101.12,,,101.12,0.0,0.0
2011-06-10,0.0,100.39,100.39,,,100.39,0.0,0.0
2011-06-13,0.0,99.85,99.85,,,99.85,0.0,0.0
2011-06-14,0.0,100.4,100.4,,,100.4,0.0,0.0
2011-06-15,0.0,96.38,96.38,,,96.38,0.0,0.0
2011-06-16,0.0,96.68,96.68,,,96.68,0.0,0.0
2011-06-17,0.0,96.75,96.75,,,96.75,0.0,0.0
2011-06-20,0.0,97.51,97.51,,,97.51,0.0,0.0
2011-06-21,0.0,97.7,97.7,,,97.7,0.0,0.0
2011-06-22,0.0,99.42,99.42,,,99.42,0.0,0.0
2011-06-23,0.0,98.62,98.62,,,98.62,0.0,0.0
2011-06-24,0.0,100.07,100.07,,,100.07,0.0,0.0
2011-06-27,0.0,99.48,99.48,,,99.48,0.0,0.0
2011-06-28,0.0,99.95,99.95,,,99.95,0.0,0.0
2011-06-29,0.0,99.56,99.56,,,99.56,0.0,0.0
2011-06-30,0.0,100.22,100.22,,,100.22,0.0,0.0
2011-07-01,0.0,100.37,100.37,,,100.37,0.0,0.0
2011-07-05,0.0,100.81,100.81,,,100.81,0.0,0.0
2011-07-06,0.0,100.61,100.61,,,100.61,0.0,0.0
2011-07-07,0.0,101.88,101.88,,,101.88,0.0,0.0
2011-07-08,0.0,101.11,101.11,,,101.11,0.0,0.0
2011-07-11,0.0,100.7,100.7,,,100.7,0.0,0.0
2011-07-12,0.0,101.14,101.14,,,101.14,0.0,0.0
2011-07-13,0.0,102.0,102.0,,,102.0,0.0,0.0
2011-07-14,0.0,101.45,101.45,,,101.45,0.0,0.0
2011-07-15,0.0,102.53,102.53,,,102.53,0.0,0.0
2011-07-18,0.0,101.43,101.43,,,101.43,0.0,0.0
2011-07-19,0.0,101.98,101.98,,,101.98,0.0,0.0
2011-07-20,0.0,102.51,102.51,,,102.51,0.0,0.0
2011-07-21,0.0,103.34,103.34,,,103.34,0.0,0.0
2011-07-22,0.0,103.19,103.19,,,103.19,0.0,0.0
2011-07-25,0.0,103.0,103.0,,,103.0,0.0,0.0
2011-07-26,0.0,102.93,102.93,,,102.93,0.0,0.0
2011-07-27,0.0,101.81,101.81,,,101.81,0.0,0.0
2011-07-28,0.0,101.75,101.75,,,101.75,0.0,0.0
2011-07-29,0.0,100.87,100.87,,,100.87,0.0,0.0
2011-08-01,0.0,100.75,100.75,,,100.75,0.0,0.0
2011-08-02,0.0,99.32,99.32,,,99.32,0.0,0.0
2011-08-03,0.0,97.06,97.06,,,97.06,0.0,0.0
2011-08-04,0.0,93.42,93.42,,,93.42,0.0,0.0
2011-08-05,0.0,95.55,95.55,,,95.55,0.0,0.0
2011-08-08,0.0,92.18,92.18,,,92.18,0.0,0.0
2011-08-09,0.0,90.58,90.58,,,90.58,0.0,0.0
2011-08-10,0.0,91.53,91.53,,,91.53,0.0,0.0
2011-08-11,0.0,93.44,93.44,,,93.44,0.0,0.0
2011-08-12,0.0,92.6,92.6,,,92.6,0.0,0.0
2011-08-15,0.0,94.02,94.01,,,94.02,0.0,0.0
2011-08-16,0.0,92.92,92.92,,,92.92,0.0,0.0
2011-08-17,0.0,93.64,93.64,,,93.64,0.0,0.0
2011-08-18,0.0,89.43,89.43,,,89.43,0.0,0.0
2011-08-19,0.0,90.82,90.82,,,90.82,0.0,0.0
2011-08-22,0.0,91.7,91.7,,,91.7,0.0,0.0
2011-10-03,0.0,0.0,0.0,,,86.04,0.0,0.0
2011-10-04,0.0,0.0,0.0,,,84.91,0.0,0.0
2011-10-05,0.0,0.0,0.0,,,87.68,0.0,0.0
2011-10-06,0.0,0.0,0.0,,,89.95,0.0,0.0
2011-10-07,0.0,0.0,0.0,,,88.16,0.0,0.0
2011-10-10,0.0,0.0,0.0,,,89.14,0.0,0.0
2011-10-11,0.0,0.0,0.0,,,90.33,0.0,0.0
2011-10-12,0.0,0.0,0.0,,,90.16,0.0,0.0
2011-10-13,0.0,0.0,0.0,,,89.55,0.0,0.0
2011-10-14,0.0,0.0,0.0,,,90.79,0.0,0.0
2011-10-18,0.0,0.0,0.0,,,92.04,0.0,0.0
2011-10-20,0.0,0.0,0.0,,,89.54,0.0,0.0
2011-10-21,0.0,0.0,0.0,,,89.76,0.0,0.0
2011-10-24,0.0,0.0,0.0,,,88.91,0.0,0.0
2011-10-25,0.0,0.0,0.0,,,88.44,0.0,0.0
2011-10-26,0.0,0.0,0.0,,,88.05,0.0,0.0
2011-10-27,0.0,0.0,0.0,,,91.29,0.0,0.0
2011-10-28,0.0,0.0,0.0,,,90.61,0.0,0.0
2011-10-31,0.0,0.0,0.0,,,90.08,0.0,0.0
2011-11-01,0.0,0.0,0.0,,,89.36,0.0,0.0
2011-11-02,0.0,0.0,0.0,,,89.57,0.0,0.0
2011-11-03,0.0,0.0,0.0,,,90.72,0.0,0.0
2011-11-04,0.0,0.0,0.0,,,91.05,0.0,0.0
2011-11-07,0.0,0.0,0.0,,,92.21,0.0,0.0
2011-11-08,0.0,0.0,0.0,,,92.52,0.0,0.0
2011-11-09,0.0,0.0,0.0,,,90.55,0.0,0.0
2011-11-10,0.0,0.0,0.0,,,91.9,0.0,0.0
2011-11-11,0.0,0.0,0.0,,,91.47,0.0,0.0
2011-11-14,0.0,0.0,0.0,,,92.22,0.0,0.0
2011-11-15,0.0,0.0,0.0,,,92.63,0.0,0.0
2011-11-16,0.0,0.0,0.0,,,92.49,0.0,0.0
2011-11-17,0.0,0.0,0.0,,,90.15,0.0,0.0
2011-11-18,0.0,0.0,0.0,,,91.27,0.0,0.0
2011-11-21,0.0,0.0,0.0,,,90.76,0.0,0.0
2011-11-22,0.0,0.0,0.0,,,92.04,0.0,0.0
2011-11-23,0.0,0.0,0.0,,,91.05,0.0,0.0
2011-11-25,0.0,0.0,0.0,,,89.68,0.0,0.0
2011-11-28,0.0,0.0,0.0,,,89.75,0.0,0.0
2011-11-29,0.0,0.0,0.0,,,89.09,0.0,0.0
2011-11-30,0.0,0.0,0.0,,,89.99,0.0,0.0
2011-12-01,0.0,0.0,0.0,,,91.26,0.0,0.0
2011-12-02,0.0,0.0,0.0,,,92.09,0.0,0.0
2011-12-05,0.0,0.0,0.0,,,91.89,0.0,0.0
2011-12-06,0.0,0.0,0.0,,,91.86,0.0,0.0
2011-12-07,0.0,0.0,0.0,,,92.61,0.0,0.0
2011-12-08,0.0,0.0,0.0,,,91.97,0.0,0.0
2011-12-09,0.0,0.0,0.0,,,91.1,0.0,0.0
2011-12-12,0.0,0.0,0.0,,,90.68,0.0,0.0
2011-12-13,0.0,0.0,0.0,,,91.13,0.0,0.0
2011-12-14,0.0,0.0,0.0,,,88.66,0.0,0.0
2011-12-15,0.0,0.0,0.0,,,87.91,0.0,0.0
2011-12-16,0.0,0.0,0.0,,,88.27,0.0,0.0
2011-12-19,0.0,0.0,0.0,,,87.25,0.0,0.0
2011-12-20,0.0,0.0,0.0,,,89.08,0.0,0.0
2011-12-21,0.0,0.0,0.0,,,90.39,0.0,0.0
2011-12-22,0.0,0.0,0.0,,,90.01,0.0,0.0
2011-12-23,0.0,0.0,0.0,,,89.84,0.0,0.0
2011-12-27,0.0,0.0,0.0,,,90.55,0.0,0.0
2011-12-28,0.0,0.0,0.0,,,90.15,0.0,0.0
2011-12-29,0.0,0.0,0.0,,,90.99,0.0,0.0
2011-12-30,0.0,0.0,0.0,,,90.23,0.0,0.0
2012-01-03,0.0,0.0,0.0,,,91.25,0.0,0.0
2012-01-04,0.0,0.0,0.0,,,92.95,0.0,0.0
2012-01-05,0.0,0.0,0.0,,,92.96,0.0,0.0
2012-01-06,0.0,0.0,0.0,,,94.03,0.0,0.0
2012-01-09,0.0,0.0,0.0,,,94.36,0.0,0.0
2012-01-10,0.0,0.0,0.0,,,93.08,0.0,0.0
2012-01-11,0.0,0.0,0.0,,,92.53,0.0,0.0
2012-01-12,0.0,0.0,0.0,,,90.56,0.0,0.0
2012-01-13,0.0,0.0,0.0,,,90.02,0.0,0.0
2012-01-17,0.0,0.0,0.0,,,90.82,0.0,0.0
2012-01-18,0.0,0.0,0.0,,,90.35,0.0,0.0
2012-01-19,0.0,0.0,0.0,,,90.89,0.0,0.0
2012-01-20,0.0,0.0,0.0,,,89.39,0.0,0.0
2012-01-23,0.0,0.0,0.0,,,90.11,0.0,0.0
2012-01-24,0.0,0.0,0.0,,,90.84,0.0,0.0
2012-01-25,0.0,0.0,0.0,,,90.74,0.0,0.0
2012-01-26,0.0,0.0,0.0,,,90.6,0.0,0.0
2012-01-27,0.0,0.0,0.0,,,89.71,0.0,0.0
2012-01-30,0.0,0.0,0.0,,,89.53,0.0,0.0
2012-01-31,0.0,0.0,0.0,,,89.11,0.0,0.0
2012-02-01,0.0,0.0,0.0,,,89.63,0.0,0.0
2012-02-02,0.0,0.0,0.0,,,89.25,0.0,0.0
2012-02-03,0.0,0.0,0.0,,,90.74,0.0,0.0
2012-02-06,0.0,0.0,0.0,,,91.67,0.0,0.0
2012-02-07,0.0,0.0,0.0,,,91.4,0.0,0.0
2012-02-08,0.0,0.0,0.0,,,92.04,0.0,0.0
2012-02-09,0.0,0.0,0.0,,,92.83,0.0,0.0
2012-02-10,0.0,0.0,0.0,,,91.47,0.0,0.0
2012-02-13,0.0,0.0,0.0,,,92.15,0.0,0.0
2012-02-14,0.0,0.0,0.0,,,91.8,0.0,0.0
2012-02-15,0.0,0.0,0.0,,,91.72,0.0,0.0
2012-02-16,0.0,0.0,0.0,,,91.58,0.0,0.0
2012-02-17,0.0,0.0,0.0,,,91.65,0.0,0.0
2012-02-21,0.0,0.0,0.0,,,92.93,0.0,0.0
2012-02-22,0.0,0.0,0.0,,,91.57,0.0,0.0
2012-02-23,0.0,0.0,0.0,,,91.27,0.0,0.0
2012-02-24,0.0,0.0,0.0,,,91.32,0.0,0.0
2012-02-27,0.0,0.0,0.0,,,91.67,0.0,0.0
