Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
1997-05-22,20.27,20.27,20.27,,,20.27,0.0,0.0
1997-05-23,20.05,20.05,20.05,,,20.05,0.0,0.0
1997-05-27,19.66,19.66,19.66,,,19.66,0.0,0.0
1997-05-28,19.81,19.81,19.81,,,19.81,0.0,0.0
1997-05-29,19.95,19.95,19.95,,,19.95,0.0,0.0
1997-05-30,20.1,20.1,20.1,,,20.1,0.0,0.0
1997-06-02,20.19,20.19,20.19,,,20.19,0.0,0.0
1997-06-03,19.81,19.81,19.81,,,19.81,0.0,0.0
1997-06-04,19.88,19.88,19.88,,,19.88,0.0,0.0
1997-06-05,19.85,19.85,19.85,,,19.85,0.0,0.0
1997-06-06,19.57,19.57,19.57,,,19.57,0.0,0.0
1997-06-09,19.65,19.65,19.65,,,19.65,0.0,0.0
1997-06-10,19.62,19.62,19.62,,,19.62,0.0,0.0
1997-06-11,19.51,19.51,19.51,,,19.51,0.0,0.0
1997-06-12,19.45,19.45,19.45,,,19.45,0.0,0.0
1997-06-13,19.47,19.47,19.47,,,19.47,0.0,0.0
1997-06-16,19.51,19.51,19.51,,,19.51,0.0,0.0
1997-06-17,19.58,19.58,19.58,,,19.58,0.0,0.0
1997-06-18,19.46,19.46,19.46,,,19.46,0.0,0.0
1997-06-19,19.41,19.41,19.41,,,19.41,0.0,0.0
1997-06-20,19.46,19.46,19.46,,,19.46,0.0,0.0
1997-06-23,19.6,19.6,19.6,,,19.6,0.0,0.0
1997-06-24,19.58,19.58,19.58,,,19.58,0.0,0.0
1997-06-25,19.91,19.91,19.91,,,19.91,0.0,0.0
1997-06-26,19.5,19.5,19.5,,,19.5,435.0,435.0
1997-06-27,19.73,19.73,19.73,,,19.73,0.0,435.0
1997-06-30,19.92,19.92,19.92,,,19.92,0.0,435.0
1997-07-01,19.87,19.87,19.87,,,19.87,0.0,435.0
1997-07-02,20.08,20.08,20.08,,,20.08,0.0,435.0
1997-07-03,19.67,19.67,19.67,,,19.67,0.0,435.0
1997-07-07,19.87,19.87,19.87,,,19.87,0.0,435.0
1997-07-08,20.0,20.0,20.0,,,20.0,0.0,435.0
1997-07-09,19.82,19.82,19.82,,,19.82,0.0,435.0
1997-07-10,19.66,19.66,19.66,,,19.66,0.0,435.0
1997-07-11,19.76,19.76,19.76,,,19.76,0.0,435.0
1997-07-14,19.52,19.52,19.52,,,19.52,0.0,435.0
1997-07-15,19.97,19.97,19.97,,,19.97,0.0,435.0
1997-07-16,19.78,19.78,19.78,,,19.78,0.0,435.0
1997-07-17,19.79,19.79,19.79,,,19.79,0.0,435.0
1997-07-18,19.49,19.49,19.49,,,19.49,0.0,435.0
1997-07-21,19.69,19.69,19.69,,,19.69,102.0,527.0
1997-07-22,19.68,19.68,19.68,,,19.68,0.0,527.0
1997-07-23,19.79,19.79,19.79,,,19.79,0.0,527.0
1997-07-24,19.88,19.88,19.88,,,19.88,0.0,527.0
1997-07-25,19.79,19.79,19.79,,,19.79,0.0,527.0
1997-07-28,19.76,19.76,19.76,,,19.76,0.0,527.0
1997-07-29,19.84,19.84,19.84,,,19.84,0.0,527.0
1997-07-30,20.04,20.04,20.04,,,20.04,0.0,527.0
1997-07-31,19.91,19.91,19.91,,,19.91,0.0,527.0
1997-08-01,20.01,20.01,20.01,,,20.01,0.0,527.0
1997-08-04,20.31,20.31,20.31,,,20.31,0.0,527.0
1997-08-05,20.16,20.16,20.16,,,20.16,30.0,542.0
1997-08-06,19.93,19.93,19.93,,,19.93,0.0,542.0
1997-08-07,19.83,19.83,19.83,,,19.83,0.0,542.0
