Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2009-11-23,0.0,93.97,93.97,,,93.97,0.0,0.0
2009-11-24,0.0,92.73,92.73,,,92.73,0.0,0.0
2009-11-25,0.0,94.98,94.98,,,94.98,0.0,0.0
2009-11-27,0.0,94.26,94.26,,,94.26,0.0,0.0
2009-11-30,0.0,96.03,96.03,,,96.03,0.0,0.0
2009-12-01,0.0,96.44,96.44,,,96.44,0.0,0.0
2009-12-02,0.0,95.81,95.81,,,95.81,0.0,0.0
2009-12-03,0.0,97.37,97.29,,,97.29,0.0,0.0
2009-12-04,0.0,96.53,96.53,,,96.53,0.0,0.0
2009-12-07,0.0,95.84,95.84,,,95.84,0.0,0.0
2009-12-08,0.0,94.57,94.57,,,94.57,0.0,0.0
2009-12-09,0.0,92.22,92.22,,,92.22,0.0,0.0
2009-12-10,0.0,91.63,91.63,,,91.63,0.0,0.0
2009-12-11,0.0,91.21,91.21,,,91.21,0.0,0.0
2009-12-14,0.0,90.8,90.8,,,90.8,0.0,0.0
2009-12-15,0.0,90.72,90.72,,,90.72,0.0,0.0
2009-12-16,0.0,91.96,91.96,,,91.96,0.0,0.0
2009-12-17,0.0,91.47,91.47,,,91.47,0.0,0.0
2009-12-18,0.0,92.29,92.29,,,92.29,0.0,0.0
2009-12-21,0.0,91.71,91.67,,,91.71,0.0,0.0
2009-12-22,0.0,92.19,92.19,,,92.19,0.0,0.0
2009-12-23,0.0,92.79,92.79,,,92.79,0.0,0.0
2009-12-24,0.0,93.57,93.57,,,93.57,0.0,0.0
2009-12-28,0.0,93.66,93.65,,,93.65,0.0,0.0
2009-12-29,0.0,93.93,93.93,,,93.93,0.0,0.0
2009-12-30,0.0,94.23,94.23,,,94.23,0.0,0.0
2009-12-31,0.0,93.68,93.68,,,93.68,0.0,0.0
2010-01-04,0.0,95.25,95.25,,,95.25,0.0,0.0
2010-01-05,95.56,95.56,95.56,,,95.56,0.0,0.0
2010-01-06,0.0,96.86,96.86,,,96.86,0.0,0.0
2010-01-07,0.0,96.33,96.33,,,96.33,0.0,0.0
2010-01-08,0.0,97.14,97.14,,,97.14,0.0,0.0
2010-01-11,0.0,97.02,97.02,,,97.02,0.0,0.0
2010-01-12,0.0,95.83,95.83,,,95.83,0.0,0.0
2010-01-13,0.0,95.13,95.13,,,95.13,0.0,0.0
2010-01-14,0.0,95.01,95.01,,,95.01,0.0,0.0
2010-01-15,0.0,93.77,93.77,,,93.77,0.0,0.0
2010-01-19,0.0,94.26,94.26,,,94.26,0.0,0.0
2010-01-20,0.0,93.27,93.27,,,93.27,0.0,0.0
2010-01-21,0.0,91.67,91.67,,,91.67,0.0,0.0
2010-01-22,0.0,89.88,89.88,,,89.88,0.0,0.0
2010-01-25,0.0,90.8,90.8,,,90.8,0.0,0.0
2010-01-26,0.0,90.04,90.04,,,90.04,0.0,0.0
2010-01-27,0.0,89.22,89.22,,,89.22,0.0,0.0
2010-01-28,0.0,88.97,88.97,,,88.97,0.0,0.0
2010-01-29,0.0,88.15,88.15,,,88.15,0.0,0.0
2010-02-01,0.0,89.47,89.47,,,89.47,0.0,0.0
2010-02-02,0.0,90.55,90.55,,,90.55,0.0,0.0
2010-02-03,0.0,91.01,91.01,,,91.01,0.0,0.0
2010-02-04,0.0,88.0,88.0,,,88.0,0.0,0.0
2010-02-05,0.0,85.8,85.8,,,85.8,0.0,0.0
2010-02-08,0.0,86.13,86.13,,,86.13,0.0,0.0
2010-02-09,0.0,87.91,87.91,,,87.91,0.0,0.0
2010-02-10,0.0,88.06,88.06,,,88.06,0.0,0.0
2010-02-11,0.0,88.77,88.77,,,88.77,0.0,0.0
2010-02-12,0.0,88.08,88.08,,,88.08,0.0,0.0
2010-02-16,0.0,89.92,89.92,,,89.92,0.0,0.0
2010-02-17,0.0,89.82,89.82,,,89.82,0.0,0.0
2010-02-18,0.0,90.04,90.04,,,90.04,0.0,0.0
2010-02-19,0.0,88.96,88.96,,,88.96,0.0,0.0
2010-02-22,0.0,89.56,89.56,,,89.56,0.0,0.0
2010-02-23,88.29,88.29,88.29,,,88.29,0.0,0.0
2010-02-24,0.0,88.88,88.88,,,88.88,0.0,0.0
2010-02-25,0.0,87.6,87.6,,,87.6,0.0,0.0
2010-02-26,0.0,88.39,88.39,,,88.39,0.0,0.0
2010-03-01,0.0,88.24,88.24,,,88.24,0.0,0.0
2010-03-02,0.0,88.93,88.93,,,88.93,0.0,0.0
2010-03-03,0.0,89.84,89.84,,,89.84,0.0,0.0
2010-03-04,0.0,89.93,89.93,,,89.93,0.0,0.0
2010-03-05,0.0,90.94,90.94,,,90.94,0.0,0.0
2010-03-08,0.0,91.56,91.56,,,91.56,0.0,0.0
2010-03-09,0.0,90.96,90.96,,,90.96,0.0,0.0
2010-03-10,0.0,90.81,90.81,,,90.81,0.0,0.0
2010-03-11,0.0,90.69,90.69,,,90.69,0.0,0.0
2010-03-12,0.0,89.48,89.48,,,89.48,0.0,0.0
2010-03-15,0.0,88.15,88.15,,,88.15,0.0,0.0
2010-03-16,0.0,88.66,88.66,,,88.66,0.0,0.0
2010-03-17,0.0,89.16,89.16,,,89.16,0.0,0.0
2010-03-18,0.0,88.77,88.77,,,88.77,0.0,0.0
2010-03-19,0.0,87.53,87.53,,,87.53,0.0,0.0
2010-03-22,0.0,88.03,88.03,,,88.03,0.0,0.0
