Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
2004-05-21,31.42,31.42,31.42,,,31.42,0.0,0.0
2004-05-24,32.32,32.32,32.32,,,32.32,0.0,0.0
2004-05-25,32.1,32.1,32.1,,,32.1,0.0,0.0
2004-05-26,31.94,31.94,31.94,,,31.94,0.0,0.0
2004-05-27,31.53,31.53,31.53,,,31.53,0.0,0.0
2004-05-28,31.99,31.99,31.99,,,31.99,0.0,0.0
2004-06-01,33.41,33.41,33.41,,,33.41,0.0,0.0
2004-06-02,32.22,32.22,32.22,,,32.22,0.0,0.0
2004-06-03,32.22,32.22,32.22,,,32.22,0.0,0.0
2004-06-04,32.04,32.04,32.04,,,32.04,0.0,0.0
2004-06-07,32.38,32.38,32.38,,,32.38,0.0,0.0
2004-06-08,31.6,31.6,31.6,,,31.6,0.0,0.0
2004-06-09,32.33,32.33,32.33,,,32.33,0.0,0.0
2004-06-10,32.62,32.62,32.62,,,32.62,0.0,0.0
2004-06-14,32.2,32.2,32.2,,,32.2,0.0,0.0
2004-06-15,32.08,32.08,32.08,,,32.08,0.0,0.0
2004-06-16,32.09,32.09,32.09,,,32.09,0.0,0.0
2004-06-17,32.54,32.54,32.54,,,32.54,0.0,0.0
2004-06-18,32.39,32.39,32.39,,,32.39,20.0,20.0
2004-06-21,31.98,31.98,31.98,,,31.98,0.0,20.0
2004-06-22,32.24,32.24,32.24,,,32.24,0.0,20.0
2004-06-23,32.12,32.12,32.12,,,32.12,0.0,20.0
2004-06-24,32.34,32.34,32.34,,,32.34,20.0,20.0
2004-06-25,31.84,31.84,31.84,,,31.84,0.0,20.0
2004-06-28,32.13,32.13,32.13,,,32.13,0.0,20.0
2004-06-29,31.87,31.87,31.87,,,31.87,0.0,20.0
2004-06-30,32.83,32.83,32.83,,,32.83,0.0,20.0
2004-07-01,33.26,33.26,33.26,,,33.26,0.0,20.0
2004-07-02,32.88,32.88,32.88,,,32.88,0.0,20.0
2004-07-06,33.53,33.53,33.53,,,33.53,0.0,20.0
2004-07-07,33.23,33.23,33.23,,,33.23,0.0,20.0
2004-07-08,33.67,33.67,33.67,,,33.67,0.0,20.0
2004-07-09,33.28,33.28,33.28,,,33.28,0.0,20.0
2004-07-12,33.09,33.09,33.09,,,33.09,0.0,20.0
2004-07-13,33.09,33.09,33.09,,,33.09,0.0,20.0
2004-07-14,34.09,34.09,34.09,,,34.09,0.0,20.0
2004-07-15,33.88,33.88,33.88,,,33.88,0.0,20.0
2004-07-16,34.29,34.29,34.29,,,34.29,0.0,20.0
2004-07-19,34.28,34.28,34.28,,,34.28,0.0,20.0
2004-07-20,33.7,33.7,33.7,,,33.7,0.0,20.0
2004-07-21,33.92,33.92,33.92,,,33.92,0.0,20.0
2004-07-22,34.49,34.49,34.49,,,34.49,0.0,20.0
2004-07-23,34.96,34.96,34.96,,,34.96,0.0,20.0
2004-07-26,34.86,34.86,34.86,,,34.86,0.0,20.0
2004-07-27,35.1,35.1,35.1,,,35.1,0.0,20.0
2004-07-28,35.96,35.96,35.96,,,35.96,0.0,20.0
2004-07-29,35.91,35.91,35.91,,,35.91,0.0,20.0
2004-07-30,36.61,36.61,36.61,,,36.61,0.0,20.0
2004-08-02,36.8,36.8,36.8,,,36.8,0.0,20.0
2004-08-03,37.21,37.21,37.21,,,37.21,0.0,20.0
2004-08-04,36.24,36.24,36.24,,,36.24,0.0,20.0
2004-08-05,37.03,37.03,37.03,,,37.03,0.0,20.0
2004-08-06,36.81,36.81,36.81,,,36.81,0.0,20.0
2004-08-09,37.19,37.19,37.19,,,37.19,0.0,20.0
2004-08-10,36.66,36.66,36.66,,,36.66,0.0,20.0
2004-08-11,36.97,36.97,36.97,,,36.97,0.0,20.0
2004-08-12,37.33,37.33,37.33,,,37.33,150.0,110.0
2004-08-13,37.34,38.23,37.34,,,38.23,3.0,113.0
2004-08-16,38.07,38.07,38.07,,,38.07,0.0,113.0
2004-08-17,38.22,38.22,38.22,,,38.22,0.0,113.0
2004-08-18,38.17,38.17,38.17,,,38.17,0.0,113.0
2004-08-19,38.76,38.76,38.76,,,38.76,0.0,113.0
2004-08-20,38.01,38.01,38.01,,,38.01,0.0,113.0
2004-08-23,37.67,37.67,37.67,,,37.67,0.0,113.0
2004-08-24,37.08,37.08,37.08,,,37.08,0.0,113.0
2004-08-25,35.92,35.92,35.92,,,35.92,400.0,513.0
2004-08-26,35.81,35.81,35.81,,,35.81,0.0,513.0
2004-08-27,36.2,36.2,36.2,,,36.2,0.0,513.0
2004-08-30,35.6,35.6,35.6,,,35.6,0.0,513.0
2004-08-31,35.82,35.82,35.82,,,35.82,0.0,513.0
2004-09-01,36.86,36.86,36.86,,,36.86,0.0,513.0
2004-09-02,36.77,36.77,36.77,,,36.77,0.0,513.0
2004-09-03,36.72,36.72,36.72,,,36.72,0.0,513.0
2004-09-07,36.46,36.46,36.46,,,36.46,0.0,513.0
2004-09-08,36.04,36.04,36.04,,,36.04,0.0,513.0
2004-09-09,36.71,36.71,36.71,,,36.71,0.0,513.0
2004-09-10,35.28,35.28,35.28,,,35.28,0.0,513.0
2004-09-13,35.94,35.94,35.94,,,35.94,0.0,513.0
2004-09-14,36.19,36.19,36.19,,,36.19,0.0,513.0
2004-09-15,35.74,35.74,35.74,,,35.74,0.0,513.0
2004-09-16,35.64,36.27,35.64,,,36.27,10.0,513.0
2004-09-17,36.41,36.41,36.41,,,36.41,0.0,513.0
2004-09-20,36.68,36.68,36.68,,,36.68,0.0,513.0
2004-09-21,36.9,36.9,36.9,,,36.9,0.0,513.0
2004-09-22,37.55,37.55,37.55,,,37.55,0.0,513.0
2004-09-23,37.64,37.64,37.64,,,37.64,0.0,513.0
2004-09-24,37.99,37.99,37.99,,,37.99,100.0,613.0
2004-09-27,38.65,38.65,38.65,,,38.65,0.0,613.0
2004-09-28,38.76,38.76,38.76,,,38.76,0.0,613.0
2004-09-29,38.94,38.94,38.94,,,38.94,0.0,613.0
2004-09-30,38.97,38.97,38.97,,,38.97,100.0,613.0
2004-10-01,39.38,39.38,39.38,,,39.38,0.0,613.0
2004-10-04,39.34,39.34,39.34,,,39.34,0.0,613.0
2004-10-05,39.96,39.96,39.96,,,39.96,5.0,618.0
2004-10-06,40.58,40.58,40.58,,,40.58,0.0,618.0
2004-10-07,41.12,41.12,41.12,,,41.12,60.0,663.0
2004-10-08,42.13,42.13,42.13,,,42.13,5.0,663.0
2004-10-11,42.79,42.79,42.79,,,42.79,0.0,663.0
2004-10-12,42.13,42.13,42.13,,,42.13,0.0,663.0
2004-10-13,42.76,42.76,42.76,,,42.76,0.0,663.0
2004-10-14,43.05,43.05,43.05,,,43.05,0.0,663.0
2004-10-15,43.17,43.17,43.17,,,43.17,0.0,663.0
2004-10-18,42.8,42.8,42.8,,,42.8,60.0,663.0
2004-10-19,42.89,42.89,42.89,,,42.89,20.0,663.0
2004-10-20,42.85,43.91,42.85,,,43.91,2.0,665.0
2004-10-21,43.91,43.92,43.91,,,43.92,50.0,715.0
2004-10-22,43.9,44.0,43.77,,,43.77,150.0,865.0
2004-10-25,43.72,43.72,43.72,,,43.72,0.0,865.0
2004-10-26,44.61,44.61,44.61,,,44.61,0.0,865.0
2004-10-27,43.57,43.57,43.57,,,43.57,0.0,865.0
2004-10-28,42.78,42.78,42.78,,,42.78,0.0,865.0
2004-10-29,43.64,43.64,43.64,,,43.64,100.0,965.0
2004-11-01,42.58,42.58,42.58,,,42.58,20.0,978.0
2004-11-02,42.23,42.23,42.23,,,42.23,0.0,978.0
2004-11-03,42.15,43.02,42.15,,,43.02,1.0,978.0
2004-11-04,41.71,41.71,41.71,,,41.71,0.0,978.0
2004-11-05,42.66,42.66,42.66,,,42.66,0.0,978.0
2004-11-08,42.51,42.51,42.51,,,42.51,0.0,978.0
2004-11-09,41.73,41.73,41.73,,,41.73,5.0,980.0
2004-11-10,42.47,42.47,42.47,,,42.47,0.0,980.0
2004-11-11,41.59,41.59,41.59,,,41.59,10.0,978.0
2004-11-12,41.31,41.31,41.31,,,41.31,0.0,978.0
2004-11-15,41.3,41.3,41.3,,,41.3,0.0,978.0
2004-11-16,40.69,40.69,40.69,,,40.69,0.0,978.0
2004-11-17,41.44,41.44,41.44,,,41.44,13.0,983.0
2004-11-18,40.59,40.59,40.59,,,40.59,0.0,983.0
2004-11-19,41.98,41.98,41.98,,,41.98,0.0,983.0
2004-11-22,41.85,41.85,41.85,,,41.85,150.0,1033.0
2004-11-23,42.38,42.38,42.38,,,42.38,0.0,1033.0
2004-11-24,42.48,42.48,42.48,,,42.48,0.0,1033.0
2004-11-29,42.99,42.99,42.99,,,42.99,0.0,1033.0
2004-11-30,43.06,43.06,43.06,,,43.06,0.0,1033.0
2004-12-01,41.28,41.28,41.28,,,41.28,0.0,1033.0
2004-12-02,40.08,40.08,40.08,,,40.08,0.0,1033.0
2004-12-03,39.64,39.64,39.64,,,39.64,0.0,1033.0
2004-12-06,40.07,40.07,40.07,,,40.07,0.0,1033.0
2004-12-07,39.29,39.29,39.29,,,39.29,0.0,1033.0
2004-12-08,39.72,39.72,39.72,,,39.72,0.0,1033.0
2004-12-09,40.1,40.1,40.1,,,40.1,0.0,1033.0
2004-12-10,39.14,39.14,39.14,,,39.14,0.0,1033.0
2004-12-13,39.58,39.58,39.58,,,39.58,0.0,1033.0
2004-12-14,39.7,39.7,39.7,,,39.7,0.0,1033.0
2004-12-15,40.97,40.97,40.97,,,40.97,0.0,1033.0
2004-12-16,40.72,40.72,40.72,,,40.72,0.0,1033.0
2004-12-17,41.91,41.91,41.91,,,41.91,0.0,1033.0
2004-12-20,41.25,41.25,41.25,,,41.25,350.0,1280.0
2004-12-21,41.08,41.08,41.08,,,41.08,0.0,1280.0
2004-12-22,40.31,40.31,40.31,,,40.31,5.0,1275.0
2004-12-23,40.29,40.29,40.29,,,40.29,0.0,1275.0
2004-12-27,38.69,38.69,38.69,,,38.69,1.0,1275.0
2004-12-28,39.1,39.1,39.1,,,39.1,0.0,1275.0
2004-12-29,40.28,40.28,40.28,,,40.28,0.0,1275.0
2004-12-30,40.06,40.06,40.06,,,40.06,0.0,1275.0
2005-01-03,39.45,39.45,39.45,,,39.45,10.0,1275.0
2005-01-04,40.44,40.44,40.44,,,40.44,10.0,1275.0
2005-01-05,39.85,39.85,39.85,,,39.85,1.0,1275.0
2005-01-06,41.0,41.0,41.0,,,41.0,0.0,1275.0
2005-01-07,40.5,40.5,40.5,,,40.5,0.0,1275.0
2005-01-10,40.16,40.16,40.16,,,40.16,120.0,1395.0
2005-01-11,40.5,40.5,40.5,,,40.5,0.0,1395.0
2005-01-12,40.87,40.87,40.87,,,40.87,31.0,1395.0
2005-01-13,41.97,41.97,41.97,,,41.97,0.0,1395.0
2005-01-14,42.37,42.37,42.37,,,42.37,0.0,1395.0
