Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
2004-11-22,37.4,37.4,37.4,,,37.4,0.0,0.0
2004-11-23,37.93,37.93,37.93,,,37.93,0.0,0.0
2004-11-24,37.4,37.7,36.67,,,37.67,265.0,260.0
2004-11-29,38.2,38.2,37.67,,,38.18,110.0,271.0
2004-11-30,38.5,38.5,38.37,,,38.37,52.0,321.0
2004-12-01,38.4,38.4,37.39,,,37.39,4.0,322.0
2004-12-02,37.3,37.3,36.69,,,36.69,1.0,323.0
2004-12-03,36.6,36.6,36.49,,,36.49,1.0,323.0
2004-12-06,36.92,36.92,36.92,,,36.92,0.0,323.0
2004-12-07,36.31,36.31,36.31,,,36.31,0.0,323.0
2004-12-08,36.79,36.79,36.79,,,36.79,1.0,323.0
2004-12-09,37.0,37.2,36.98,,,36.98,3.0,325.0
2004-12-10,36.3,36.3,36.3,,,36.3,0.0,325.0
2004-12-13,36.61,36.61,36.61,,,36.61,5.0,325.0
2004-12-14,36.65,36.65,36.65,,,36.65,0.0,330.0
2004-12-15,37.65,37.65,37.51,,,37.51,200.0,480.0
2004-12-16,37.5,37.5,37.26,,,37.26,65.0,480.0
2004-12-17,38.31,38.31,38.31,,,38.31,26.0,480.0
2004-12-20,37.66,37.66,37.66,,,37.66,3.0,481.0
2004-12-21,37.38,37.38,37.38,,,37.38,0.0,481.0
2004-12-22,36.88,36.88,36.88,,,36.88,170.0,649.0
2004-12-23,37.15,37.15,36.86,,,36.86,4.0,653.0
2004-12-27,35.73,35.73,35.73,,,35.73,0.0,653.0
2004-12-28,36.14,36.14,36.14,,,36.14,54.0,703.0
2004-12-29,36.91,36.91,36.91,,,36.91,0.0,703.0
2004-12-30,36.5,36.69,36.4,,,36.69,950.0,1574.0
2005-01-03,36.42,36.42,36.42,,,36.42,381.0,1577.0
2005-01-04,37.1,37.1,36.99,,,36.99,56.0,1594.0
2005-01-05,36.4,36.4,36.4,,,36.4,0.0,1594.0
2005-01-06,37.08,37.08,37.08,,,37.08,250.0,1844.0
2005-01-07,36.8,36.8,36.4,,,36.4,4.0,1848.0
2005-01-10,36.02,36.02,36.02,,,36.02,0.0,1848.0
2005-01-11,36.2,36.36,36.1,,,36.36,258.0,2059.0
2005-01-12,36.85,36.85,36.73,,,36.73,401.0,2460.0
2005-01-13,37.3,37.62,37.3,,,37.62,154.0,2510.0
2005-01-14,38.02,38.02,38.02,,,38.02,0.0,2510.0
2005-01-18,38.4,38.55,38.4,,,38.55,1.0,2510.0
2005-01-19,38.65,38.65,38.38,,,38.38,130.0,2593.0
2005-01-20,38.38,38.38,38.27,,,38.27,54.0,2569.0
2005-01-21,38.98,38.98,38.98,,,38.98,1.0,2569.0
2005-01-24,38.95,39.19,38.95,,,39.19,150.0,2495.0
2005-01-25,39.5,39.96,39.45,,,39.96,210.0,2704.0
2005-01-26,39.58,39.58,39.58,,,39.58,1.0,2705.0
2005-01-27,39.8,39.83,39.29,,,39.29,33.0,2731.0
2005-01-28,39.14,39.14,38.92,,,38.92,576.0,3032.0
2005-01-31,39.61,39.61,39.61,,,39.61,0.0,3032.0
2005-02-01,39.5,39.61,39.22,,,39.22,1054.0,3659.0
2005-02-02,38.84,38.84,38.84,,,38.84,0.0,3659.0
2005-02-03,39.02,39.02,39.02,,,39.02,0.0,3659.0
2005-02-04,39.02,39.07,39.02,,,39.07,1.0,3658.0
2005-02-07,38.98,38.98,38.98,,,38.98,0.0,3658.0
2005-02-08,39.0,39.11,39.0,,,39.11,1.0,3658.0
2005-02-09,39.17,39.17,39.17,,,39.17,1.0,3658.0
2005-02-10,39.8,39.8,39.42,,,39.42,51.0,3698.0
2005-02-11,39.2,39.2,38.79,,,38.79,5.0,3703.0
2005-02-14,38.9,38.9,38.9,,,38.9,0.0,3703.0
2005-02-15,38.78,38.78,38.78,,,38.78,25.0,3728.0
2005-02-16,39.3,39.51,39.3,,,39.51,3.0,3731.0
2005-02-17,39.19,39.19,39.19,,,39.19,300.0,3981.0
2005-02-18,39.71,39.71,39.71,,,39.71,0.0,3981.0
2005-02-22,40.69,40.69,40.69,,,40.69,0.0,3981.0
2005-02-23,40.75,40.75,40.45,,,40.45,186.0,4142.0
2005-02-24,40.57,40.57,40.57,,,40.57,156.0,4144.0
2005-02-25,40.7,40.7,40.63,,,40.63,256.0,4250.0
2005-02-28,41.22,41.22,41.22,,,41.22,294.0,4504.0
2005-03-01,41.62,41.62,41.62,,,41.62,37.0,4406.0
2005-03-02,41.62,42.41,41.62,,,42.41,258.0,4407.0
2005-03-03,42.41,42.58,42.41,,,42.58,2.0,4408.0
2005-03-04,42.9,42.9,42.9,,,42.9,306.0,4563.0
2005-03-07,43.51,43.51,43.51,,,43.51,500.0,4238.0
2005-03-08,43.9,43.9,43.9,,,43.9,0.0,4238.0
2005-03-09,43.9,44.3,43.9,,,43.91,9.0,4245.0
2005-03-10,43.6,43.85,43.6,,,43.85,7.0,4238.0
2005-03-11,44.68,44.68,44.68,,,44.68,0.0,4238.0
2005-03-14,45.47,45.47,45.47,,,45.47,1.0,4238.0
2005-03-15,45.85,46.3,45.85,,,46.14,9.0,4246.0
2005-03-16,47.6,47.89,47.6,,,47.89,5.0,4252.0
2005-03-17,48.4,48.4,48.13,,,48.13,316.0,4518.0
2005-03-18,48.3,49.11,48.3,,,49.11,105.0,4622.0
2005-03-21,49.77,49.77,49.2,,,49.51,18.0,4629.0
2005-03-22,49.2,49.84,49.2,,,49.84,2.0,4629.0
2005-03-23,48.7,49.31,48.7,,,49.31,1.0,4629.0
2005-03-24,50.0,50.0,48.97,,,48.97,5.0,4633.0
2005-03-28,47.57,47.6,47.57,,,47.57,100.0,4733.0
2005-03-29,46.7,46.7,46.7,,,46.7,3.0,4733.0
2005-03-30,46.8,47.67,46.8,,,47.67,36.0,4752.0
2005-03-31,48.35,49.02,48.35,,,49.02,219.0,4801.0
2005-04-01,49.3,50.02,49.3,,,50.02,59.0,4857.0
2005-04-04,49.95,49.95,49.88,,,49.88,366.0,5014.0
2005-04-05,49.32,49.32,49.32,,,49.32,838.0,5618.0
2005-04-06,49.3,49.3,49.22,,,49.22,15.0,5627.0
2005-04-07,49.2,49.2,48.17,,,48.17,19.0,5655.0
2005-04-08,47.9,47.9,47.71,,,47.71,8.0,5650.0
2005-04-11,47.75,47.93,47.5,,,47.93,332.0,5657.0
2005-04-12,47.6,47.6,46.69,,,46.69,55.0,5657.0
2005-04-13,46.55,46.55,46.19,,,46.19,81.0,5736.0
2005-04-14,46.4,46.41,46.19,,,46.29,188.0,5693.0
2005-04-15,45.79,45.79,45.79,,,45.79,0.0,5693.0
2005-04-18,45.65,45.65,45.04,,,45.04,10.0,5678.0
2005-04-19,45.9,46.23,45.9,,,46.23,24.0,5690.0
2005-04-20,47.0,47.0,46.95,,,46.95,155.0,5836.0
2005-04-21,46.55,47.58,46.55,,,47.58,1.0,5835.0
2005-04-22,48.1,48.6,48.1,,,48.48,6.0,5841.0
2005-04-25,48.07,48.07,48.07,,,48.07,2.0,5843.0
2005-04-26,48.37,48.37,48.37,,,48.37,2400.0,6088.0
2005-04-27,47.76,47.76,47.6,,,47.6,260.0,6091.0
2005-04-28,48.1,48.12,48.1,,,48.12,353.0,6094.0
2005-04-29,48.05,48.05,47.08,,,47.08,15.0,6104.0
2005-05-02,47.2,47.89,47.2,,,47.89,256.0,5856.0
2005-05-03,47.5,47.5,46.7,,,46.7,25.0,5872.0
2005-05-04,46.7,47.29,46.7,,,47.29,1.0,5872.0
2005-05-05,46.9,47.43,46.9,,,47.43,16.0,5873.0
2005-05-06,47.18,47.3,47.09,,,47.09,25.0,5888.0
2005-05-09,47.45,47.45,46.57,,,46.57,38.0,5889.0
2005-05-10,46.82,46.9,46.81,,,46.81,52.0,5933.0
2005-05-11,46.9,46.9,46.15,,,46.15,3.0,5934.0
