Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2016-11-22,,,,,0.0,59.08,0.0,0.0
2016-11-23,,,,,0.27,58.81,0.0,0.0
2016-11-25,,,,,1.34,57.47,0.0,0.0
2016-11-28,,,,,0.53,58.0,0.0,0.0
2016-11-29,,,,,1.34,56.66,0.0,0.0
2016-11-30,,,,,1.78,58.44,0.0,0.0
2016-12-01,,,,,0.23,58.21,0.0,0.0
2016-12-02,,,,,0.66,58.87,0.0,0.0
2016-12-05,,,,,0.14,59.01,0.0,0.0
2016-12-06,,,,,0.51,58.5,0.0,0.0
2016-12-07,,,,,0.47,58.03,0.0,0.0
2016-12-08,,,,,0.08,58.11,0.0,0.0
2016-12-09,,,,,0.3,58.41,0.0,0.0
2016-12-12,,58.6,,58.6,0.43,57.98,0.0,0.0
2016-12-13,,,,,0.04,58.02,0.0,0.0
2016-12-14,,,,,0.92,57.1,0.0,0.0
2016-12-15,,,,,0.3,56.8,0.0,0.0
2016-12-16,,,,,0.4,57.2,0.0,0.0
2016-12-19,,,,,0.18,57.38,0.0,0.0
2016-12-20,,,,,0.54,57.92,0.0,0.0
2016-12-21,,,,,0.81,57.11,0.0,0.0
2016-12-22,,,,,0.01,57.1,0.0,0.0
2016-12-23,,,,,0.27,57.37,0.0,0.0
2016-12-27,,,,,0.48,57.85,0.0,0.0
2016-12-28,,,,,0.14,57.99,0.0,0.0
2016-12-29,,,,,0.15,58.14,0.0,0.0
2016-12-30,,,,,0.04,58.1,0.0,0.0
2017-01-03,,,,,0.88,57.22,0.0,0.0
2017-01-04,,,,,1.15,58.37,0.0,0.0
2017-01-05,,,,,0.57,58.94,0.0,0.0
2017-01-06,,,,,0.14,59.08,0.0,0.0
2017-01-09,,,,,1.09,57.99,0.0,0.0
2017-01-10,,,,,0.37,57.62,0.0,0.0
2017-01-11,,,,,0.84,58.46,0.0,0.0
2017-01-12,,,,,0.35,58.81,0.0,0.0
2017-01-13,,,,,0.46,58.35,0.0,0.0
2017-01-17,,,,,0.38,57.97,0.0,0.0
2017-01-18,,,,,0.53,57.44,0.0,0.0
2017-01-19,,,,,0.2,57.64,0.0,0.0
2017-01-20,,,,,0.77,58.41,0.0,0.0
2017-01-23,,,,,0.37,58.04,0.0,0.0
2017-01-24,,,,,0.23,58.27,0.0,0.0
2017-01-25,,,,,0.27,58.0,0.0,0.0
2017-01-26,,,,,0.33,58.33,0.0,0.0
2017-01-27,,,,,0.64,57.69,0.0,0.0
2017-01-30,,,,,0.12,57.57,0.0,0.0
2017-01-31,,,,,0.18,57.75,0.0,0.0
2017-02-01,,,,,0.73,58.48,0.0,0.0
2017-02-02,,,,,0.14,58.34,0.0,0.0
2017-02-03,,,,,0.35,58.69,0.0,0.0
2017-02-06,,,,,0.25,58.44,0.0,0.0
2017-02-07,,,,,0.59,57.85,0.0,0.0
2017-02-08,,,,,0.1,57.95,0.0,0.0
2017-02-09,,,,,0.04,57.99,0.0,0.0
2017-02-10,,,,,0.1,58.09,0.0,0.0
2017-02-13,,,,,0.54,57.55,0.0,0.0
2017-02-14,,,,,0.08,57.47,0.0,0.0
2017-02-15,,,,,0.5,56.97,0.0,0.0
2017-02-16,,,,,0.07,56.9,0.0,0.0
2017-02-17,,,,,0.23,56.67,0.0,0.0
2017-02-21,,,,,0.72,55.95,0.0,0.0
2017-02-22,,,,,0.44,55.51,0.0,0.0
2017-02-23,,,,,0.52,56.03,0.0,0.0
2017-02-24,,,,,0.22,55.81,0.0,0.0
2017-02-27,,,,,0.47,56.28,0.0,0.0
2017-02-28,,,,,0.97,57.25,0.0,0.0
2017-03-01,,,,,0.08,57.17,0.0,0.0
2017-03-02,,,,,0.17,57.0,0.0,0.0
2017-03-03,,,,,0.27,57.27,0.0,0.0
2017-03-06,,,,,0.07,57.34,0.0,0.0
2017-03-07,,,,,0.06,57.28,0.0,0.0
2017-03-08,,,,,1.45,55.83,0.0,0.0
2017-03-09,55.0,55.0,55.0,55.0,0.63,55.2,18.0,0.0
2017-03-10,,,,,0.69,54.51,0.0,10.0
2017-03-13,,,,,0.22,54.73,0.0,10.0
2017-03-14,,,,,0.05,54.68,0.0,10.0
2017-03-15,,,,,0.07,54.75,0.0,10.0
2017-03-16,,,,,0.22,54.53,0.0,10.0
2017-03-17,,,,,0.06,54.47,0.0,10.0
2017-03-20,,,,,0.12,54.35,0.0,10.0
2017-03-21,,,,,,54.35,0.0,10.0
2017-03-22,,,,,0.27,54.62,0.0,10.0
2017-03-23,,,,,0.25,54.37,0.0,10.0
2017-03-24,,,,,0.14,54.51,0.0,10.0
2017-03-27,,,,,0.26,54.77,0.0,10.0
2017-03-28,,,,,0.29,54.48,0.0,10.0
2017-03-29,,,,,0.09,54.57,0.0,10.0
2017-03-30,,,,,0.61,55.18,0.0,10.0
2017-03-31,,,,,0.49,55.67,0.0,10.0
2017-04-03,,,,,0.39,56.06,0.0,10.0
2017-04-04,,,,,0.35,56.41,0.0,10.0
2017-04-05,,,,,0.12,56.29,0.0,10.0
2017-04-06,,,,,0.25,56.54,0.0,10.0
2017-04-07,,,,,0.29,56.83,0.0,10.0
2017-04-10,,,,,0.58,57.41,0.0,10.0
2017-04-11,,,,,0.32,57.73,0.0,10.0
2017-04-12,,,,,0.28,58.01,0.0,10.0
2017-04-13,,,,,0.16,57.85,0.0,10.0
2017-04-17,,,,,0.2,57.65,0.0,10.0
2017-04-18,,,,,0.25,57.4,0.0,10.0
2017-04-19,,,,,1.1,56.3,0.0,10.0
2017-04-20,,,,,0.17,56.13,0.0,10.0
2017-04-21,,,,,0.06,56.07,0.0,10.0
2017-04-24,,,,,0.4,55.67,0.0,10.0
2017-04-25,,,,,0.15,55.52,0.0,10.0
2017-04-26,,,,,0.02,55.5,0.0,10.0
2017-04-27,,,,,0.72,54.78,0.0,10.0
2017-04-28,,,,,0.21,54.99,0.0,10.0
2017-05-01,,,,,0.38,54.61,0.0,10.0
2017-05-02,,,,,0.7,53.91,0.0,10.0
2017-05-03,,,,,0.42,54.33,0.0,10.0
2017-05-04,,,,,0.87,53.46,0.0,10.0
2017-05-05,,,,,1.39,54.85,0.0,10.0
2017-05-08,,,,,0.23,55.08,0.0,10.0
2017-05-09,,,,,0.33,54.75,0.0,10.0
2017-05-10,,,,,0.51,55.26,0.0,10.0
2017-05-11,,,,,0.16,55.42,0.0,10.0
2017-05-12,,,,,0.44,54.98,0.0,10.0
2017-05-15,,,,,0.04,54.94,0.0,10.0
2017-05-16,,,,,0.19,55.13,0.0,10.0
2017-05-17,,,,,0.06,55.19,0.0,10.0
2017-05-18,,,,,0.18,55.37,0.0,10.0
2017-05-19,,,,,0.61,55.98,0.0,10.0
2017-05-22,,,,,0.07,56.05,0.0,10.0
2017-05-23,,,,,0.01,56.04,0.0,10.0
2017-05-24,,,,,0.59,55.45,0.0,10.0
2017-05-25,,,,,1.12,54.33,0.0,10.0
2017-05-26,,,,,0.61,54.94,0.0,10.0
2017-05-30,,,,,0.09,55.03,0.0,10.0
2017-05-31,,,,,1.02,54.01,0.0,10.0
2017-06-01,,,,,0.01,54.02,0.0,10.0
2017-06-02,,,,,0.19,53.83,0.0,10.0
2017-06-05,,,,,0.01,53.84,0.0,10.0
2017-06-06,,,,,0.05,53.89,0.0,10.0
2017-06-07,,,,,0.66,53.23,0.0,10.0
2017-06-08,,,,,0.79,54.02,0.0,10.0
2017-06-09,,,,,0.12,54.14,0.0,10.0
2017-06-12,,,,,0.16,54.3,0.0,10.0
2017-06-13,,,,,0.19,54.49,0.0,10.0
2017-06-14,,,,,0.5,53.99,0.0,10.0
2017-06-15,,,,,0.74,54.73,0.0,10.0
2017-06-16,,,,,0.05,54.78,0.0,10.0
2017-06-19,,,,,0.26,54.52,0.0,10.0
2017-06-20,,,,,0.05,54.57,0.0,10.0
2017-06-21,,,,,0.12,54.45,0.0,10.0
2017-06-22,,,,,0.02,54.43,0.0,10.0
2017-06-23,,,,,0.23,54.2,0.0,10.0
2017-06-26,,,,,,54.2,0.0,10.0
2017-06-27,,,,,0.49,54.69,0.0,10.0
2017-06-28,,,,,0.07,54.76,0.0,10.0
2017-06-29,,,,,0.34,55.1,0.0,10.0
2017-06-30,,,,,0.92,56.02,0.0,10.0
2017-07-03,,,,,0.91,56.93,0.0,10.0
2017-07-05,,,,,1.27,55.66,0.0,10.0
2017-07-06,,,,,,55.66,0.0,10.0
2017-07-07,,,,,0.8,54.86,0.0,10.0
2017-07-10,,,,,0.94,55.8,0.0,10.0
2017-07-11,,,,,0.79,56.59,0.0,10.0
2017-07-12,,,,,0.18,56.41,0.0,10.0
2017-07-13,,,,,0.35,56.76,0.0,10.0
2017-07-14,,,,,0.39,57.15,0.0,10.0
2017-07-17,,,,,0.26,56.89,0.0,10.0
2017-07-18,,,,,0.3,56.59,0.0,10.0
2017-07-19,,,,,0.02,56.61,0.0,10.0
2017-07-20,,,,,0.44,56.17,0.0,10.0
2017-07-21,,,,,0.76,55.41,0.0,10.0
2017-07-24,,,,,0.5,55.91,0.0,10.0
2017-07-25,,,,,0.62,56.53,0.0,10.0
2017-07-26,,,,,0.08,56.45,0.0,10.0
2017-07-27,,,,,0.38,56.07,0.0,10.0
2017-07-28,,,,,0.03,56.1,0.0,10.0
2017-07-31,,,,,0.43,56.53,0.0,10.0
2017-08-01,,,,,0.61,55.92,0.0,10.0
2017-08-02,,,,,0.18,56.1,0.0,10.0
2017-08-03,,,,,0.4,55.7,0.0,10.0
2017-08-04,,,,,0.36,56.06,0.0,10.0
2017-08-07,,,,,0.19,55.87,0.0,10.0
2017-08-08,,,,,0.31,55.56,0.0,10.0
2017-08-09,,,,,0.16,55.4,0.0,10.0
2017-08-10,,,,,1.11,54.29,0.0,10.0
2017-08-11,,,,,0.16,54.13,0.0,10.0
2017-08-14,,,,,0.32,53.81,0.0,10.0
2017-08-15,,,,,0.1,53.91,0.0,10.0
2017-08-16,,,,,0.04,53.87,0.0,10.0
2017-08-17,,,,,0.12,53.99,0.0,10.0
2017-08-18,,,,,1.13,55.12,0.0,10.0
2017-08-21,,,,,1.06,54.06,0.0,10.0
2017-08-22,,,,,0.61,54.67,0.0,10.0
2017-08-23,,,,,0.3,54.97,0.0,10.0
2017-08-24,,,,,0.27,54.7,0.0,10.0
2017-08-25,,,,,0.06,54.76,0.0,10.0
2017-08-28,,,,,0.41,54.35,2.0,10.0
2017-08-29,,,,,0.57,54.92,0.0,10.0
2017-08-30,,,,,0.39,54.53,0.0,10.0
2017-08-31,,,,,1.62,56.15,0.0,10.0
2017-09-01,56.0,56.0,56.0,56.0,0.06,56.21,2.0,10.0
2017-09-05,,,,,0.05,56.26,0.0,10.0
2017-09-06,,,,,0.05,56.21,0.0,11.0
2017-09-07,,,,,0.03,56.18,0.0,11.0
2017-09-08,,,,,0.92,55.26,0.0,11.0
2017-09-11,,,,,0.02,55.28,0.0,11.0
2017-09-12,,,,,0.19,55.09,0.0,11.0
2017-09-13,,,,,0.24,54.85,0.0,11.0
2017-09-14,,,,,0.04,54.89,0.0,11.0
2017-09-15,,,,,0.23,55.12,0.0,11.0
2017-09-18,,,,,0.5,54.62,0.0,11.0
2017-09-19,,,,,0.44,54.18,0.0,11.0
2017-09-20,,,,,0.01,54.19,0.0,11.0
2017-09-21,,,,,0.22,53.97,0.0,11.0
2017-09-22,,,,,0.02,53.95,0.0,11.0
2017-09-25,,,,,0.68,53.27,0.0,11.0
2017-09-26,,,,,0.05,53.22,0.0,11.0
2017-09-27,,,,,0.2,53.02,0.0,11.0
2017-09-28,,,,,0.43,52.59,0.0,11.0
2017-09-29,,,,,0.34,52.93,0.0,11.0
2017-10-02,,,,,0.56,52.37,0.0,11.0
2017-10-03,,,,,0.06,52.43,0.0,11.0
2017-10-04,,,,,0.22,52.65,0.0,11.0
2017-10-05,,,,,0.37,53.02,0.0,11.0
2017-10-06,,,,,0.89,52.13,0.0,11.0
2017-10-09,,,,,0.2,52.33,0.0,11.0
2017-10-10,,,,,0.03,52.3,0.0,11.0
2017-10-11,,,,,0.16,52.46,0.0,11.0
2017-10-12,,,,,0.36,52.1,0.0,11.0
2017-10-13,,,,,0.06,52.04,0.0,11.0
2017-10-16,,,,,0.31,51.73,0.0,11.0
2017-10-17,51.73,51.73,51.73,51.73,0.28,51.45,10.0,11.0
2017-10-18,,,,,0.23,51.68,0.0,3.0
2017-10-19,,,,,0.06,51.62,0.0,3.0
2017-10-20,,,,,0.22,51.84,0.0,3.0
2017-10-23,52.0,52.0,52.0,52.0,0.24,51.6,2.0,3.0
2017-10-24,,,,,0.33,51.93,0.0,2.0
2017-10-25,,,,,0.05,51.98,0.0,2.0
2017-10-26,,,,,0.05,51.93,0.0,2.0
2017-10-27,,,,,0.33,52.26,0.0,2.0
2017-10-30,,,,,0.01,52.25,0.0,2.0
2017-10-31,,,,,0.17,52.08,0.0,2.0
2017-11-01,,,,,0.3,51.78,0.0,2.0
2017-11-02,,,,,0.16,51.62,4.0,2.0
2017-11-03,,,,,0.07,51.69,0.0,6.0
2017-11-06,,,51.67,51.67,0.32,51.37,0.0,6.0
2017-11-07,,,,,0.26,51.63,0.0,6.0
2017-11-08,,,,,0.79,52.42,0.0,6.0
2017-11-09,,,,,0.04,52.46,0.0,6.0
2017-11-10,,,,,0.45,52.91,0.0,6.0
2017-11-13,,,,,0.52,53.43,0.0,6.0
2017-11-14,,,,,0.8,52.63,0.0,6.0
2017-11-15,,,,,0.2,52.43,0.0,6.0
2017-11-16,51.7,51.7,51.35,51.35,1.25,51.18,15.0,6.0
2017-11-17,,,,,0.27,50.91,0.0,20.0
2017-11-20,,,,,0.11,50.8,0.0,20.0
2017-11-21,,,,,0.32,50.48,0.0,20.0
2017-11-22,,,,,0.05,50.43,0.0,20.0
2017-11-24,,,,,0.22,50.65,0.0,20.0
2017-11-27,,,,,0.55,51.2,0.0,20.0
2017-11-28,,,,,0.15,51.35,0.0,20.0
2017-11-29,,,,,0.24,51.59,0.0,20.0
2017-11-30,,,,,0.01,51.58,0.0,20.0
2017-12-01,,,,,0.15,51.43,0.0,20.0
2017-12-04,,,,,0.15,51.58,0.0,20.0
2017-12-05,,,,,0.1,51.68,0.0,20.0
