Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2017-12-13,,,,,,2680.0,0.0,0.0
2017-12-14,,,,,13.0,2667.0,0.0,0.0
2017-12-15,,2679.0,,2679.0,26.0,2693.0,0.0,0.0
2017-12-18,,,,,11.25,2704.25,0.0,0.0
2017-12-19,,,,,10.0,2694.25,0.0,0.0
2017-12-20,,,,,2.25,2692.0,0.0,0.0
2017-12-21,,2695.0,,2695.0,6.0,2698.0,0.0,0.0
2017-12-22,,,,,1.75,2696.25,4.0,0.0
2017-12-26,,,,,1.25,2697.5,0.0,4.0
2017-12-27,,,,,1.5,2696.0,0.0,4.0
2017-12-28,,,,,0.5,2696.5,0.0,4.0
2017-12-29,,,2691.75,2691.75,8.75,2687.75,0.0,4.0
2018-01-02,,2695.0,,2695.0,17.0,2704.75,0.0,4.0
2018-01-03,,2711.25,,2711.25,18.25,2723.0,0.0,4.0
2018-01-04,,2737.75,,2737.75,14.5,2737.5,14.0,4.0
2018-01-05,,2754.0,,2754.0,19.0,2756.5,2.0,17.0
2018-01-08,,,,,4.5,2761.0,0.0,19.0
2018-01-09,,2768.5,,2768.5,5.5,2766.5,1.0,19.0
2018-01-10,,,2760.75,2760.75,1.5,2765.0,1.0,19.0
2018-01-11,,2780.5,,2780.5,19.25,2784.25,0.0,19.0
2018-01-12,,2797.25,,2797.25,19.5,2803.75,1.0,19.0
2018-01-16,2803.75,2815.5,2803.75,2803.75,5.25,2798.5,2.0,19.0
2018-01-17,,2820.75,,2820.75,22.5,2821.0,0.0,20.0
2018-01-18,,,2818.25,2818.25,7.5,2813.5,0.0,20.0
2018-01-19,,2827.0,,2827.0,16.0,2829.5,0.0,20.0
2018-01-22,2849.75,2853.75,2849.75,2853.75,25.25,2854.75,1.0,20.0
2018-01-23,2860.0,2862.0,2853.0,2856.0,4.75,2859.5,2.0,20.0
2018-01-24,2852.5,2870.0,2852.0,2859.25,0.75,2860.25,6.0,22.0
2018-01-25,,2868.25,2856.5,2858.5,0.5,2860.75,0.0,28.0
2018-01-26,2875.0,2890.5,2875.0,2890.5,33.75,2894.5,1.0,28.0
2018-01-29,2879.0,2879.0,2875.25,2875.25,20.75,2873.75,2.0,29.0
2018-01-30,2859.25,2860.75,2841.75,2845.0,29.0,2844.75,4.0,30.0
2018-01-31,2846.5,2855.5,2840.0,2844.0,1.0,2845.75,7.0,31.0
2018-02-01,2847.25,2847.25,2834.25,2837.25,3.25,2842.5,2.0,33.0
2018-02-02,2813.5,2814.75,2783.5,2783.5,66.5,2776.0,5.0,33.0
2018-02-05,2742.0,2743.0,2635.0,2635.0,151.0,2625.0,5.0,33.0
2018-02-06,2625.0,2706.0,2562.0,2705.75,87.25,2712.25,8.0,32.0
2018-02-07,2738.0,2738.0,2693.75,2694.75,26.75,2685.5,3.0,32.0
2018-02-08,,2687.5,2614.75,2614.75,75.25,2610.25,0.0,32.0
2018-02-09,2625.0,2637.5,2562.5,2637.5,23.75,2634.0,1.0,32.0
2018-02-12,,2670.0,,2670.0,36.0,2670.0,0.0,31.0
2018-02-13,,,2666.0,2666.0,8.0,2678.0,0.0,31.0
2018-02-14,,2710.25,2664.5,2710.25,35.75,2713.75,0.0,31.0
2018-02-15,,2742.0,,2742.0,40.25,2754.0,0.0,361.0
2018-02-16,2756.0,2770.5,2753.5,2761.75,2.0,2756.0,7.0,31.0
2018-02-20,,,2736.0,2736.0,20.5,2735.5,0.0,38.0
2018-02-21,,2760.0,2723.75,2723.75,15.75,2719.75,1.0,38.0
2018-02-22,,2745.5,2718.0,2730.25,13.25,2733.0,0.0,39.0
2018-02-23,,2766.25,,2766.25,37.5,2770.5,0.0,39.0
2018-02-26,,2789.25,,2789.25,36.5,2807.0,0.0,39.0
2018-02-27,,,2781.75,2781.75,35.0,2772.0,23.0,39.0
2018-02-28,,2779.25,2752.0,2752.0,35.0,2737.0,0.0,47.0
2018-03-01,,2746.0,2692.5,2703.25,37.75,2699.25,0.0,47.0
2018-03-02,2673.0,2709.0,2673.0,2709.0,12.5,2711.75,6.0,47.0
2018-03-05,,2743.5,2703.5,2743.5,28.25,2740.0,6.0,47.0
2018-03-06,,2747.0,,2747.0,6.0,2746.0,0.0,41.0
2018-03-07,,2748.5,2715.75,2748.5,1.5,2744.5,0.0,41.0
2018-03-08,,2748.75,,2748.75,18.25,2762.75,0.0,41.0
2018-03-09,,2802.5,,2802.5,43.75,2806.5,0.0,41.0
