Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2018-03-14,,,,,,2776.0,0.0,0.0
2018-03-15,,,,,0.5,2776.5,0.0,0.0
2018-03-16,,,,,1.25,2777.75,0.0,0.0
2018-03-19,,,2761.0,2761.0,33.5,2744.25,0.0,0.0
2018-03-20,,,,,0.25,2744.5,0.0,0.0
2018-03-21,,,,,5.0,2739.5,0.0,0.0
2018-03-22,,,,,73.5,2666.0,0.0,0.0
2018-03-23,,,2628.5,2628.5,45.25,2620.75,0.0,0.0
2018-03-26,,2647.0,,2641.0,61.0,2681.75,0.0,0.0
2018-03-27,,,,,43.25,2638.5,0.0,0.0
2018-03-28,,2643.75,2638.25,2638.25,7.0,2631.5,0.0,0.0
2018-03-29,,2666.25,,2666.25,35.5,2667.0,0.0,0.0
2018-04-02,,,,,67.25,2599.75,0.0,0.0
2018-04-03,,2613.75,,2613.75,38.75,2638.5,0.0,0.0
2018-04-04,,,2637.0,2637.0,33.75,2672.25,0.0,0.0
2018-04-05,,2681.0,,2681.0,15.0,2687.25,0.0,0.0
2018-04-06,,,,,55.5,2631.75,0.0,0.0
2018-04-09,,2663.0,,2663.0,11.5,2643.25,0.0,0.0
2018-04-10,,,,,35.5,2678.75,0.0,0.0
2018-04-11,,,2677.75,2677.75,13.25,2665.5,0.0,0.0
2018-04-12,,,,,23.25,2688.75,0.0,0.0
2018-04-13,,,2682.75,2682.75,7.25,2681.5,0.0,0.0
2018-04-16,,2695.25,,2695.25,24.25,2705.75,0.0,0.0
2018-04-17,,,,,23.25,2729.0,0.0,0.0
2018-04-18,,,,,6.0,2735.0,0.0,0.0
2018-04-19,,,2718.25,2718.25,16.75,2718.25,0.0,0.0
2018-04-20,,,2695.75,2695.75,21.75,2696.5,0.0,0.0
2018-04-23,,,,,,2696.5,0.0,0.0
2018-04-24,,2698.5,,2698.5,37.75,2658.75,0.0,0.0
2018-04-25,,,2646.5,2647.75,9.5,2668.25,0.0,0.0
2018-04-26,,2687.0,,2687.0,30.75,2699.0,0.0,0.0
2018-04-27,,,,,2.5,2696.5,0.0,0.0
2018-04-30,,,,,25.75,2670.75,0.0,0.0
2018-05-01,,,,,5.25,2676.0,0.0,0.0
2018-05-02,,,,,25.0,2651.0,0.0,0.0
2018-05-03,,,2635.5,2635.5,5.25,2656.25,0.0,0.0
2018-05-04,,,,,31.75,2688.0,0.0,0.0
2018-05-07,,,,,6.0,2694.0,0.0,0.0
2018-05-08,,,,,0.5,2693.5,0.0,0.0
2018-05-09,,,,,26.0,2719.5,0.0,0.0
2018-05-10,,,,,23.75,2743.25,0.0,0.0
2018-05-11,,,,,10.75,2754.0,0.0,0.0
2018-05-14,,,,,0.75,2753.25,0.0,0.0
2018-05-15,,,,,20.5,2732.75,0.0,0.0
2018-05-16,,,,,14.5,2747.25,0.0,0.0
2018-05-17,,,,,4.25,2743.0,0.0,0.0
2018-05-18,,,,,6.0,2737.0,0.0,0.0
2018-05-21,,,,,21.0,2758.0,0.0,0.0
2018-05-22,,,,,6.75,2751.25,0.0,0.0
2018-05-23,,,,,3.5,2754.75,0.0,0.0
2018-05-24,,,2742.25,2742.25,2.75,2752.0,0.0,0.0
2018-05-25,,,,,9.25,2742.75,0.0,0.0
2018-05-29,,2743.75,2732.25,2732.25,27.5,2715.25,0.0,0.0
2018-05-30,,,,,32.25,2747.5,0.0,0.0
2018-05-31,,,2741.5,2741.5,18.0,2729.5,0.0,0.0
2018-06-01,,2744.5,,2744.5,28.0,2757.5,0.0,0.0
2018-06-04,,,,,12.75,2770.25,0.0,0.0
2018-06-05,,,,,5.75,2776.0,0.0,0.0
2018-06-06,,,,,20.5,2796.5,0.0,0.0
2018-06-07,,,,,,2796.5,0.0,0.0
2018-06-08,,,,,7.0,2803.5,0.0,0.0
2018-06-11,2805.0,2805.0,2805.0,2805.0,4.25,2807.75,1.0,0.0
2018-06-12,,,,,1.75,2809.5,0.0,1.0
2018-06-13,,,,,8.75,2800.75,0.0,1.0
2018-06-14,,,,,8.75,2809.5,0.0,1.0
2018-06-15,,,,,4.25,2805.25,0.0,1.0
2018-06-18,,,2802.25,2802.25,5.25,2800.0,0.0,1.0
2018-06-19,,,,,13.5,2786.5,0.0,1.0
2018-06-20,,,,,5.25,2791.75,0.0,1.0
2018-06-21,,,,,19.0,2772.75,0.0,1.0
2018-06-22,,,,,6.75,2779.5,0.0,1.0
2018-06-25,,,,,38.0,2741.5,0.0,1.0
2018-06-26,,,,,2.5,2744.0,3000.0,1.0
2018-06-27,2740.0,2748.0,2734.0,2734.0,23.75,2720.25,1001.0,3001.0
2018-06-28,,2724.25,,2724.25,14.5,2734.75,500.0,4002.0
2018-06-29,,2744.5,,2744.5,2.75,2737.5,1500.0,4501.0
