Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2017-09-13,,,,,,2496.5,0.0,0.0
2017-09-14,,,,,0.5,2496.0,0.0,0.0
2017-09-15,,,,,3.0,2499.0,0.0,0.0
2017-09-18,,,,,6.25,2505.25,0.0,0.0
2017-09-19,2508.75,2508.75,2500.5,2500.5,0.5,2504.75,15.0,0.0
2017-09-20,,,2502.75,2502.75,0.75,2504.0,0.0,5.0
2017-09-21,,,2500.75,2500.75,4.0,2500.0,0.0,5.0
2017-09-22,,,,,1.75,2498.25,0.0,5.0
2017-09-25,,,2489.0,2489.0,2.25,2496.0,0.0,5.0
2017-09-26,,,2495.5,2495.5,1.5,2494.5,0.0,5.0
2017-09-27,,2495.75,,2495.75,9.0,2503.5,1.0,5.0
2017-09-28,,,,,3.5,2507.0,0.0,6.0
2017-09-29,,,,,8.5,2515.5,0.0,6.0
2017-10-02,,2516.0,,2516.0,10.75,2526.25,0.0,6.0
2017-10-03,,,,,6.5,2532.75,0.0,6.0
2017-10-04,,,,,3.75,2536.5,0.0,6.0
2017-10-05,,2536.75,,2536.75,14.0,2550.5,0.0,6.0
2017-10-06,,,2550.25,2550.25,4.5,2546.0,0.0,6.0
2017-10-09,,,,,1.5,2544.5,0.0,6.0
2017-10-10,,,,,4.75,2549.25,0.0,6.0
2017-10-11,,,,,4.75,2554.0,0.0,6.0
2017-10-12,,,,,3.5,2550.5,0.0,6.0
2017-10-13,,,,,3.25,2553.75,0.0,6.0
2017-10-16,,,,,3.5,2557.25,0.0,6.0
2017-10-17,,,,,0.75,2558.0,0.0,6.0
2017-10-18,,,,,3.0,2561.0,0.0,6.0
2017-10-19,,,2553.0,2553.0,0.5,2561.5,0.0,6.0
2017-10-20,,2562.5,,2562.5,13.5,2575.0,3.0,6.0
2017-10-23,,,2571.25,2571.25,10.75,2564.25,0.0,6.0
2017-10-24,,,,,4.25,2568.5,1.0,6.0
2017-10-25,,,2548.25,2559.5,9.0,2559.5,0.0,6.0
2017-10-26,,,,,3.25,2562.75,0.0,6.0
2017-10-27,,2567.75,,2567.75,17.0,2579.75,0.0,6.0
2017-10-30,,,2572.5,2572.5,10.25,2569.5,0.0,6.0
2017-10-31,,,,,4.5,2574.0,0.0,6.0
2017-11-01,,,,,2.25,2576.25,0.0,6.0
2017-11-02,,,2571.25,2572.75,2.0,2578.25,0.0,6.0
2017-11-03,,,,,6.0,2584.25,0.0,6.0
2017-11-06,,,,,6.0,2590.25,3.0,6.0
2017-11-07,,,2589.5,2589.5,2.0,2588.25,2.0,5.0
2017-11-08,,,,,4.25,2592.5,8.0,6.0
2017-11-09,,,2572.25,2572.5,7.0,2585.5,1.0,12.0
2017-11-10,2572.25,2579.25,2572.25,2579.25,4.5,2581.0,8.0,13.0
2017-11-13,,,2580.5,2580.5,2.5,2583.5,0.0,20.0
2017-11-14,,,2571.25,2573.25,4.0,2579.5,0.0,20.0
2017-11-15,2555.5,2572.25,2555.5,2569.25,12.75,2566.75,32.0,20.0
2017-11-16,,2588.5,,2588.5,20.25,2587.0,6.0,34.0
2017-11-17,,,2584.0,2584.0,8.75,2578.25,0.0,39.0
2017-11-20,,,,,6.0,2584.25,0.0,39.0
2017-11-21,,2589.25,,2589.25,14.5,2598.75,0.0,39.0
2017-11-22,,,,,1.5,2597.25,0.0,39.0
2017-11-24,,,,,6.25,2603.5,0.0,39.0
2017-11-27,2609.0,2610.75,2609.0,2610.75,1.25,2604.75,3.0,39.0
2017-11-28,2604.75,2626.0,2604.75,2626.0,27.25,2632.0,1.0,39.0
2017-11-29,,2633.5,,2633.5,0.25,2631.75,0.0,40.0
2017-11-30,2662.0,2662.0,2652.5,2652.5,23.25,2655.0,1.0,40.0
2017-12-01,2627.0,2640.0,2620.0,2640.0,4.25,2650.75,5.0,41.0
2017-12-04,2670.0,2670.0,2650.75,2650.75,5.25,2645.5,5.0,41.0
2017-12-05,2649.25,2649.25,2645.5,2645.5,9.75,2635.75,2.0,45.0
2017-12-06,,,,,1.5,2637.25,0.0,46.0
2017-12-07,2637.25,2641.25,2637.25,2641.25,10.5,2647.75,8.0,46.0
2017-12-08,,2650.0,,2650.0,12.25,2660.0,0.0,42.0
2017-12-11,2656.75,2666.75,2656.75,2660.0,10.5,2670.5,6.0,42.0
2017-12-12,2668.0,2680.0,2668.0,2677.5,4.0,2674.5,10.0,44.0
2017-12-13,2684.75,2685.5,2668.5,2679.75,1.5,2676.0,6.0,44.0
2017-12-14,2682.5,2682.5,2666.25,2666.25,13.25,2662.75,8.0,49.0
2017-12-15,2659.0,2686.0,2659.0,2686.0,26.25,2689.0,13.0,49.0
2017-12-18,2698.5,2702.25,2698.25,2702.25,12.25,2701.25,2.0,49.0
2017-12-19,2694.0,2703.0,2694.0,2694.0,9.75,2691.5,2.0,51.0
2017-12-20,2691.5,2702.25,2689.5,2692.5,2.5,2689.0,4.0,52.0
2017-12-21,2700.0,2702.75,2698.25,2698.25,6.0,2695.0,4.0,54.0
2017-12-22,,2697.75,2694.0,2694.0,1.5,2693.5,4.0,58.0
2017-12-26,,,,,1.0,2694.5,0.0,54.0
2017-12-27,,2695.25,2693.75,2693.75,1.5,2693.0,0.0,54.0
2017-12-28,2696.75,2696.75,2695.0,2695.0,0.5,2693.5,15.0,54.0
2017-12-29,2695.0,2703.75,2679.0,2679.25,8.5,2685.0,633.0,55.0
2018-01-02,2694.75,2703.25,2687.25,2703.25,16.75,2701.75,2.0,75.0
2018-01-03,2703.5,2722.25,2703.5,2720.0,18.25,2720.0,27.0,74.0
2018-01-04,2726.25,2735.75,2724.25,2734.25,14.0,2734.0,22.0,75.0
2018-01-05,2740.0,2753.0,2736.5,2753.0,19.0,2753.0,4.0,84.0
2018-01-08,2756.25,2759.0,2750.25,2757.5,4.25,2757.25,5808.0,83.0
2018-01-09,2757.5,2770.0,2757.5,2764.0,5.75,2763.0,4222.0,5880.0
2018-01-10,2756.25,2759.75,2750.5,2759.25,1.5,2761.5,2806.0,10074.0
2018-01-11,2772.75,2778.75,2772.5,2778.75,19.0,2780.5,3805.0,12873.0
2018-01-12,2786.25,2800.0,2785.25,2800.0,19.5,2800.0,1085.0,16475.0
2018-01-16,2810.0,2817.5,2784.75,2792.75,5.5,2794.5,405.0,17477.0
2018-01-17,2798.25,2820.5,2795.75,2816.75,22.5,2817.0,161.0,17479.0
2018-01-18,2812.0,2820.0,2809.25,2810.0,7.5,2809.5,1030.0,18635.0
2018-01-19,2815.0,2827.25,2808.0,2827.25,16.25,2825.75,220.0,19621.0
2018-01-22,2832.0,2851.5,2821.75,2851.5,25.25,2851.0,1732.0,19730.0
2018-01-23,2850.0,2860.0,2850.0,2856.0,4.5,2855.5,1909.0,20784.0
2018-01-24,2869.75,2869.75,2844.0,2857.0,1.0,2856.5,686.0,21787.0
2018-01-25,2860.0,2865.0,2849.25,2855.0,0.25,2856.75,1012.0,22432.0
2018-01-26,2859.75,2890.0,2859.75,2890.0,34.0,2890.75,114.0,23438.0
2018-01-29,2894.0,2894.75,2871.25,2872.0,21.0,2869.75,37.0,23444.0
2018-01-30,2859.25,2870.5,2838.0,2844.75,29.0,2840.75,19.0,23473.0
2018-01-31,2847.75,2852.5,2833.75,2844.0,1.25,2842.0,959.0,23474.0
2018-02-01,2850.5,2851.25,2827.75,2836.75,3.5,2838.5,36.0,24419.0
2018-02-02,2815.0,2841.25,2766.75,2773.25,66.5,2772.0,2606.0,24411.0
2018-02-05,2752.5,2773.5,2620.0,2624.75,151.0,2621.0,57.0,24082.0
2018-02-06,2641.75,2703.5,2547.75,2701.75,87.25,2708.25,63.0,24069.0
2018-02-07,2693.5,2733.25,2680.0,2680.0,26.5,2681.75,22.0,24090.0
2018-02-08,2683.0,2693.25,2595.5,2609.75,75.5,2606.25,135.0,24084.0
2018-02-09,2612.0,2641.75,2546.25,2628.75,23.75,2630.0,250.0,24084.0
2018-02-12,2664.0,2678.25,2636.0,2665.0,36.75,2666.75,16.0,24074.0
2018-02-13,2653.0,2676.25,2653.0,2676.0,7.25,2674.0,5.0,24075.0
2018-02-14,2675.25,2711.5,2651.0,2709.25,35.75,2709.75,226.0,24076.0
2018-02-15,2719.75,2750.0,2705.0,2750.0,39.25,2749.0,54.0,24272.0
2018-02-16,2754.0,2767.25,2739.25,2748.5,1.75,2750.75,37.0,24303.0
2018-02-20,2761.0,2763.5,2722.0,2731.5,20.5,2730.25,10.0,24317.0
2018-02-21,2728.75,2759.75,2712.5,2712.5,15.25,2715.0,30.0,24321.0
2018-02-22,2748.0,2748.0,2706.5,2724.75,13.0,2728.0,712.0,24326.0
2018-02-23,2730.5,2760.5,2730.5,2760.5,37.25,2765.25,69.0,24326.0
2018-02-26,2768.5,2804.25,2762.0,2804.25,36.5,2801.75,228.0,24317.0
2018-02-27,2800.5,2804.0,2762.0,2764.25,36.0,2765.75,1057.0,24519.0
2018-02-28,2760.0,2779.0,2732.5,2736.25,33.25,2732.5,73.0,24933.0
2018-03-01,2725.0,2747.5,2678.75,2695.5,37.75,2694.75,42.0,24939.0
2018-03-02,2699.0,2708.5,2666.0,2707.0,12.5,2707.25,16.0,24917.0
2018-03-05,2720.25,2743.0,2691.0,2737.5,27.25,2734.5,29.0,24917.0
2018-03-06,2736.0,2747.25,2731.5,2742.75,6.0,2740.5,31.0,24921.0
2018-03-07,2708.25,2745.0,2700.0,2739.25,0.5,2740.0,8.0,24916.0
2018-03-08,2750.0,2754.25,2742.0,2754.25,15.5,2755.5,1.0,24917.0
2018-03-09,2779.75,2801.25,2779.75,2801.25,45.75,2801.25,49.0,24918.0
2018-03-12,2805.0,2813.0,2799.5,2800.5,0.75,2802.0,53.0,24922.0
2018-03-13,2815.0,2818.0,2776.5,2782.25,16.5,2785.5,44.0,24925.0
