Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2014-02-18,,,,,0.45,80.5,740.0,2757.0
2014-02-19,,,,,0.7,79.8,507.0,2755.0
2014-02-20,,,,,0.15,79.65,398.0,2755.0
2014-02-21,,,,,,79.65,69.0,2717.0
2014-02-24,,,,,0.45,79.2,265.0,2706.0
2014-02-25,,,,,0.2,79.0,249.0,2716.0
2014-02-26,,,,,0.35,78.65,240.0,2715.0
2014-02-27,,,,,0.45,79.1,290.0,2696.0
2014-02-28,,,,,0.35,79.45,310.0,2673.0
2014-03-03,,,,,1.2,80.65,455.0,2745.0
2014-03-04,,,,,0.6,80.05,255.0,2841.0
2014-03-06,,,,,0.05,79.6,140.0,2740.0
2014-03-07,,,,,0.35,79.95,152.0,2735.0
2014-03-10,,,,,0.7,79.25,170.0,2686.0
2014-03-11,,,,,0.3,79.55,255.0,2643.0
2014-03-12,,,,,0.05,79.6,185.0,2672.0
2014-03-13,,,,,0.1,79.7,360.0,2708.0
2014-03-14,,,,,0.5,80.2,265.0,2750.0
2014-03-17,,,,,0.25,80.45,265.0,2850.0
2014-03-18,,,,,0.3,80.15,230.0,2700.0
2014-03-19,,,,,0.2,79.95,145.0,2685.0
2014-03-20,,,,,0.25,79.7,110.0,2695.0
2014-03-21,,,,,0.5,80.2,165.0,2675.0
2014-03-24,,,,,0.45,79.75,165.0,2685.0
2014-03-25,,,,,0.4,79.35,315.0,2655.0
2014-03-26,,,,,0.5,78.85,295.0,2718.0
2014-03-27,,,,,0.2,79.05,180.0,2728.0
2014-03-28,,,,,0.15,79.2,110.0,2753.0
2014-03-31,,,,,0.15,79.35,80.0,2708.0
2014-04-01,,,,,0.4,78.95,135.0,2693.0
2014-04-02,,,,,0.25,78.7,270.0,2738.0
2014-04-03,,,,,0.05,78.65,276.0,2658.0
2014-04-04,,,,,0.3,78.35,165.0,2673.0
2014-04-07,,,,,0.5,78.85,295.0,2728.0
2014-04-08,,,,,0.25,78.6,241.0,2733.0
2014-04-09,,,,,0.15,78.75,160.0,2809.0
2014-04-10,,,,,0.55,79.3,287.0,2754.0
2014-04-11,,,,,0.2,79.5,140.0,2744.0
2014-04-14,,,,,0.35,79.85,240.0,2739.0
2014-04-15,,,,,0.65,80.5,800.0,2739.0
2014-04-16,,,,,0.45,80.95,528.0,2669.0
2014-04-17,,,,,0.5,80.45,265.0,2639.0
2014-04-21,,,,,,80.45,0.0,2624.0
2014-04-22,,,,,0.65,79.8,310.0,2624.0
2014-04-23,,,,,0.25,80.05,255.0,2589.0
2014-04-24,,,,,0.65,80.7,580.0,2606.0
2014-04-25,,,,,0.65,81.35,490.0,2606.0
2014-04-28,,,,,0.8,82.15,751.0,2653.0
2014-04-29,,,,,0.25,81.9,540.0,2652.0
2014-04-30,,,,,0.8,81.1,615.0,2602.0
2014-05-01,,,,,0.35,80.75,270.0,2689.0
2014-05-02,,,,,0.55,81.3,275.0,2720.0
2014-05-05,,,,,,81.3,0.0,2722.0
2014-05-06,,,,,0.2,81.5,250.0,2722.0
2014-05-07,,,,,0.75,80.75,387.0,2752.0
2014-05-08,,,,,0.1,80.65,557.0,2760.0
2014-05-09,,,,,0.2,80.85,150.0,2673.0
2014-05-12,,,,,0.35,81.2,160.0,2678.0
2014-05-13,,,,,0.1,81.3,215.0,2665.0
2014-05-14,,,,,0.05,81.35,315.0,2680.0
2014-05-15,,,,,0.1,81.45,353.0,2780.0
2014-05-16,,,,,0.15,81.3,55.0,2839.0
2014-05-19,,,,,0.3,81.0,15.0,2819.0
2014-05-20,,,,,0.15,80.85,150.0,2819.0
2014-05-21,,,,,0.1,80.95,40.0,2844.0
2014-05-22,,,,,0.15,81.1,255.0,2854.0
2014-05-23,,,,,0.15,81.25,205.0,2869.0
2014-05-27,,,,,0.45,80.8,150.0,2909.0
2014-05-28,,,,,0.25,80.55,365.0,2924.0
2014-05-29,,,,,0.25,80.3,170.0,2994.0
2014-05-30,,,,,0.7,79.6,288.0,2994.0
2014-06-02,,,,,0.55,79.05,290.0,3006.0
2014-06-03,,,,,,79.05,270.0,3085.0
2014-06-04,,,,,0.35,78.7,375.0,3155.0
2014-06-05,,,,,0.5,78.2,570.0,3200.0
2014-06-06,,,,,0.6,77.6,495.0,3370.0
2014-06-09,,,,,,77.6,180.0,3380.0
2014-06-10,,,,,0.1,77.5,700.0,3420.0
2014-06-11,,,,,0.05,77.45,355.0,3360.0
2014-06-12,,,,,,77.45,220.0,3355.0
2014-06-13,,,,,0.5,77.95,320.0,3415.0
2014-06-16,,,,,0.1,78.05,305.0,3365.0
2014-06-17,,,,,0.4,77.65,350.0,3345.0
2014-06-18,,,,,0.45,77.2,470.0,3330.0
2014-06-19,,,,,0.15,77.05,439.0,3430.0
2014-06-20,,,,,0.25,76.8,190.0,3266.0
2014-06-23,,,,,0.15,76.65,330.0,3291.0
2014-06-24,,,,,0.3,76.95,320.0,3331.0
2014-06-25,,,,,0.4,77.35,345.0,3416.0
2014-06-26,,,,,0.3,77.05,540.0,3471.0
2014-06-27,,,,,0.05,77.1,120.0,3527.0
2014-06-30,,,,,0.05,77.15,283.0,3512.0
2014-07-01,,,,,0.25,76.9,430.0,3434.0
2014-07-02,,,,,0.25,76.65,410.0,3435.0
2014-07-03,,,,,0.4,76.25,345.0,3495.0
2014-07-07,,,,,0.35,76.6,200.0,3480.0
2014-07-08,,,,,0.05,76.65,190.0,3484.0
2014-07-09,,,,,0.35,76.3,165.0,3469.0
2014-07-10,,,,,,76.3,175.0,3470.0
2014-07-11,,,,,0.3,76.0,300.0,3494.0
2014-07-14,,,,,0.4,76.4,195.0,3450.0
2014-07-15,,,,,0.2,76.2,285.0,3470.0
2014-07-16,,,,,0.55,75.65,315.0,3454.0
2014-07-17,,,,,0.95,76.6,615.0,3354.0
2014-07-18,,,,,0.25,76.35,265.0,3424.0
2014-07-21,,,,,0.25,76.6,315.0,3559.0
2014-07-22,,,,,0.95,77.55,575.0,3584.0
2014-07-23,,,,,0.35,77.9,625.0,3404.0
2014-07-24,,,,,0.1,78.0,360.0,3405.0
2014-07-25,,,,,0.5,78.5,360.0,3379.0
2014-07-28,,,,,0.75,79.25,465.0,3464.0
2014-07-29,,,,,1.15,78.1,388.0,3490.0
2014-07-30,,,,,0.5,77.6,437.0,3514.0
2014-07-31,,,,,0.4,77.2,330.0,3569.0
2014-08-01,,,,,0.05,77.25,245.0,3594.0
2014-08-04,,,,,0.15,77.4,206.0,3584.0
2014-08-05,,,,,0.7,78.1,150.0,3569.0
2014-08-06,,,,,0.2,78.3,325.0,3594.0
2014-08-07,,,,,0.7,79.0,385.0,3699.0
2014-08-08,,,,,0.6,79.6,363.0,3709.0
2014-08-11,,,,,0.45,79.15,384.0,3627.0
2014-08-12,,,,,0.55,78.6,305.0,3593.0
2014-08-13,,,,,0.45,79.05,240.0,3527.0
2014-08-14,,,,,0.5,78.55,630.0,3502.0
2014-08-15,,,,,0.4,78.95,297.0,3604.0
2014-08-18,,,,,0.8,78.15,75.0,3590.0
2014-08-19,,,,,0.2,77.95,250.0,3595.0
2014-08-20,,,,,0.05,77.9,265.0,3550.0
2014-08-21,,,,,0.4,78.3,290.0,3490.0
2014-08-22,,,,,0.3,78.6,35.0,3464.0
2014-08-25,,,,,,78.6,0.0,3457.0
2014-08-26,,,,,0.35,78.25,140.0,3457.0
2014-08-27,,,,,0.7,77.55,435.0,3436.0
2014-08-28,,,,,0.5,78.05,280.0,3594.0
2014-08-29,,,,,0.25,77.8,365.0,3618.0
2014-09-02,,,,,0.5,77.3,542.0,3656.0
2014-09-03,,,,,0.05,77.25,460.0,3756.0
2014-09-04,,,,,0.7,76.55,605.0,3775.0
2014-09-05,,,,,0.3,76.25,645.0,3890.0
2014-09-08,,,,,0.3,76.55,280.0,3968.0
2014-09-09,,,,,0.55,76.0,511.0,3947.0
2014-09-10,,,,,0.1,76.1,539.0,4031.0
2014-09-11,,,,,,76.1,540.0,4111.0
2014-09-12,,,,,,76.1,346.0,4112.0
2014-09-15,,,,,0.3,75.8,383.0,4204.0
2014-09-16,,,,,0.55,75.25,708.0,4094.0
2014-09-17,,,,,0.4,74.85,825.0,4051.0
2014-09-18,,,,,,74.85,519.0,4078.0
2014-09-19,,,,,0.1,74.75,380.0,4189.0
2014-09-22,,,,,0.35,74.4,440.0,4209.0
2014-09-23,,,,,0.35,74.05,996.0,4272.0
2014-09-24,,,,,0.15,73.9,655.0,4396.0
2014-09-25,,,,,0.4,73.5,825.0,4399.0
2014-09-26,,,,,0.2,73.3,465.0,4574.0
2014-09-29,,,,,0.75,72.55,427.0,4694.0
2014-09-30,,,,,0.2,72.35,929.0,4682.0
2014-10-01,,,,,0.25,72.6,440.0,4793.0
2014-10-02,,,,,0.55,73.15,490.0,4923.0
2014-10-03,,,,,1.0,72.15,805.0,4918.0
2014-10-06,,,,,0.05,72.1,417.0,5118.0
2014-10-07,,,,,0.2,72.3,492.0,5158.0
2014-10-08,,,,,,72.3,505.0,5071.0
2014-10-09,,,,,0.5,71.8,540.0,5056.0
2014-10-10,,,,,0.7,71.1,542.0,5086.0
2014-10-13,,,,,0.35,70.75,405.0,5171.0
2014-10-14,,,,,0.3,70.45,445.0,5201.0
2014-10-15,,,,,0.7,71.15,800.0,5121.0
2014-10-16,,,,,0.4,70.75,1103.0,5191.0
2014-10-17,,,,,0.25,70.5,470.0,5267.0
2014-10-20,,,,,0.05,70.45,468.0,5272.0
2014-10-21,,,,,0.3,70.75,360.0,5280.0
2014-10-22,,,,,1.7,72.45,900.0,5285.0
2014-10-23,,,,,0.1,72.35,670.0,5355.0
2014-10-24,,,,,0.05,72.4,510.0,5430.0
2014-10-27,,,,,0.2,72.6,240.0,5545.0
2014-10-28,,,,,0.1,72.5,540.0,5515.0
2014-10-29,,,,,0.05,72.55,415.0,5475.0
2014-10-30,,,,,0.75,71.8,875.0,5515.0
2014-10-31,,,,,0.7,71.1,725.0,5405.0
2014-11-03,,,,,0.45,70.65,402.0,5410.0
2014-11-04,,,,,1.05,69.6,790.0,5490.0
2014-11-05,,,,,0.2,69.4,547.0,5636.0
2014-11-06,,,,,0.35,69.05,495.0,5738.0
2014-11-07,,,,,1.3,70.35,764.0,5718.0
2014-11-10,,,,,0.65,71.0,1095.0,5842.0
2014-11-11,,,,,0.5,71.5,490.0,5767.0
2014-11-12,,,,,0.1,71.4,880.0,5847.0
2014-11-13,,,,,,71.4,610.0,5842.0
2014-11-14,,,,,0.3,71.1,925.0,5857.0
2014-11-17,,,,,0.75,71.85,280.0,5672.0
2014-11-18,,,,,0.35,72.2,1100.0,5650.0
2014-11-19,,,,,0.15,72.35,900.0,5620.0
2014-11-20,,,,,0.5,71.85,810.0,5570.0
2014-11-21,,,,,0.6,72.45,495.0,5390.0
2014-11-24,,,,,0.5,72.95,620.0,5390.0
2014-11-25,,,,,0.25,73.2,480.0,5535.0
2014-11-26,,,,,0.25,72.95,485.0,5670.0
2014-11-28,,,,,1.2,71.75,840.0,5640.0
2014-12-01,,,,,0.25,71.5,735.0,5630.0
2014-12-02,,,,,0.45,71.05,545.0,5530.0
2014-12-03,,,,,0.6,70.45,560.0,5370.0
2014-12-04,,,,,0.15,70.6,756.0,5260.0
2014-12-05,,,,,0.2,70.4,245.0,5295.0
2014-12-08,,,,,0.35,70.05,320.0,5210.0
2014-12-09,,,,,0.2,70.25,730.0,5150.0
2014-12-10,,,,,0.1,70.15,530.0,5190.0
2014-12-11,,,,,0.2,70.35,390.0,5097.0
2014-12-12,,,,,0.4,69.95,635.0,5054.0
2014-12-15,,,,,0.4,69.55,955.0,5039.0
2014-12-16,,,,,0.4,69.15,676.0,4919.0
2014-12-17,,,,,0.3,68.85,842.0,4933.0
2014-12-18,,,,,0.2,68.65,465.0,4813.0
2014-12-19,,,,,0.25,68.4,215.0,4788.0
2014-12-22,,,,,0.4,68.0,260.0,4808.0
2014-12-23,,,,,0.4,67.6,95.0,4848.0
2014-12-24,,,,,0.2,67.4,100.0,4868.0
2014-12-26,,,,,,67.4,0.0,4868.0
2014-12-29,,,,,0.95,66.45,155.0,4868.0
2014-12-31,,,,,0.1,66.15,20.0,4893.0
2015-01-02,,,,,1.25,64.9,215.0,4898.0
2015-01-05,,,,,2.4,62.5,590.0,4983.0
2015-01-06,,,,,1.5,61.0,540.0,5184.0
2015-01-07,,,,,2.55,58.45,1090.0,5218.0
2015-01-08,,,,,0.25,58.2,1280.0,5238.0
2015-01-09,,,,,0.9,57.3,295.0,5487.0
2015-01-12,,,,,1.15,56.15,330.0,5607.0
2015-01-13,,,,,0.95,57.1,582.0,5652.0
2015-01-14,,,,,1.45,55.65,893.0,5912.0
2015-01-15,,,,,1.9,53.75,1050.0,6135.0
2015-01-16,,,,,0.55,53.2,495.0,6650.0
2015-01-20,,,,,2.0,55.2,690.0,6820.0
2015-01-21,,,,,1.75,56.95,300.0,7090.0
