Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2014-02-18,,,,,1.55,76.25,1080.0,3843.0
2014-02-19,,,,,1.1,75.15,545.0,3843.0
2014-02-20,,,,,0.75,74.4,525.0,3843.0
2014-02-21,,,,,0.05,74.35,105.0,3809.0
2014-02-24,,,,,0.95,73.4,455.0,3794.0
2014-02-25,,,,,0.25,73.15,690.0,3864.0
2014-02-26,,,,,0.25,72.9,395.0,3869.0
2014-02-27,,,,,0.55,73.45,280.0,3938.0
2014-02-28,,,,,0.3,73.75,170.0,3893.0
2014-03-03,,,,,1.0,74.75,635.0,3823.0
2014-03-04,,,,,0.55,74.2,195.0,3958.0
2014-03-06,,,,,0.65,74.55,425.0,3768.0
2014-03-07,,,,,0.15,74.7,390.0,3644.0
2014-03-10,,,,,0.1,74.6,350.0,3630.0
2014-03-11,,,,,1.45,76.05,520.0,3505.0
2014-03-12,,,,,0.35,76.4,665.0,3356.0
2014-03-13,,,,,0.1,76.5,525.0,3491.0
2014-03-14,,,,,0.6,77.1,345.0,3624.0
2014-03-17,,,,,0.35,77.45,270.0,3611.0
2014-03-18,,,,,0.55,76.9,270.0,3586.0
2014-03-19,,,,,0.7,76.2,410.0,3583.0
2014-03-20,,,,,0.8,75.4,645.0,3539.0
2014-03-21,,,,,0.8,76.2,430.0,3261.0
2014-03-24,,,,,,76.2,760.0,3111.0
2014-03-25,,,,,0.7,75.5,555.0,2931.0
2014-03-26,,,,,0.45,75.05,775.0,3005.0
2014-03-27,,,,,0.65,75.7,595.0,3156.0
2014-03-28,,,,,1.0,76.7,595.0,3436.0
2014-03-31,,,,,0.8,77.5,335.0,3521.0
2014-04-01,,,,,0.6,76.9,610.0,3646.0
2014-04-02,,,,,0.65,76.25,735.0,3794.0
2014-04-03,,,,,0.3,76.55,639.0,3686.0
2014-04-04,,,,,0.3,76.25,165.0,3621.0
2014-04-07,,,,,0.4,76.65,145.0,3731.0
2014-04-08,,,,,0.7,75.95,575.0,3791.0
2014-04-09,,,,,0.2,76.15,40.0,3694.0
2014-04-10,,,,,0.5,76.65,30.0,3719.0
2014-04-11,,,,,0.05,76.7,110.0,3734.0
2014-04-14,,,,,0.4,77.1,100.0,3779.0
2014-04-15,,,,,0.3,77.4,50.0,3859.0
2014-04-16,,,,,,77.4,270.0,3874.0
2014-04-17,,,,,0.4,77.0,75.0,4004.0
2014-04-21,,,,,,77.0,0.0,3959.0
2014-04-22,,,,,0.3,76.7,325.0,3959.0
2014-04-23,,,,,0.1,76.8,75.0,4044.0
2014-04-24,,,,,,76.8,70.0,4049.0
2014-04-25,,,,,0.05,76.85,0.0,4044.0
2014-04-28,,,,,0.02,76.87,0.0,4044.0
2014-04-29,,,,,,76.87,0.0,4044.0
