Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2014-02-18,,,,,1.55,76.25,840.0,3889.0
2014-02-19,,,,,1.1,75.15,500.0,3771.0
2014-02-20,,,,,0.75,74.4,450.0,3766.0
2014-02-21,,,,,0.05,74.35,175.0,3796.0
2014-02-24,,,,,0.95,73.4,435.0,3771.0
2014-02-25,,,,,0.25,73.15,570.0,3816.0
2014-02-26,,,,,0.25,72.9,390.0,3921.0
2014-02-27,,,,,0.55,73.45,270.0,4081.0
2014-02-28,,,,,0.3,73.75,170.0,4121.0
2014-03-03,,,,,1.45,75.2,340.0,4152.0
2014-03-04,,,,,0.45,74.75,175.0,4187.0
2014-03-06,,,,,0.45,74.55,385.0,3844.0
2014-03-07,,,,,0.05,74.6,370.0,3793.0
2014-03-10,,,,,0.1,74.5,335.0,3838.0
2014-03-11,,,,,1.2,75.7,495.0,3702.0
2014-03-12,,,,,0.25,75.95,635.0,3627.0
2014-03-13,,,,,,75.95,515.0,3846.0
2014-03-14,,,,,0.65,76.6,345.0,3971.0
2014-03-17,,,,,0.1,76.7,400.0,3941.0
2014-03-18,,,,,0.45,76.25,290.0,4031.0
2014-03-19,,,,,0.7,75.55,390.0,3978.0
2014-03-20,,,,,0.65,74.9,560.0,3938.0
2014-03-21,,,,,0.7,75.6,140.0,4033.0
2014-03-24,,,,,0.05,75.65,750.0,4033.0
2014-03-25,,,,,0.75,74.9,455.0,3853.0
2014-03-26,,,,,0.5,74.4,445.0,3768.0
2014-03-27,,,,,0.75,75.15,250.0,3669.0
2014-03-28,,,,,0.75,75.9,525.0,3678.0
2014-03-31,,,,,0.6,76.5,255.0,3673.0
2014-04-01,,,,,0.75,75.75,815.0,3753.0
2014-04-02,,,,,0.95,74.8,455.0,3713.0
2014-04-03,,,,,0.3,74.5,411.0,3793.0
2014-04-04,,,,,0.35,74.15,120.0,3748.0
2014-04-07,,,,,0.5,74.65,145.0,3766.0
2014-04-08,,,,,0.5,74.15,585.0,3811.0
2014-04-09,,,,,0.15,74.3,35.0,4061.0
2014-04-10,,,,,0.75,75.05,65.0,4081.0
2014-04-11,,,,,0.15,75.2,250.0,4086.0
2014-04-14,,,,,0.8,76.0,161.0,4029.0
2014-04-15,,,,,1.15,77.15,175.0,4034.0
2014-04-16,,,,,0.05,77.2,370.0,4039.0
2014-04-17,,,,,0.85,76.35,145.0,4094.0
2014-04-21,,,,,,76.35,0.0,4004.0
2014-04-22,,,,,1.15,75.2,220.0,4004.0
2014-04-23,,,,,0.25,75.45,555.0,3971.0
2014-04-24,,,,,0.3,75.75,365.0,4116.0
2014-04-25,,,,,0.3,76.05,300.0,4096.0
2014-04-28,,,,,0.7,76.75,570.0,4340.0
2014-04-29,,,,,0.55,76.2,110.0,4365.0
2014-04-30,,,,,1.2,75.0,345.0,4425.0
2014-05-01,,,,,0.1,74.9,287.0,4460.0
2014-05-02,,,,,,74.9,285.0,4590.0
2014-05-05,,,,,,74.9,0.0,4775.0
2014-05-06,,,,,0.25,75.15,255.0,4775.0
2014-05-07,,,,,0.3,74.85,410.0,4950.0
2014-05-08,,,,,0.3,75.15,160.0,5260.0
2014-05-09,,,,,,75.15,155.0,5280.0
2014-05-12,,,,,0.05,75.1,35.0,5415.0
2014-05-13,,,,,,75.1,225.0,5430.0
2014-05-14,,,,,0.15,75.25,240.0,5540.0
2014-05-15,,,,,0.05,75.3,210.0,5455.0
2014-05-16,,,,,0.05,75.25,135.0,5565.0
2014-05-19,,,,,0.2,75.05,75.0,5670.0
2014-05-20,,,,,0.1,74.95,5.0,5725.0
2014-05-21,,,,,0.1,75.05,85.0,5730.0
2014-05-22,,,,,0.05,75.0,95.0,5734.0
2014-05-23,,,,,0.05,74.95,15.0,5779.0
2014-05-27,,,,,0.1,74.85,60.0,5779.0
2014-05-28,,,,,0.05,74.8,25.0,5769.0
2014-05-29,,,,,0.05,74.85,0.0,5784.0
2014-05-30,,,,,,74.85,0.0,5784.0
2014-06-02,,,,,,74.85,0.0,5784.0
2014-06-03,,,,,,74.85,0.0,5784.0
