Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2014-02-18,,,,,0.5,82.05,730.0,2329.0
2014-02-19,,,,,0.85,81.2,477.0,2343.0
2014-02-20,,,,,0.2,81.0,393.0,2343.0
2014-02-21,,,,,0.2,81.2,69.0,2293.0
2014-02-24,,,,,0.35,80.85,240.0,2278.0
2014-02-25,,,,,0.2,80.65,229.0,2327.0
2014-02-26,,,,,0.45,80.2,210.0,2381.0
2014-02-27,,,,,0.65,80.85,250.0,2377.0
2014-02-28,,,,,0.25,81.1,280.0,2382.0
2014-03-03,,,,,1.4,82.5,425.0,2449.0
2014-03-04,,,,,0.45,82.05,185.0,2497.0
2014-03-06,,,,,0.2,81.25,110.0,2479.0
2014-03-07,,,,,0.25,81.5,127.0,2459.0
2014-03-10,,,,,0.6,80.9,165.0,2457.0
2014-03-11,,,,,0.25,81.15,230.0,2449.0
2014-03-12,,,,,0.25,81.4,195.0,2488.0
2014-03-13,,,,,0.05,81.35,335.0,2514.0
2014-03-14,,,,,0.6,81.95,265.0,2529.0
2014-03-17,,,,,0.1,82.05,240.0,2584.0
2014-03-18,,,,,0.1,81.95,190.0,2459.0
2014-03-19,,,,,0.25,81.7,125.0,2474.0
2014-03-20,,,,,0.1,81.6,110.0,2499.0
2014-03-21,,,,,0.5,82.1,165.0,2494.0
2014-03-24,,,,,0.45,81.65,135.0,2504.0
2014-03-25,,,,,0.4,81.25,280.0,2499.0
2014-03-26,,,,,0.5,80.75,260.0,2532.0
2014-03-27,,,,,0.25,81.0,170.0,2552.0
2014-03-28,,,,,0.15,81.15,90.0,2582.0
2014-03-31,,,,,0.35,81.5,75.0,2567.0
2014-04-01,,,,,0.6,80.9,135.0,2552.0
2014-04-02,,,,,0.2,80.7,220.0,2587.0
2014-04-03,,,,,0.15,80.85,240.0,2537.0
2014-04-04,,,,,0.3,80.55,135.0,2442.0
2014-04-07,,,,,0.55,81.1,235.0,2427.0
2014-04-08,,,,,0.2,80.9,180.0,2442.0
2014-04-09,,,,,0.2,81.1,130.0,2467.0
2014-04-10,,,,,0.6,81.7,262.0,2467.0
2014-04-11,,,,,0.2,81.9,120.0,2537.0
2014-04-14,,,,,0.4,82.3,225.0,2527.0
2014-04-15,,,,,0.65,82.95,760.0,2547.0
2014-04-16,,,,,0.3,83.25,533.0,2512.0
2014-04-17,,,,,0.7,82.55,225.0,2490.0
2014-04-21,,,,,,82.55,0.0,2520.0
2014-04-22,,,,,0.5,82.05,445.0,2520.0
2014-04-23,,,,,0.25,82.3,210.0,2475.0
2014-04-24,,,,,0.85,83.15,480.0,2485.0
2014-04-25,,,,,0.3,83.45,350.0,2485.0
2014-04-28,,,,,0.85,84.3,626.0,2577.0
2014-04-29,,,,,0.2,84.1,345.0,2604.0
2014-04-30,,,,,0.85,83.25,475.0,2589.0
2014-05-01,,,,,0.3,82.95,265.0,2557.0
2014-05-02,,,,,0.5,83.45,220.0,2574.0
2014-05-05,,,,,,83.45,0.0,2554.0
2014-05-06,,,,,0.2,83.65,200.0,2554.0
2014-05-07,,,,,0.85,82.8,367.0,2559.0
2014-05-08,,,,,0.05,82.75,434.0,2629.0
2014-05-09,,,,,0.2,82.95,125.0,2495.0
2014-05-12,,,,,0.3,83.25,150.0,2500.0
2014-05-13,,,,,0.05,83.3,220.0,2510.0
2014-05-14,,,,,0.15,83.45,275.0,2530.0
2014-05-15,,,,,0.1,83.55,303.0,2565.0
2014-05-16,,,,,0.15,83.4,55.0,2698.0
2014-05-19,,,,,0.25,83.15,15.0,2663.0
2014-05-20,,,,,,83.15,150.0,2663.0
2014-05-21,,,,,0.05,83.2,25.0,2693.0
2014-05-22,,,,,0.2,83.4,175.0,2693.0
2014-05-23,,,,,0.1,83.5,200.0,2708.0
2014-05-27,,,,,0.4,83.1,150.0,2733.0
2014-05-28,,,,,0.25,82.85,255.0,2738.0
2014-05-29,,,,,0.2,82.65,155.0,2808.0
2014-05-30,,,,,0.7,81.95,233.0,2823.0
2014-06-02,,,,,0.65,81.3,260.0,2785.0
2014-06-03,,,,,0.1,81.4,270.0,2835.0
2014-06-04,,,,,0.4,81.0,315.0,2900.0
2014-06-05,,,,,0.25,80.75,425.0,2925.0
2014-06-06,,,,,0.7,80.05,410.0,2960.0
2014-06-09,,,,,0.05,80.1,170.0,3004.0
2014-06-10,,,,,0.05,80.05,455.0,3049.0
2014-06-11,,,,,0.05,80.0,410.0,3039.0
2014-06-12,,,,,,80.0,220.0,3059.0
2014-06-13,,,,,0.5,80.5,300.0,3111.0
2014-06-16,,,,,0.1,80.6,270.0,3069.0
2014-06-17,,,,,0.4,80.2,435.0,3079.0
2014-06-18,,,,,0.5,79.7,430.0,3014.0
2014-06-19,,,,,0.1,79.6,424.0,3109.0
2014-06-20,,,,,0.3,79.3,150.0,2930.0
2014-06-23,,,,,0.25,79.05,180.0,2975.0
2014-06-24,,,,,0.3,79.35,280.0,2966.0
2014-06-25,,,,,0.45,79.8,315.0,2990.0
2014-06-26,,,,,0.55,79.25,370.0,3056.0
2014-06-27,,,,,0.1,79.35,100.0,3132.0
2014-06-30,,,,,0.05,79.3,163.0,3107.0
2014-07-01,,,,,0.2,79.1,245.0,3092.0
2014-07-02,,,,,0.35,78.75,325.0,3117.0
2014-07-03,,,,,0.35,78.4,395.0,3171.0
2014-07-07,,,,,0.35,78.75,180.0,3091.0
2014-07-08,,,,,,78.75,160.0,3066.0
2014-07-09,,,,,0.35,78.4,165.0,3062.0
2014-07-10,,,,,,78.4,135.0,3042.0
2014-07-11,,,,,0.35,78.05,210.0,3066.0
2014-07-14,,,,,0.45,78.5,175.0,3036.0
2014-07-15,,,,,0.2,78.3,205.0,3066.0
2014-07-16,,,,,0.55,77.75,225.0,3046.0
2014-07-17,,,,,0.95,78.7,455.0,3052.0
2014-07-18,,,,,0.2,78.5,230.0,3157.0
2014-07-21,,,,,0.15,78.65,325.0,3252.0
2014-07-22,,,,,0.8,79.45,455.0,3257.0
2014-07-23,,,,,0.4,79.85,395.0,3102.0
2014-07-24,,,,,0.15,80.0,225.0,3142.0
2014-07-25,,,,,0.15,80.15,280.0,3127.0
2014-07-28,,,,,0.75,80.9,360.0,3197.0
2014-07-29,,,,,1.15,79.75,383.0,3197.0
2014-07-30,,,,,0.65,79.1,327.0,3272.0
2014-07-31,,,,,0.1,79.0,220.0,3322.0
2014-08-01,,,,,0.1,78.9,135.0,3292.0
2014-08-04,,,,,0.15,79.05,122.0,3292.0
2014-08-05,,,,,0.5,79.55,110.0,3317.0
2014-08-06,,,,,0.15,79.7,170.0,3352.0
2014-08-07,,,,,0.75,80.45,270.0,3372.0
2014-08-08,,,,,0.6,81.05,293.0,3452.0
2014-08-11,,,,,0.55,80.5,229.0,3394.0
2014-08-12,,,,,0.6,79.9,195.0,3374.0
2014-08-13,,,,,0.5,80.4,135.0,3384.0
2014-08-14,,,,,0.05,80.35,375.0,3359.0
2014-08-15,,,,,0.3,80.65,262.0,3384.0
2014-08-18,,,,,0.75,79.9,75.0,3360.0
2014-08-19,,,,,0.05,79.85,210.0,3375.0
2014-08-20,,,,,0.1,79.75,195.0,3465.0
2014-08-21,,,,,0.25,80.0,225.0,3467.0
2014-08-22,,,,,0.15,80.15,25.0,3505.0
