Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2018-05-02,,,,,0.0,76.2,0.0,0.0
2018-05-03,,,,,0.55,76.75,0.0,0.0
2018-05-04,,,,,0.65,77.4,0.0,0.0
2018-05-07,,,,,,77.4,0.0,0.0
2018-05-08,,,,,0.15,77.55,0.0,0.0
2018-05-09,,,,,0.8,78.35,0.0,0.0
2018-05-10,,,,,1.15,79.5,0.0,0.0
2018-05-11,,,,,1.05,80.55,0.0,0.0
2018-05-14,,,,,2.0,82.55,0.0,0.0
2018-05-15,,,,,1.35,81.2,0.0,0.0
2018-05-16,,,,,0.15,81.35,0.0,0.0
2018-05-17,,,,,1.35,82.7,0.0,0.0
2018-05-18,,,,,2.1,80.6,0.0,0.0
2018-05-21,,,,,0.85,81.45,0.0,0.0
2018-05-22,,,,,0.3,81.75,0.0,0.0
2018-05-23,,,,,1.2,80.55,0.0,0.0
2018-05-24,,,,,,80.55,0.0,0.0
2018-05-25,,,,,2.8,77.75,0.0,0.0
2018-05-29,,,,,1.15,78.9,0.0,0.0
2018-05-30,,,,,0.3,78.6,0.0,0.0
2018-05-31,,,,,0.5,78.1,0.0,0.0
2018-06-01,,,,,0.5,77.6,0.0,0.0
2018-06-04,,,,,1.65,79.25,0.0,0.0
2018-06-05,,,,,2.7,76.55,0.0,0.0
2018-06-06,,,,,0.75,75.8,0.0,0.0
2018-06-07,,,,,0.8,76.6,0.0,0.0
2018-06-08,,,,,0.4,77.0,0.0,0.0
2018-06-11,,,,,0.3,77.3,0.0,0.0
2018-06-12,,,,,1.15,78.45,0.0,0.0
2018-06-13,,,,,0.45,78.0,0.0,0.0
2018-06-14,,,,,0.65,77.35,0.0,0.0
2018-06-15,,,,,,77.35,0.0,0.0
2018-06-18,,,,,0.05,77.4,0.0,0.0
2018-06-19,,,,,0.95,76.45,0.0,0.0
2018-06-20,,,,,0.65,75.8,0.0,0.0
2018-06-21,,,,,2.5,73.3,0.0,0.0
2018-06-22,,,,,0.3,73.6,0.0,0.0
2018-06-25,,,,,0.8,74.4,0.0,0.0
2018-06-26,,,,,1.05,75.45,0.0,0.0
2018-06-27,,,,,1.6,77.05,0.0,0.0
2018-06-28,,,,,0.5,76.55,0.0,0.0
2018-06-29,,,,,2.3,78.85,0.0,0.0
2018-07-02,,,,,0.5,79.35,0.0,0.0
2018-07-03,,,,,1.0,80.35,0.0,0.0
2018-07-05,,,,,0.1,80.25,0.0,0.0
2018-07-06,,,,,0.3,79.95,0.0,0.0
2018-07-09,,,,,1.7,81.65,0.0,0.0
2018-07-10,,,,,0.05,81.7,0.0,0.0
2018-07-11,,,,,0.5,81.2,0.0,0.0
2018-07-12,,,,,2.65,78.55,0.0,0.0
2018-07-13,,,,,1.2,77.35,0.0,0.0
2018-07-16,,,,,1.55,75.8,0.0,0.0
2018-07-17,,,,,0.5,75.3,0.0,0.0
2018-07-18,,,,,2.75,78.05,0.0,0.0
2018-07-19,,,,,1.8,76.25,0.0,0.0
2018-07-20,,,,,2.0,74.25,0.0,0.0
2018-07-23,,,,,1.35,75.6,0.0,0.0
2018-07-24,,,,,1.05,76.65,0.0,0.0
2018-07-25,,,,,0.25,76.4,0.0,0.0
2018-07-26,,,,,0.9,75.5,0.0,0.0
2018-07-27,,,,,0.1,75.6,0.0,0.0
2018-07-30,,,,,0.05,75.65,0.0,0.0
2018-07-31,,,,,0.1,75.75,0.0,0.0
2018-08-01,,,,,0.85,74.9,0.0,0.0
2018-08-02,,,,,0.25,74.65,0.0,0.0
2018-08-03,,,,,0.1,74.55,0.0,0.0
2018-08-06,,,,,1.7,76.25,0.0,0.0
2018-08-07,,,,,0.25,76.5,0.0,0.0
2018-08-08,,,,,1.9,74.6,0.0,0.0
2018-08-09,,,,,0.65,75.25,0.0,0.0
2018-08-10,,,,,0.5,75.75,0.0,0.0
2018-08-13,,,,,0.6,76.35,0.0,0.0
2018-08-14,,,,,0.25,76.6,0.0,0.0
2018-08-15,,,,,0.55,76.05,0.0,0.0
2018-08-16,,,,,0.4,76.45,0.0,0.0
2018-08-17,,,,,1.35,77.8,0.0,0.0
2018-08-20,,,,,0.15,77.65,0.0,0.0
2018-08-21,,,,,0.7,76.95,0.0,0.0
2018-08-22,,,,,0.15,77.1,0.0,0.0
2018-08-23,,,,,0.4,77.5,0.0,0.0
2018-08-24,,,,,0.8,78.3,0.0,0.0
2018-08-27,,,,,,78.3,0.0,0.0
2018-08-28,,,,,0.85,79.15,0.0,0.0
2018-08-29,,,,,1.0,80.15,0.0,0.0
2018-08-30,,,,,2.05,78.1,0.0,0.0
2018-08-31,,,,,1.15,79.25,0.0,0.0
2018-09-04,,,,,1.8,81.05,0.0,0.0
2018-09-05,,,,,1.1,82.15,0.0,0.0
2018-09-06,,,,,,82.15,0.0,0.0
2018-09-07,,,,,1.05,81.1,0.0,0.0
2018-09-10,,,,,1.25,82.35,0.0,0.0
2018-09-11,,,,,0.85,83.2,0.0,0.0
2018-09-12,,,,,0.2,83.0,0.0,0.0
2018-09-13,,,,,0.05,82.95,0.0,0.0
2018-09-14,,,,,0.35,82.6,0.0,0.0
2018-09-17,,,,,1.2,83.8,0.0,0.0
2018-09-18,,,,,0.1,83.9,0.0,0.0
2018-09-19,,,,,1.55,85.45,0.0,0.0
2018-09-20,,,,,0.5,85.95,0.0,0.0
2018-09-21,,,,,0.05,86.0,0.0,0.0
2018-09-24,,,,,1.05,87.05,0.0,0.0
2018-09-25,,,,,1.25,85.8,0.0,0.0
2018-09-26,,,,,0.2,86.0,0.0,0.0
2018-09-27,,,,,0.65,85.35,0.0,0.0
2018-09-28,,,,,0.9,86.25,0.0,0.0
2018-10-01,,,,,1.35,87.6,0.0,0.0
2018-10-02,,,,,0.15,87.45,0.0,0.0
2018-10-03,,,,,1.5,88.95,0.0,0.0
2018-10-04,,,,,1.1,90.05,0.0,0.0
2018-10-05,,,,,0.25,89.8,0.0,0.0
2018-10-08,,,,,1.1,88.7,0.0,0.0
2018-10-09,,,,,0.3,88.4,0.0,0.0
2018-10-10,,,,,2.4,86.0,0.0,0.0
2018-10-11,,,,,0.85,85.15,0.0,0.0
2018-10-12,,,,,0.95,86.1,0.0,0.0
2018-10-15,,,,,0.8,85.3,0.0,0.0
2018-10-16,,,,,1.25,86.55,0.0,0.0
2018-10-17,,,,,0.2,86.75,0.0,0.0
2018-10-18,,,,,0.6,87.35,0.0,0.0
2018-10-19,,,,,0.95,88.3,0.0,0.0
