Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2017-12-13,,,,,,6459.75,0.0,0.0
2017-12-14,,,,,8.25,6451.5,0.0,0.0
2017-12-15,,6499.25,,6499.25,91.5,6543.0,0.0,0.0
2017-12-18,,,,,37.5,6580.5,0.0,0.0
2017-12-19,,,6575.75,6575.75,19.5,6561.0,0.0,0.0
2017-12-20,,,,,11.25,6549.75,0.0,0.0
2017-12-21,,,,,2.25,6552.0,0.0,0.0
2017-12-22,,,,,8.75,6543.25,0.0,0.0
2017-12-26,,,,,23.25,6520.0,0.0,0.0
2017-12-27,,,,,5.0,6515.0,0.0,0.0
2017-12-28,,,,,8.75,6506.25,0.0,0.0
2017-12-29,,,6478.5,6478.5,37.0,6469.25,0.0,0.0
2018-01-02,,6530.75,,6530.75,106.0,6575.25,0.0,0.0
2018-01-03,,6587.5,,6587.5,69.5,6644.75,0.0,0.0
2018-01-04,,,,,19.0,6663.75,0.0,0.0
2018-01-05,,6669.75,,6669.75,64.5,6728.25,0.0,0.0
2018-01-08,,,,,21.0,6749.25,0.0,0.0
2018-01-09,,,,,5.5,6754.75,0.0,0.0
2018-01-10,,,,,8.5,6746.25,0.0,0.0
2018-01-11,,,,,49.75,6796.0,0.0,0.0
2018-01-12,,,,,47.75,6843.75,0.0,0.0
2018-01-16,,,,,12.0,6831.75,0.0,0.0
2018-01-17,,6842.75,,6842.75,62.25,6894.0,0.0,0.0
2018-01-18,,,,,10.5,6883.5,0.0,0.0
2018-01-19,,,,,32.75,6916.25,0.0,0.0
2018-01-22,,6955.5,,6955.5,85.75,7002.0,0.0,0.0
2018-01-23,,,,,43.25,7045.25,0.0,0.0
2018-01-24,,,7022.0,7022.0,34.0,7011.25,0.0,0.0
2018-01-25,,,,,0.25,7011.0,0.0,0.0
2018-01-26,,7060.0,,7060.0,97.75,7108.75,0.0,0.0
2018-01-29,,,,,36.75,7072.0,0.0,0.0
2018-01-30,,,7043.5,7043.5,51.0,7021.0,0.0,0.0
2018-01-31,,,,,21.25,7042.25,0.0,0.0
2018-02-01,,,7027.25,7027.25,64.25,6978.0,0.0,0.0
2018-02-02,,,6881.0,6881.0,142.75,6835.25,0.0,0.0
2018-02-05,,,6567.25,6567.25,325.25,6510.0,0.0,0.0
2018-02-06,,6682.75,6394.25,6682.75,219.25,6729.25,0.0,0.0
2018-02-07,6742.5,6742.5,6663.0,6663.0,90.25,6639.0,1.0,0.0
2018-02-08,,,,,239.75,6399.25,0.0,1.0
2018-02-09,,,,,105.75,6505.0,0.0,1.0
2018-02-12,,,,,112.75,6617.75,0.0,1.0
2018-02-13,,,,,28.25,6646.0,0.0,1.0
2018-02-14,,6708.75,6605.25,6708.75,124.5,6770.5,0.0,1.0
2018-02-15,,6840.75,,6840.75,128.25,6898.75,0.0,1.0
2018-02-16,6896.5,6896.5,6896.5,6896.5,26.25,6872.5,1.0,1.0
2018-02-20,,,,,3.25,6875.75,0.0,2.0
2018-02-21,,6902.25,,6881.25,31.5,6844.25,0.0,2.0
2018-02-22,,6850.5,,6850.5,30.25,6874.5,0.0,2.0
2018-02-23,,6932.25,,6932.25,121.0,6995.5,0.0,2.0
2018-02-26,,,,,90.25,7085.75,0.0,2.0
2018-02-27,,,,,82.75,7003.0,0.0,2.0
2018-02-28,,,,,51.5,6951.5,0.0,2.0
2018-03-01,,,,,107.25,6844.25,0.0,2.0
2018-03-02,,6846.0,6793.75,6846.0,46.5,6890.75,0.0,2.0
2018-03-05,,,,,72.25,6963.0,0.0,2.0
2018-03-06,,,,,28.75,6991.75,0.0,2.0
2018-03-07,,,6941.25,6941.25,18.25,7010.0,0.0,2.0
2018-03-08,,,,,62.25,7072.25,0.0,2.0
2018-03-09,,,,,125.75,7198.0,0.0,2.0
2018-03-12,,7215.25,,7215.25,41.75,7239.75,0.0,2.0
2018-03-13,,,,,69.25,7170.5,0.0,2.0
2018-03-14,,,,,28.25,7142.25,0.0,2.0
2018-03-15,,,,,15.75,7158.0,0.0,2.0
2018-03-16,,,7143.25,7143.25,28.5,7129.5,0.0,2.0
2018-03-19,6932.5,6932.5,6931.25,6931.25,130.25,6999.25,1.0,2.0
2018-03-20,,,6973.25,6982.5,1.0,7000.25,0.0,3.0
2018-03-21,,7012.75,6950.75,6950.75,31.5,6968.75,0.0,3.0
