Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2013-03-15,2767.25,2767.25,2767.25,,,2767.25,0.0,0.0
2013-03-18,2763.5,2763.5,2763.5,,,2763.5,0.0,0.0
2013-03-19,2755.25,2755.25,2755.25,,,2755.25,0.0,0.0
2013-03-20,2760.75,2760.75,2760.75,,,2760.75,0.0,0.0
2013-03-21,2745.0,2745.0,2745.0,,,2745.0,0.0,0.0
2013-03-22,2768.75,2768.75,2768.75,,,2768.75,0.0,0.0
2013-03-25,2759.5,2759.5,2759.5,,,2759.5,0.0,0.0
2013-03-26,2775.0,2775.0,2775.0,,,2775.0,0.0,0.0
2013-03-27,2776.5,2776.5,2776.5,,,2776.5,0.0,0.0
2013-03-28,2786.5,2786.5,2786.5,,,2786.5,0.0,0.0
2013-04-01,2763.5,2763.5,2763.5,,,2763.5,0.0,0.0
2013-04-02,2788.0,2788.0,2788.0,,,2788.0,0.0,0.0
2013-04-03,2762.25,2762.25,2762.25,,,2762.25,0.0,0.0
2013-04-04,2760.25,2760.25,2760.25,,,2760.25,0.0,0.0
2013-04-05,2738.25,2738.25,2738.25,,,2738.25,0.0,0.0
2013-04-08,2756.25,2756.25,2756.25,,,2756.25,0.0,0.0
2013-04-09,2772.75,2772.75,2772.75,,,2772.75,0.0,0.0
2013-04-10,2828.5,2828.5,2828.5,,,2828.5,0.0,0.0
2013-04-11,2828.5,2828.5,2828.5,,,2828.5,0.0,0.0
2013-04-12,2821.5,2821.5,2821.5,,,2821.5,0.0,0.0
2013-04-15,2758.5,2758.5,2758.5,,,2758.5,0.0,0.0
2013-04-16,2802.75,2802.75,2802.75,,,2802.75,0.0,0.0
2013-04-17,2749.25,2749.25,2749.25,,,2749.25,0.0,0.0
2013-04-18,2714.25,2714.25,2714.25,,,2714.25,0.0,0.0
2013-04-19,2743.0,2743.0,2743.0,,,2743.0,0.0,0.0
2013-04-22,2772.0,2772.0,2772.0,,,2772.0,0.0,0.0
2013-04-23,2798.0,2798.0,2798.0,,,2798.0,0.0,0.0
2013-04-24,2798.75,2798.75,2798.75,,,2798.75,0.0,0.0
2013-04-25,2819.0,2819.0,2819.0,,,2819.0,0.0,0.0
2013-04-26,2805.5,2805.5,2805.5,,,2805.5,0.0,0.0
2013-04-29,2834.0,2834.0,2834.0,,,2834.0,0.0,0.0
2013-04-30,2855.25,2855.25,2855.25,,,2855.25,0.0,0.0
2013-05-01,2838.75,2838.75,2838.75,,,2838.75,0.0,0.0
2013-05-02,2877.5,2877.5,2877.5,,,2877.5,0.0,0.0
2013-05-03,2910.5,2910.5,2910.5,,,2910.5,0.0,0.0
2013-05-06,2922.75,2922.75,2922.75,,,2922.75,0.0,0.0
2013-05-07,2922.0,2922.0,2922.0,,,2922.0,0.0,0.0
2013-05-08,2937.25,2937.25,2937.25,,,2937.25,0.0,0.0
2013-05-09,2933.75,2933.75,2933.75,,,2933.75,0.0,0.0
2013-05-10,2951.0,2951.0,2951.0,,,2951.0,0.0,0.0
2013-05-13,2956.75,2956.75,2956.75,,,2956.75,0.0,0.0
2013-05-14,2971.25,2971.25,2971.25,,,2971.25,0.0,0.0
2013-05-15,2976.75,2976.75,2976.75,,,2976.75,0.0,0.0
2013-05-16,2974.25,2974.25,2974.25,,,2974.25,0.0,0.0
2013-05-17,2999.25,2999.25,2999.25,,,2999.25,0.0,0.0
2013-05-20,2997.25,2997.25,2997.25,,,2997.25,0.0,0.0
2013-05-21,2997.5,2997.5,2997.5,,,2997.5,0.0,0.0
2013-05-22,2977.0,2977.0,2977.0,,,2977.0,0.0,0.0
2013-05-23,2968.25,2968.25,2968.25,,,2968.25,0.0,0.0
2013-05-24,2968.25,2968.25,2968.25,,,2968.25,0.0,0.0
2013-05-28,2979.5,2979.5,2979.5,,,2979.5,0.0,0.0
2013-05-29,2971.25,2971.25,2971.25,,,2971.25,0.0,0.0
2013-05-30,2985.75,2985.75,2985.75,,,2985.75,0.0,0.0
2013-05-31,2956.0,2956.0,2956.0,,,2956.0,0.0,0.0
2013-06-03,2961.25,2961.25,2961.25,,,2961.25,0.0,0.0
2013-06-04,2950.5,2950.5,2950.5,,,2950.5,0.0,0.0
2013-06-05,2914.25,2914.25,2914.25,,,2914.25,0.0,0.0
2013-06-06,2925.25,2925.25,2925.25,,,2925.25,0.0,0.0
2013-06-07,2956.25,2956.25,2956.25,,,2956.25,0.0,0.0
2013-06-10,2962.75,2962.75,2962.75,,,2962.75,0.0,0.0
2013-06-11,2939.25,2939.25,2939.25,,,2939.25,0.0,0.0
2013-06-12,2896.0,2896.0,2896.0,,,2896.0,0.0,0.0
2013-06-13,2938.25,2938.25,2938.25,,,2938.25,0.0,0.0
2013-06-14,2918.25,2918.25,2918.25,,,2918.25,0.0,0.0
2013-06-17,2946.0,2946.0,2946.0,,,2946.0,0.0,0.0
2013-06-18,2969.75,2969.75,2969.75,,,2969.75,0.0,0.0
2013-06-19,2937.5,2937.5,2937.5,,,2937.5,0.0,0.0
2013-06-20,2861.25,2861.25,2861.25,,,2861.25,0.0,0.0
2013-06-21,2846.0,2846.0,2846.0,,,2846.0,0.0,0.0
2013-06-24,2825.0,2825.0,2825.0,,,2825.0,0.0,0.0
2013-06-25,2839.25,2839.25,2839.25,,,2839.25,0.0,0.0
2013-06-26,2831.0,2864.75,2830.25,,,2864.0,4.0,0.0
2013-06-27,2880.25,2880.25,2880.25,,,2880.25,0.0,4.0
2013-06-28,2882.25,2882.25,2882.25,,,2882.25,0.0,4.0
2013-07-01,2898.0,2898.0,2898.0,,,2898.0,0.0,4.0
2013-07-02,2904.25,2904.25,2904.25,,,2904.25,0.0,4.0
2013-07-03,2917.5,2917.5,2917.5,,,2917.5,0.0,4.0
2013-07-05,2938.0,2938.0,2938.0,,,2938.0,0.0,4.0
2013-07-08,2940.25,2940.25,2940.25,,,2940.25,0.0,4.0
2013-07-09,2955.75,2955.75,2955.75,,,2955.75,0.0,4.0
2013-07-10,2977.75,2977.75,2977.75,,,2977.75,0.0,4.0
2013-07-11,3036.5,3036.5,3036.5,,,3036.5,0.0,4.0
2013-07-12,3043.5,3043.5,3043.5,,,3043.5,0.0,4.0
2013-07-15,3043.5,3053.75,3043.5,,,3053.75,4.0,4.0
2013-07-16,3051.25,3051.25,3051.25,,,3051.25,0.0,8.0
2013-07-17,3059.75,3059.75,3059.75,,,3059.75,0.0,8.0
2013-07-18,3060.0,3060.0,3028.0,,,3028.0,2.0,8.0
2013-07-19,3021.5,3021.5,3021.5,,,3021.5,0.0,10.0
2013-07-22,3028.0,3028.0,3028.0,,,3028.0,0.0,10.0
2013-07-23,3006.5,3006.5,3006.5,,,3006.5,0.0,10.0
2013-07-24,3028.75,3028.75,3028.75,,,3028.75,0.0,10.0
2013-07-25,3030.75,3030.75,3030.75,,,3030.75,0.0,10.0
2013-07-26,3051.25,3051.25,3051.25,,,3051.25,0.0,10.0
2013-07-29,3046.25,3046.25,3046.25,,,3046.25,0.0,10.0
2013-07-30,3066.25,3066.25,3066.25,,,3066.25,0.0,10.0
2013-07-31,3063.5,3063.5,3063.5,,,3063.5,0.0,10.0
2013-08-01,3093.5,3093.5,3093.5,,,3093.5,0.0,10.0
2013-08-02,3116.75,3116.75,3116.75,,,3116.75,0.0,10.0
2013-08-05,3116.5,3116.5,3116.5,,,3116.5,0.0,10.0
2013-08-06,3098.5,3098.5,3098.5,,,3098.5,0.0,10.0
2013-08-07,3096.75,3096.75,3096.75,,,3096.75,0.0,10.0
2013-08-08,3107.5,3107.5,3107.5,,,3107.5,0.0,10.0
2013-08-09,3093.75,3093.75,3093.75,,,3093.75,0.0,10.0
2013-08-12,3102.75,3104.75,3079.25,,,3104.75,14.0,10.0
2013-08-13,3117.75,3117.75,3117.75,,,3117.75,0.0,24.0
2013-08-14,3104.0,3104.0,3104.0,,,3104.0,0.0,24.0
2013-08-15,3051.5,3051.5,3051.5,,,3051.5,0.0,24.0
2013-08-16,3050.25,3050.25,3050.25,,,3050.25,0.0,24.0
2013-08-19,3051.0,3051.0,3051.0,,,3051.0,0.0,24.0
2013-08-20,3061.75,3061.75,3061.75,,,3061.75,0.0,24.0
2013-08-21,3043.25,3043.25,3043.25,,,3043.25,0.0,24.0
2013-08-22,3082.25,3082.25,3082.25,,,3082.25,0.0,24.0
2013-08-23,3101.75,3101.75,3101.75,,,3101.75,0.0,24.0
2013-08-26,3101.5,3101.5,3101.5,,,3101.5,0.0,24.0
2013-08-27,3040.0,3040.0,3040.0,,,3040.0,0.0,24.0
2013-08-28,3050.5,3056.0,3048.75,,,3048.75,2.0,24.0
2013-08-29,3070.0,3070.0,3070.0,,,3070.0,0.0,25.0
2013-08-30,3054.0,3054.0,3054.0,,,3054.0,0.0,25.0
2013-09-03,3067.0,3067.0,3067.0,,,3067.0,0.0,25.0
2013-09-04,3108.5,3108.5,3108.5,,,3108.5,0.0,25.0
2013-09-05,3108.25,3108.25,3108.25,,,3108.25,0.0,25.0
2013-09-06,3109.75,3109.75,3109.75,,,3109.75,0.0,25.0
2013-09-09,3145.0,3145.0,3145.0,,,3145.0,0.0,25.0
2013-09-10,3163.25,3163.25,3163.25,,,3163.25,0.0,25.0
2013-09-11,3159.25,3159.25,3159.25,,,3159.25,0.0,25.0
2013-09-12,3156.75,3156.75,3156.75,,,3156.75,0.0,25.0
2013-09-13,3158.75,3158.75,3158.75,,,3158.75,0.0,25.0
2013-09-16,3148.25,3148.25,3148.25,,,3148.25,0.0,25.0
