Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2002-03-15,1512.0,1512.0,1512.0,,,1512.0,0.0,0.0
2002-03-18,1519.0,1519.0,1519.0,,,1519.0,0.0,0.0
2002-03-19,1520.0,1532.0,1513.5,,,1518.5,10.0,0.0
2002-03-20,1462.5,1462.5,1462.5,,,1462.5,0.0,2.0
2002-03-21,1465.0,1503.5,1464.0,,,1502.0,5.0,2.0
2002-03-22,1494.0,1494.0,1494.0,,,1494.0,0.0,2.0
2002-03-25,1462.0,1493.5,1445.5,,,1446.0,1.0,2.0
2002-03-26,1463.5,1473.5,1441.0,,,1457.5,4.0,2.0
2002-03-27,1453.0,1460.5,1441.5,,,1448.0,3.0,2.0
2002-03-28,1469.5,1469.5,1469.5,,,1469.5,3.0,2.0
2002-04-01,1465.0,1493.5,1448.5,,,1493.5,1.0,2.0
2002-04-02,1424.5,1424.5,1424.5,,,1424.5,0.0,2.0
2002-04-03,1423.5,1423.5,1423.5,,,1423.5,0.0,2.0
2002-04-04,1432.5,1432.5,1396.5,,,1413.5,2.0,2.0
2002-04-05,1399.0,1399.0,1399.0,,,1399.0,0.0,2.0
2002-04-08,1413.0,1413.0,1413.0,,,1413.0,0.0,2.0
2002-04-09,1400.5,1417.5,1364.5,,,1366.0,1.0,2.0
2002-04-10,1361.0,1388.0,1347.5,,,1375.5,34.0,3.0
2002-04-11,1369.5,1371.5,1336.0,,,1341.0,3.0,9.0
2002-04-12,1362.5,1362.5,1362.5,,,1362.5,0.0,9.0
2002-04-15,1374.0,1377.0,1351.0,,,1371.5,1.0,9.0
2002-04-16,1410.0,1427.0,1405.0,,,1427.0,2.0,9.0
2002-04-17,1421.0,1421.0,1421.0,,,1421.0,0.0,11.0
2002-04-18,1402.5,1423.5,1391.5,,,1396.5,8.0,11.0
2002-04-19,1415.0,1421.5,1382.5,,,1398.0,1.0,11.0
2002-04-22,1370.5,1380.0,1351.0,,,1362.0,20.0,12.0
2002-04-23,1355.0,1367.0,1329.5,,,1338.5,14.0,27.0
2002-04-24,1340.0,1351.0,1314.0,,,1317.0,25.0,32.0
2002-04-25,1315.5,1315.5,1315.5,,,1315.5,0.0,16.0
2002-04-26,1260.0,1260.0,1260.0,,,1260.0,0.0,16.0
2002-04-29,1258.5,1258.5,1258.5,,,1258.5,0.0,16.0
2002-04-30,1290.0,1297.5,1260.0,,,1287.5,4.0,16.0
2002-05-01,1265.0,1290.0,1243.0,,,1279.0,6.0,15.0
2002-05-02,1274.5,1289.0,1235.5,,,1235.5,3.0,17.0
2002-05-03,1220.5,1240.0,1198.5,,,1204.0,3.0,20.0
2002-05-06,1205.5,1212.5,1171.0,,,1171.5,3.0,21.0
2002-05-07,1163.0,1181.5,1157.5,,,1162.0,2.0,22.0
2002-05-08,1228.0,1287.0,1228.0,,,1287.0,5.0,23.0
2002-05-09,1259.0,1288.0,1249.0,,,1252.0,1.0,24.0
2002-05-10,1211.5,1261.0,1195.0,,,1195.0,2.0,25.0
2002-05-13,1231.0,1250.5,1204.5,,,1246.0,4.0,23.0
2002-05-14,1309.5,1319.0,1262.0,,,1319.0,2.0,23.0
2002-05-15,1340.5,1356.0,1291.0,,,1327.0,4.0,24.0
2002-05-16,1320.5,1335.0,1305.5,,,1330.0,4.0,21.0
2002-05-17,1355.0,1355.0,1315.0,,,1332.5,16.0,21.0
2002-05-20,1330.0,1333.0,1293.0,,,1304.5,16.0,19.0
2002-05-21,1315.0,1319.0,1258.0,,,1266.5,60.0,23.0
2002-05-22,1265.5,1276.5,1240.5,,,1270.5,68.0,50.0
2002-05-23,1280.0,1297.0,1247.5,,,1295.5,107.0,56.0
2002-05-24,1280.0,1295.5,1255.0,,,1263.5,35.0,64.0
2002-05-28,1261.5,1273.5,1234.0,,,1258.5,48.0,74.0
2002-05-29,1236.0,1251.0,1222.5,,,1224.5,27.0,93.0
2002-05-30,1227.0,1241.0,1209.0,,,1236.0,62.0,101.0
2002-05-31,1240.5,1253.0,1212.5,,,1215.5,55.0,90.0
2002-06-03,1220.0,1222.0,1165.0,,,1170.5,103.0,89.0
2002-06-04,1169.5,1198.0,1154.0,,,1186.5,129.0,109.0
2002-06-05,1185.5,1206.5,1171.0,,,1199.5,131.0,141.0
2002-06-06,1200.0,1201.0,1157.5,,,1169.0,321.0,165.0
2002-06-07,1147.0,1162.0,1114.0,,,1143.0,497.0,288.0
2002-06-10,1150.0,1161.0,1138.0,,,1142.0,466.0,369.0
2002-06-11,1143.0,1169.5,1105.5,,,1109.0,1311.0,508.0
2002-06-12,1110.0,1130.0,1084.0,,,1126.0,9256.0,1514.0
2002-06-13,1125.5,1139.5,1104.5,,,1118.5,231806.0,6451.0
2002-06-14,1117.0,1119.5,1058.5,,,1116.5,245137.0,33471.0
2002-06-17,1117.0,1160.5,1113.5,,,1154.0,191021.0,50675.0
2002-06-18,1153.5,1215.0,1138.0,,,1175.0,188220.0,52214.0
2002-06-19,1157.5,1162.0,1099.5,,,1103.0,202513.0,54174.0
2002-06-20,1102.0,1108.5,1061.5,,,1069.5,214675.0,60142.0
2002-06-21,1069.5,1083.0,1035.5,,,1041.5,162881.0,66382.0
2002-06-24,1044.0,1082.0,1018.5,,,1063.5,267078.0,71232.0
2002-06-25,1066.0,1078.0,1021.5,,,1027.0,262917.0,76197.0
2002-06-26,1028.0,1039.5,974.0,,,1029.5,300972.0,75437.0
2002-06-27,1032.0,1060.0,1011.0,,,1059.5,278187.0,87438.0
2002-06-28,1056.5,1079.5,1044.5,,,1054.0,175213.0,87428.0
2002-07-01,1054.5,1064.5,998.5,,,1002.0,175706.0,84583.0
2002-07-02,1002.5,1008.0,965.0,,,967.0,249100.0,81221.0
2002-07-03,969.5,999.5,953.0,,,998.0,211740.0,91045.0
2002-07-05,998.5,1066.5,982.0,,,1064.0,93630.0,90050.0
2002-07-08,1061.5,1073.5,1012.5,,,1025.0,248360.0,94128.0
2002-07-09,1025.0,1032.0,992.5,,,994.5,257406.0,94428.0
2002-07-10,997.0,1015.5,962.0,,,963.0,295692.0,97422.0
2002-07-11,966.5,1004.5,948.5,,,998.5,358951.0,104946.0
2002-07-12,1000.0,1030.0,990.5,,,1001.0,249183.0,113579.0
2002-07-15,1000.0,1033.5,958.0,,,1030.0,353239.0,115504.0
2002-07-16,1031.5,1049.5,1004.5,,,1016.0,337493.0,125945.0
2002-07-17,1006.0,1066.0,1002.0,,,1033.5,315051.0,131639.0
2002-07-18,1037.0,1049.0,995.0,,,998.0,238856.0,137133.0
2002-07-19,994.0,998.0,959.0,,,967.0,234002.0,150781.0
2002-07-22,960.5,985.5,931.0,,,943.5,321536.0,147945.0
2002-07-23,944.5,958.0,898.5,,,902.0,298586.0,155876.0
2002-07-24,899.5,953.0,873.0,,,952.0,376117.0,162241.0
2002-07-25,952.0,953.0,879.5,,,897.0,304634.0,158206.0
2002-07-26,897.0,921.0,887.0,,,912.5,207572.0,161167.0
2002-07-29,915.0,972.5,910.0,,,961.5,209519.0,163023.0
2002-07-30,961.5,995.0,951.5,,,980.5,244738.0,163747.0
2002-07-31,975.0,988.5,941.0,,,964.5,208315.0,164153.0
2002-08-01,958.5,964.5,913.0,,,917.0,188111.0,163069.0
2002-08-02,916.5,919.5,879.5,,,896.0,177512.0,162288.0
2002-08-05,894.5,899.5,858.0,,,865.0,187954.0,160553.0
