Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2008-09-19,1775.0,1775.0,1775.0,,,1775.0,0.0,0.0
2008-09-22,1705.25,1705.25,1705.25,,,1705.25,0.0,0.0
2008-09-23,1686.0,1686.0,1686.0,,,1686.0,0.0,0.0
2008-09-24,1707.5,1707.5,1707.5,,,1707.5,0.0,0.0
2008-09-25,1713.5,1713.5,1713.5,,,1713.5,0.0,0.0
2008-09-26,1708.25,1708.25,1708.25,,,1708.25,0.0,0.0
2008-09-29,1545.5,1545.5,1545.5,,,1545.5,0.0,0.0
2008-09-30,1628.75,1628.75,1628.75,,,1628.75,0.0,0.0
2008-10-01,1613.25,1613.25,1613.25,,,1613.25,0.0,0.0
2008-10-02,1544.5,1544.5,1544.5,,,1544.5,0.0,0.0
2008-10-03,1510.25,1510.25,1510.25,,,1510.25,0.0,0.0
2008-10-06,1421.5,1421.5,1421.5,,,1421.5,0.0,0.0
2008-10-07,1349.5,1349.5,1349.5,,,1349.5,0.0,0.0
2008-10-08,1335.5,1335.5,1335.5,,,1335.5,0.0,0.0
2008-10-09,1285.5,1285.5,1285.5,,,1285.5,0.0,0.0
2008-10-10,1297.25,1297.25,1297.25,,,1297.25,0.0,0.0
2008-10-13,1473.25,1473.25,1473.25,,,1473.25,0.0,0.0
2008-10-14,1380.5,1380.5,1380.5,,,1380.5,0.0,0.0
2008-10-15,1243.5,1243.5,1243.5,,,1243.5,0.0,0.0
2008-10-16,1338.25,1338.25,1338.25,,,1338.25,0.0,0.0
2008-10-17,1360.5,1360.5,1326.25,,,1326.25,1.0,0.0
2008-10-20,1374.75,1374.75,1374.75,,,1374.75,0.0,1.0
2008-10-21,1304.75,1304.75,1304.75,,,1304.75,0.0,1.0
2008-10-22,1259.5,1259.5,1259.5,,,1259.5,0.0,1.0
2008-10-23,1265.0,1265.0,1265.0,,,1265.0,0.0,1.0
2008-10-24,1203.25,1203.25,1203.25,,,1203.25,0.0,1.0
2008-10-27,1173.75,1173.75,1173.75,,,1173.75,0.0,1.0
2008-10-28,1319.75,1319.75,1319.75,,,1319.75,0.0,1.0
2008-10-29,1305.75,1305.75,1305.75,,,1305.75,0.0,1.0
2008-10-30,1357.0,1357.0,1357.0,,,1357.0,0.0,1.0
2008-10-31,1348.25,1348.25,1348.25,,,1348.25,0.0,1.0
2008-11-03,1352.75,1352.75,1352.75,,,1352.75,0.0,1.0
2008-11-04,1391.5,1391.5,1391.5,,,1391.5,0.0,1.0
2008-11-05,1316.75,1316.75,1316.75,,,1316.75,0.0,1.0
2008-11-06,1250.5,1250.5,1250.5,,,1250.5,0.0,1.0
2008-11-07,1298.5,1298.5,1298.5,,,1298.5,0.0,1.0
2008-11-10,1320.0,1320.0,1266.0,,,1266.0,1.0,1.0
2008-11-11,1230.25,1230.25,1230.25,,,1230.25,0.0,2.0
2008-11-12,1170.75,1170.75,1170.75,,,1170.75,0.0,1.0
2008-11-13,1242.75,1242.75,1242.75,,,1242.75,0.0,1.0
2008-11-14,1164.25,1164.25,1164.25,,,1164.25,0.0,1.0
2008-11-17,1166.75,1166.75,1166.75,,,1166.75,0.0,1.0
2008-11-18,1143.5,1182.0,1143.5,,,1182.0,1.0,1.0
2008-11-19,1101.25,1101.25,1101.25,,,1101.25,0.0,2.0
2008-11-20,1092.5,1092.75,1047.75,,,1047.75,1.0,2.0
2008-11-21,1092.75,1099.5,1092.75,,,1099.5,1.0,3.0
2008-11-24,1157.0,1157.0,1157.0,,,1157.0,0.0,2.0
2008-11-25,1155.0,1155.0,1145.5,,,1145.5,6.0,2.0
2008-11-26,1204.75,1204.75,1204.75,,,1204.75,0.0,8.0
2008-11-28,1196.25,1196.25,1196.25,,,1196.25,0.0,8.0
2008-12-01,1103.75,1103.75,1103.75,,,1103.75,0.0,8.0
2008-12-02,1142.25,1142.25,1142.25,,,1142.25,0.0,8.0
2008-12-03,1130.5,1165.25,1130.5,,,1165.25,1.0,8.0
2008-12-04,1160.5,1160.5,1144.25,,,1144.25,1.0,9.0
2008-12-05,1187.75,1187.75,1187.75,,,1187.75,0.0,8.0
2008-12-08,1222.25,1222.25,1222.25,,,1222.25,0.0,8.0
