Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
2013-09-19,3196.5,3196.5,3196.5,,,3196.5,0.0,0.0
2013-09-20,3180.5,3180.5,3180.5,,,3180.5,0.0,0.0
2013-09-23,3172.75,3172.75,3172.75,,,3172.75,0.0,0.0
2013-09-24,3177.0,3177.0,3177.0,,,3177.0,0.0,0.0
2013-09-25,3163.75,3163.75,3163.75,,,3163.75,0.0,0.0
2013-09-26,3189.75,3189.75,3189.75,,,3189.75,0.0,0.0
2013-09-27,3186.5,3186.5,3186.5,,,3186.5,0.0,0.0
2013-09-30,3172.75,3172.75,3172.75,,,3172.75,0.0,0.0
2013-10-01,3209.25,3209.25,3209.25,,,3209.25,0.0,0.0
2013-10-02,3201.25,3201.25,3201.25,,,3201.25,0.0,0.0
2013-10-03,3166.0,3166.0,3166.0,,,3166.0,0.0,0.0
2013-10-04,3198.25,3198.25,3198.25,,,3198.25,0.0,0.0
2013-10-07,3168.75,3168.75,3168.75,,,3168.75,0.0,0.0
2013-10-08,3115.0,3115.0,3115.0,,,3115.0,0.0,0.0
2013-10-09,3096.75,3096.75,3096.75,,,3096.75,0.0,0.0
2013-10-10,3157.5,3157.5,3157.5,,,3157.5,0.0,0.0
2013-10-11,3189.5,3189.5,3189.5,,,3189.5,0.0,0.0
2013-10-14,3212.25,3212.25,3212.25,,,3212.25,0.0,0.0
2013-10-15,3204.75,3204.75,3204.75,,,3204.75,0.0,0.0
2013-10-16,3228.25,3228.25,3228.25,,,3228.25,0.0,0.0
2013-10-17,3264.75,3264.75,3264.75,,,3264.75,0.0,0.0
2013-10-18,3306.0,3306.0,3306.0,,,3306.0,0.0,0.0
2013-10-21,3318.0,3318.0,3318.0,,,3318.0,0.0,0.0
2013-10-22,3320.5,3320.5,3320.5,,,3320.5,0.0,0.0
2013-10-23,3304.0,3304.0,3304.0,,,3304.0,0.0,0.0
2013-10-24,3335.0,3335.0,3335.0,,,3335.0,0.0,0.0
2013-10-25,3337.75,3337.75,3337.75,,,3337.75,0.0,0.0
2013-10-28,3347.25,3347.25,3347.25,,,3347.25,0.0,0.0
2013-10-29,3348.25,3348.25,3348.25,,,3348.25,0.0,0.0
2013-10-30,3356.75,3356.75,3356.75,,,3356.75,0.0,0.0
2013-10-31,3333.25,3333.25,3333.25,,,3333.25,0.0,0.0
2013-11-01,3332.25,3332.25,3332.25,,,3332.25,0.0,0.0
