Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
2014-02-18,,,,,4.0,0.24076,386.0,3016.0
2014-02-19,,,,,0.0012,0.23956,340.0,3187.0
2014-02-20,,,,,0.00012,0.23944,108.0,3315.0
2014-02-21,,,,,0.00104,0.24048,0.0,3407.0
2014-02-24,,,,,0.00018,0.2403,5.0,3407.0
2014-02-25,,,,,0.00024,0.24054,1.0,3402.0
2014-02-26,,,,,0.00136,0.23918,0.0,3401.0
2014-02-27,,,,,0.00096,0.24014,50.0,3401.0
2014-02-28,,,,,8e-05,0.24022,13.0,3370.0
2014-03-03,,,,,0.00364,0.23658,18.0,3363.0
2014-03-04,,,,,0.00182,0.2384,4.0,3363.0
2014-03-05,,,,,0.0005,0.2389,3.0,3363.0
2014-03-07,,,,,0.0014,0.23768,2598.0,3359.0
2014-03-11,,,,,0.00058,0.23662,13.0,748.0
2014-03-12,,,,,4e-05,0.23666,305.0,748.0
2014-03-13,,,,,0.0005,0.23616,0.0,718.0
2014-03-14,,,,,0.00054,0.2367,0.0,718.0
2014-03-17,,,,,0.00016,0.23686,0.0,718.0
