Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2015-09-15,,,,,0.00042,0.232,0.0,0.0
2015-09-16,,,,,0.0001,0.2319,0.0,0.0
2015-09-17,,,,,0.00046,0.23236,0.0,0.0
2015-09-18,,,,,0.00032,0.23204,0.0,0.0
2015-09-21,,,,,0.0009,0.23294,0.0,0.0
2015-09-22,,,,,0.00106,0.23188,0.0,0.0
2015-09-23,,,,,0.00092,0.23096,0.0,0.0
2015-09-24,,,,,0.00014,0.2311,0.0,0.0
2015-09-25,,,,,0.00018,0.23092,0.0,0.0
2015-09-28,,,,,0.00058,0.23034,0.0,0.0
2015-09-29,,,,,8e-05,0.23042,0.0,0.0
2015-09-30,,,,,0.00044,0.22998,0.0,0.0
2015-10-01,,,,,0.00016,0.22982,0.0,0.0
2015-10-02,,,,,0.00024,0.23006,0.0,0.0
2015-10-05,,,,,4e-05,0.23002,0.0,0.0
2015-10-06,,,,,0.0005,0.23052,0.0,0.0
2015-10-07,,,,,2e-05,0.23054,0.0,0.0
2015-10-08,,,,,0.00066,0.2312,0.0,0.0
2015-10-09,,,,,4e-05,0.23124,0.0,0.0
2015-10-12,,,,,6e-05,0.2313,0.0,0.0
2015-10-13,,,,,0.0006,0.2307,0.0,0.0
2015-10-14,,,,,0.00022,0.23092,0.0,0.0
2015-10-15,,,,,4e-05,0.23088,0.0,0.0
2015-10-16,,,,,0.00036,0.23052,0.0,0.0
2015-10-19,,,,,0.00048,0.23004,0.0,0.0
2015-10-20,,,,,0.00044,0.2296,0.0,0.0
2015-10-21,,,,,0.00156,0.22804,0.0,0.0
2015-10-22,,,,,0.00154,0.22958,0.0,0.0
2015-10-23,,,,,0.00088,0.23046,0.0,0.0
2015-10-26,,,,,0.00158,0.22888,0.0,0.0
2015-10-27,,,,,0.0005,0.22838,0.0,0.0
2015-10-28,,,,,6e-05,0.22832,0.0,0.0
2015-10-29,,,,,0.00044,0.22876,0.0,0.0
2015-10-30,,,,,0.00178,0.23054,0.0,0.0
2015-11-02,,,,,0.00074,0.2298,0.0,0.0
2015-11-03,,,,,0.00038,0.23018,0.0,0.0
2015-11-04,,,,,0.00072,0.2309,0.0,0.0
2015-11-05,,,,,0.00064,0.23026,0.0,0.0
2015-11-06,,,,,0.00112,0.22914,0.0,0.0
