Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2018-03-20,,,,,0.00068,0.22908,0.0,0.0
2018-03-21,,,,,,0.22908,0.0,0.0
2018-03-22,,,,,0.00046,0.22954,0.0,0.0
2018-03-23,,,,,0.00034,0.2292,0.0,0.0
2018-03-26,,,,,0.00046,0.22966,0.0,0.0
2018-03-27,,,,,0.00018,0.22984,0.0,0.0
2018-03-28,,,,,0.00076,0.2306,0.0,0.0
2018-03-29,,,,,0.00036,0.23024,0.0,0.0
2018-04-02,,,,,4e-05,0.23028,0.0,0.0
2018-04-03,,,,,0.00068,0.23096,0.0,0.0
2018-04-04,,,,,0.00014,0.23082,0.0,0.0
2018-04-05,,,,,0.0002,0.23102,0.0,0.0
2018-04-06,,,,,6e-05,0.23096,0.0,0.0
2018-04-09,,,,,0.00032,0.23128,0.0,0.0
2018-04-10,,,,,0.00028,0.23156,0.0,0.0
2018-04-11,,,,,0.00026,0.23182,0.0,0.0
2018-04-12,,,,,0.00032,0.23214,0.0,0.0
2018-04-13,,,,,0.0006,0.23274,0.0,0.0
2018-04-16,,,,,0.00042,0.23316,0.0,0.0
2018-04-17,,,,,6e-05,0.2331,0.0,0.0
2018-04-18,,,,,0.00028,0.23282,0.0,0.0
2018-04-19,,,,,8e-05,0.23274,0.0,0.0
2018-04-20,,,,,0.00032,0.23242,0.0,0.0
2018-04-23,,,,,0.00174,0.23068,0.0,0.0
2018-04-24,,,,,8e-05,0.2306,0.0,0.0
2018-04-25,,,,,0.0012,0.2294,0.0,0.0
2018-04-26,,,,,,0.2294,0.0,0.0
2018-04-27,,,,,0.00102,0.23042,0.0,0.0
2018-04-30,,,,,0.00152,0.2289,0.0,0.0
2018-05-01,,,,,0.00188,0.22702,0.0,0.0
2018-05-02,,,,,0.00052,0.22754,0.0,0.0
2018-05-03,,,,,0.00018,0.22772,0.0,0.0
2018-05-04,,,,,0.00096,0.22868,0.0,0.0
2018-05-07,,,,,0.00096,0.22772,0.0,0.0
2018-05-08,,,,,0.00096,0.22676,0.0,0.0
2018-05-09,,,,,0.00106,0.22782,0.0,0.0
2018-05-10,,,,,0.00088,0.2287,0.0,0.0
2018-05-11,,,,,0.0009,0.2278,0.0,0.0
2018-05-14,,,,,0.00036,0.22744,0.0,0.0
2018-05-15,,,,,0.00138,0.22606,0.0,0.0
2018-05-16,,,,,0.00128,0.22734,0.0,0.0
2018-05-17,,,,,0.00128,0.22606,0.0,0.0
2018-05-18,,,,,0.00026,0.22632,0.0,0.0
2018-05-21,,,,,0.00012,0.22644,0.0,0.0
2018-05-22,,,,,4e-05,0.22648,0.0,0.0
2018-05-23,,,,,0.00106,0.22542,0.0,0.0
2018-05-24,,,,,2e-05,0.2254,0.0,0.0
2018-05-25,,,,,0.00016,0.22556,0.0,0.0
2018-05-29,,,,,0.00118,0.22438,0.0,0.0
2018-05-30,,,,,0.00148,0.22586,0.0,0.0
2018-05-31,,,,,0.00026,0.2256,0.0,0.0
2018-06-01,,,,,0.00038,0.22598,0.0,0.0
2018-06-04,,,,,0.00158,0.22756,0.0,0.0
2018-06-05,,,,,0.0001,0.22746,0.0,0.0
2018-06-06,,,,,0.0006,0.22806,0.0,0.0
2018-06-07,,,,,0.00034,0.22772,0.0,0.0
2018-06-08,,,,,0.0004,0.22732,0.0,0.0
2018-06-11,,,,,0.0007,0.22802,0.0,0.0
2018-06-12,,,,,0.00078,0.22724,0.0,0.0
2018-06-13,,,,,0.00022,0.22746,0.0,0.0
2018-06-14,,,,,0.00026,0.2272,0.0,0.0
2018-06-15,,,,,0.00018,0.22702,0.0,0.0
2018-06-18,,,,,0.00076,0.22626,0.0,0.0
2018-06-19,,,,,0.0007,0.22556,0.0,0.0
2018-06-20,,,,,0.00022,0.22534,0.0,0.0
2018-06-21,,,,,0.0005,0.22484,0.0,0.0
2018-06-22,,,,,0.00018,0.22502,0.0,0.0
2018-06-25,,,,,0.0011,0.22392,0.0,0.0
2018-06-26,,,,,0.00046,0.22438,0.0,0.0
2018-06-27,,,,,0.00072,0.22366,0.0,0.0
2018-06-28,,,,,0.00056,0.2231,0.0,0.0
2018-06-29,,,,,0.00048,0.22262,0.0,0.0
2018-07-02,,,,,0.00186,0.22076,0.0,0.0
2018-07-03,,,,,0.00054,0.2213,0.0,0.0
2018-07-05,,,,,0.00248,0.22378,0.0,0.0
2018-07-06,,,,,0.00024,0.22354,0.0,0.0
2018-07-09,,,,,0.0024,0.22594,0.0,0.0
2018-07-10,,,,,0.00016,0.22578,0.0,0.0
2018-07-11,,,,,0.0011,0.22468,0.0,0.0
2018-07-12,,,,,0.00072,0.2254,0.0,0.0
2018-07-13,,,,,0.00044,0.22584,0.0,0.0
2018-07-16,,,,,0.00078,0.22662,0.0,0.0
2018-07-17,,,,,0.00024,0.22686,0.0,0.0
2018-07-18,,,,,0.00064,0.22622,0.0,0.0
2018-07-19,,,,,0.0014,0.22482,0.0,0.0
2018-07-20,,,,,0.0008,0.22562,0.0,0.0
2018-07-23,,,,,0.00026,0.22536,0.0,0.0
2018-07-24,,,,,0.00126,0.22662,0.0,0.0
2018-07-25,,,,,0.00016,0.22678,0.0,0.0
2018-07-26,,,,,0.00088,0.22766,0.0,0.0
2018-07-27,,,,,2e-05,0.22764,0.0,0.0
2018-07-30,,,,,0.00078,0.22842,0.0,0.0
2018-07-31,,,,,0.00018,0.22824,0.0,0.0
2018-08-01,,,,,0.0006,0.22884,0.0,0.0
2018-08-02,,,,,0.00064,0.2282,0.0,0.0
2018-08-03,,,,,0.00068,0.22888,0.0,0.0
2018-08-06,,,,,0.00038,0.22926,0.0,0.0
2018-08-07,,,,,0.00014,0.22912,0.0,0.0
2018-08-08,,,,,2e-05,0.22914,0.0,0.0
2018-08-09,,,,,0.0009,0.22824,0.0,0.0
2018-08-10,,,,,0.00146,0.22678,0.0,0.0
2018-08-13,,,,,0.00056,0.22622,0.0,0.0
2018-08-14,,,,,0.00072,0.22694,0.0,0.0
2018-08-15,,,,,0.00148,0.22546,0.0,0.0
2018-08-16,,,,,0.0014,0.22686,0.0,0.0
2018-08-17,,,,,0.00066,0.22752,0.0,0.0
2018-08-20,,,,,0.0009,0.22662,0.0,0.0
2018-08-21,,,,,0.00104,0.22766,0.0,0.0
2018-08-22,,,,,0.001,0.22866,0.0,0.0
2018-08-23,,,,,0.00084,0.22782,0.0,0.0
2018-08-24,,,,,0.00062,0.22844,0.0,0.0
2018-08-27,,,,,0.00056,0.229,0.0,0.0
2018-08-28,,,,,4e-05,0.22896,0.0,0.0
2018-08-29,,,,,0.00094,0.22802,0.0,0.0
2018-08-30,,,,,0.00078,0.22724,0.0,0.0
2018-08-31,,,,,0.00022,0.22746,0.0,0.0
2018-09-04,,,,,0.0004,0.22706,0.0,0.0
2018-09-05,,,,,0.001,0.22606,0.0,0.0
2018-09-06,,,,,0.0002,0.22626,0.0,0.0
2018-09-07,,,,,0.00026,0.22652,0.0,0.0
2018-09-10,,,,,0.0003,0.22682,0.0,0.0
2018-09-11,,,,,0.00038,0.2272,0.0,0.0
2018-09-12,,,,,0.00012,0.22708,0.0,0.0
2018-09-13,,,,,0.00032,0.2274,0.0,0.0
2018-09-14,,,,,,0.2274,0.0,0.0
2018-09-17,,,,,0.00036,0.22776,0.0,0.0
2018-09-18,,,,,0.00042,0.22818,0.0,0.0
2018-09-19,,,,,2e-05,0.22816,0.0,0.0
2018-09-20,,,,,4e-05,0.2282,0.0,0.0
2018-09-21,,,,,0.00092,0.22728,0.0,0.0
2018-09-24,,,,,0.00066,0.22794,0.0,0.0
2018-09-25,,,,,0.00032,0.22826,0.0,0.0
2018-09-26,,,,,0.00076,0.22902,0.0,0.0
2018-09-27,,,,,0.00018,0.2292,0.0,0.0
2018-09-28,,,,,0.00038,0.22882,0.0,0.0
2018-10-01,,,,,0.00014,0.22868,0.0,0.0
2018-10-02,,,,,0.00072,0.22796,0.0,0.0
2018-10-03,,,,,0.00042,0.22754,0.0,0.0
2018-10-04,,,,,0.00046,0.22708,0.0,0.0
2018-10-05,,,,,0.00024,0.22732,0.0,0.0
2018-10-08,,,,,0.0004,0.22692,0.0,0.0
2018-10-09,,,,,0.00086,0.22778,0.0,0.0
2018-10-10,,,,,0.00062,0.22716,0.0,0.0
2018-10-11,,,,,0.00014,0.2273,0.0,0.0
2018-10-12,,,,,0.00036,0.22766,0.0,0.0
2018-10-15,,,,,0.00066,0.22832,0.0,0.0
2018-10-16,,,,,0.00032,0.22864,0.0,0.0
2018-10-17,,,,,0.00022,0.22842,0.0,0.0
2018-10-18,,,,,0.00082,0.2276,0.0,0.0
2018-10-19,,,,,0.00072,0.22832,0.0,0.0
