Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2015-06-16,,,,,0.00074,0.23508,0.0,0.0
2015-06-17,,,,,0.00122,0.23386,0.0,0.0
2015-06-18,,,,,0.00052,0.23334,0.0,0.0
2015-06-19,,,,,0.0006,0.23274,0.0,0.0
2015-06-22,,,,,0.00078,0.23352,0.0,0.0
2015-06-23,,,,,0.00058,0.2341,0.0,0.0
2015-06-24,,,,,0.00048,0.23362,0.0,0.0
2015-06-25,,,,,0.00012,0.2335,0.0,0.0
2015-06-26,,,,,0.00024,0.23326,0.0,0.0
2015-06-29,,,,,0.00116,0.2321,0.0,0.0
2015-06-30,,,,,0.0002,0.2323,0.0,0.0
2015-07-01,,,,,0.00034,0.23264,0.0,0.0
2015-07-02,,,,,0.00022,0.23242,0.0,0.0
2015-07-06,,,,,0.00068,0.23174,0.0,0.0
2015-07-07,,,,,0.00024,0.2315,0.0,0.0
2015-07-08,,,,,0.00116,0.23034,0.0,0.0
2015-07-09,,,,,0.00122,0.23156,0.0,0.0
2015-07-10,,,,,0.00234,0.2339,0.0,0.0
2015-07-14,,,,,0.0004,0.23628,0.0,0.0
2015-07-15,,,,,0.0004,0.23668,0.0,0.0
2015-07-16,,,,,0.00084,0.23752,0.0,0.0
2015-07-17,,,,,0.0001,0.23762,0.0,0.0
2015-07-20,,,,,0.0007,0.23692,0.0,0.0
2015-07-21,,,,,0.00076,0.23616,0.0,0.0
2015-07-22,,,,,0.00114,0.2373,0.0,0.0
2015-07-23,,,,,0.00054,0.23676,0.0,0.0
2015-07-24,,,,,0.00114,0.23562,0.0,0.0
2015-07-27,,,,,0.00136,0.23698,0.0,0.0
2015-07-28,,,,,0.00018,0.23716,0.0,0.0
2015-07-29,,,,,0.0005,0.23666,0.0,0.0
2015-07-30,,,,,0.00092,0.23574,0.0,0.0
2015-07-31,,,,,0.0001,0.23564,0.0,0.0
2015-08-03,,,,,0.00018,0.23546,0.0,0.0
2015-08-04,,,,,0.00178,0.23368,0.0,0.0
2015-08-05,,,,,0.00022,0.2339,0.0,0.0
2015-08-06,,,,,0.001,0.2329,0.0,0.0
2015-08-07,,,,,4e-05,0.23294,0.0,0.0
2015-08-10,,,,,0.00068,0.23226,0.0,0.0
2015-08-11,,,,,0.0004,0.23266,0.0,0.0
2015-08-12,,,,,0.00034,0.233,0.0,0.0
2015-08-13,,,,,0.00056,0.23356,0.0,0.0
2015-08-14,,,,,4e-05,0.23352,0.0,0.0
2015-08-17,,,,,0.0009,0.23442,0.0,0.0
2015-08-18,,,,,0.0001,0.23452,0.0,0.0
2015-08-19,,,,,0.00058,0.23394,0.0,0.0
2015-08-20,,,,,0.0008,0.23314,0.0,0.0
2015-08-21,,,,,0.00212,0.23102,0.0,0.0
2015-08-24,,,,,0.00102,0.23,0.0,0.0
2015-08-25,,,,,0.00052,0.23052,0.0,0.0
2015-08-26,,,,,0.00044,0.23008,0.0,0.0
2015-08-27,,,,,0.0005,0.23058,0.0,0.0
2015-08-28,,,,,0.0014,0.23198,0.0,0.0
2015-08-31,,,,,0.00114,0.23084,0.0,0.0
2015-09-01,,,,,0.00082,0.23002,0.0,0.0
2015-09-02,,,,,0.00092,0.23094,0.0,0.0
2015-09-03,,,,,0.00134,0.23228,0.0,0.0
2015-09-04,,,,,0.00086,0.23142,0.0,0.0
2015-09-08,,,,,6e-05,0.23148,0.0,0.0
2015-09-09,,,,,0.00076,0.23224,0.0,0.0
2015-09-10,,,,,0.00022,0.23246,0.0,0.0
2015-09-11,,,,,0.00016,0.23262,0.0,0.0
2015-09-14,,,,,4e-05,0.23258,0.0,0.0
2015-09-15,,,,,0.00046,0.23304,0.0,0.0
2015-09-16,,,,,0.0002,0.23284,0.0,0.0
2015-09-17,,,,,0.0005,0.23334,0.0,0.0
2015-09-18,,,,,0.00022,0.23312,0.0,0.0
2015-09-21,,,,,0.00094,0.23406,0.0,0.0
2015-09-22,,,,,0.0011,0.23296,0.0,0.0
2015-09-23,,,,,0.00092,0.23204,0.0,0.0
2015-09-24,,,,,6e-05,0.23198,0.0,0.0
2015-09-25,,,,,0.00014,0.23184,0.0,0.0
2015-09-28,,,,,0.00058,0.23126,0.0,0.0
2015-09-29,,,,,2e-05,0.23128,0.0,0.0
2015-09-30,,,,,0.00046,0.23082,0.0,0.0
2015-10-01,,,,,8e-05,0.23074,0.0,0.0
2015-10-02,,,,,0.0001,0.23084,0.0,0.0
2015-10-05,,,,,4e-05,0.23088,0.0,0.0
2015-10-06,,,,,0.00048,0.23136,0.0,0.0
2015-10-07,,,,,6e-05,0.23142,0.0,0.0
2015-10-08,,,,,0.00084,0.23226,0.0,0.0
2015-10-09,,,,,0.0001,0.23216,0.0,0.0
2015-10-12,,,,,4e-05,0.2322,0.0,0.0
2015-10-13,,,,,0.00054,0.23166,0.0,0.0
2015-10-14,,,,,0.00026,0.23192,0.0,0.0
2015-10-15,,,,,0.00012,0.2318,0.0,0.0
2015-10-16,,,,,0.00028,0.23152,0.0,0.0
2015-10-19,,,,,0.0006,0.23092,0.0,0.0
2015-10-20,,,,,0.00034,0.23058,0.0,0.0
2015-10-21,,,,,0.00164,0.22894,0.0,0.0
2015-10-22,,,,,0.00152,0.23046,0.0,0.0
2015-10-23,,,,,0.00086,0.23132,0.0,0.0
2015-10-26,,,,,0.00154,0.22978,0.0,0.0
2015-10-27,,,,,0.00054,0.22924,0.0,0.0
2015-10-28,,,,,0.0001,0.22914,0.0,0.0
2015-10-29,,,,,0.00052,0.22966,0.0,0.0
2015-10-30,,,,,0.00176,0.23142,0.0,0.0
2015-11-02,,,,,0.00076,0.23066,0.0,0.0
2015-11-03,,,,,0.00038,0.23104,0.0,0.0
2015-11-04,,,,,0.00074,0.23178,0.0,0.0
2015-11-05,,,,,0.00062,0.23116,0.0,0.0
2015-11-06,,,,,0.00116,0.23,0.0,0.0
2015-11-09,,,,,0.00064,0.23064,0.0,0.0
2015-11-10,,,,,0.00076,0.2314,0.0,0.0
2015-11-11,,,,,0.00168,0.23308,0.0,0.0
2015-11-12,,,,,0.0007,0.23238,0.0,0.0
2015-11-13,,,,,0.00074,0.23164,0.0,0.0
2015-11-16,,,,,0.00038,0.23126,0.0,0.0
2015-11-17,,,,,0.00012,0.23138,0.0,0.0
2015-11-18,,,,,,0.23138,0.0,0.0
2015-11-19,,,,,0.0002,0.23118,0.0,0.0
2015-11-20,,,,,0.0005,0.23168,0.0,0.0
2015-11-23,,,,,0.00062,0.23106,0.0,0.0
2015-11-24,,,,,0.00044,0.23062,0.0,0.0
2015-11-25,,,,,0.00032,0.2303,0.0,0.0
2015-11-27,,,,,4e-05,0.23026,0.0,0.0
2015-11-30,,,,,8e-05,0.23034,0.0,0.0
