,symbol,name,description,refreshed_at,from_date,to_date,year,root_symbol,exch_symbol,contract month,first trade,expiration date,settlement
0,0DF2019,"Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures, January 2019 (0DF2019)",http://www.cmegroup.com/trading/energy/refined-products/mini-european-35pct-fuel-oil-platts-barges-fob-rdam-swap-futures_product_calendar_futures.html,2018-10-19 00:15:29,2015-02-12,2018-10-18,2019,0D,0DF19,January 2019 Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures,2015-01-02,2019-01-31,2019-02-04
1,0DF2020,"Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures, January 2020 (0DF2020)",http://www.cmegroup.com/trading/energy/refined-products/mini-european-35pct-fuel-oil-platts-barges-fob-rdam-swap-futures_product_calendar_futures.html,2018-10-19 00:15:29,2017-12-04,2018-10-18,2020,0D,0DF20,January 2020 Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures,2016-01-04,2020-01-31,2020-02-04
2,0DG2019,"Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures, February 2019 (0DG2019)",http://www.cmegroup.com/trading/energy/refined-products/mini-european-35pct-fuel-oil-platts-barges-fob-rdam-swap-futures_product_calendar_futures.html,2018-10-19 00:15:29,2015-02-12,2018-10-18,2019,0D,0DG19,February 2019 Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures,2015-01-02,2019-02-28,2019-03-04
3,0DG2020,"Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures, February 2020 (0DG2020)",http://www.cmegroup.com/trading/energy/refined-products/mini-european-35pct-fuel-oil-platts-barges-fob-rdam-swap-futures_product_calendar_futures.html,2018-10-19 00:15:29,2017-12-04,2018-10-18,2020,0D,0DG20,February 2020 Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures,2016-01-04,2020-02-28,2020-03-03
4,0DH2019,"Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures, March 2019 (0DH2019)",http://www.cmegroup.com/trading/energy/refined-products/mini-european-35pct-fuel-oil-platts-barges-fob-rdam-swap-futures_product_calendar_futures.html,2018-10-19 00:15:29,2015-02-12,2018-10-18,2019,0D,0DH19,March 2019 Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures,2015-01-02,2019-03-29,2019-04-02
5,0DH2020,"Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures, March 2020 (0DH2020)",http://www.cmegroup.com/trading/energy/refined-products/mini-european-35pct-fuel-oil-platts-barges-fob-rdam-swap-futures_product_calendar_futures.html,2018-10-19 00:15:29,2017-12-04,2018-10-18,2020,0D,0DH20,March 2020 Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures,2016-01-04,2020-03-31,2020-04-02
6,0DJ2019,"Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures, April 2019 (0DJ2019)",http://www.cmegroup.com/trading/energy/refined-products/mini-european-35pct-fuel-oil-platts-barges-fob-rdam-swap-futures_product_calendar_futures.html,2018-10-19 00:15:29,2015-02-12,2018-10-18,2019,0D,0DJ19,April 2019 Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures,2015-01-02,2019-04-30,2019-05-02
7,0DJ2020,"Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures, April 2020 (0DJ2020)",http://www.cmegroup.com/trading/energy/refined-products/mini-european-35pct-fuel-oil-platts-barges-fob-rdam-swap-futures_product_calendar_futures.html,2018-10-19 00:15:29,2017-12-04,2018-10-18,2020,0D,0DJ20,April 2020 Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures,2016-01-04,2020-04-30,2020-05-04
8,0DK2019,"Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures, May 2019 (0DK2019)",http://www.cmegroup.com/trading/energy/refined-products/mini-european-35pct-fuel-oil-platts-barges-fob-rdam-swap-futures_product_calendar_futures.html,2018-10-19 00:15:29,2015-02-12,2018-10-18,2019,0D,0DK19,May 2019 Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures,2015-01-02,2019-05-31,2019-06-04
9,0DK2020,"Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures, May 2020 (0DK2020)",http://www.cmegroup.com/trading/energy/refined-products/mini-european-35pct-fuel-oil-platts-barges-fob-rdam-swap-futures_product_calendar_futures.html,2018-10-19 00:15:29,2017-12-04,2018-10-18,2020,0D,0DK20,May 2020 Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures,2016-01-04,2020-05-29,2020-06-02
10,0DM2019,"Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures, June 2019 (0DM2019)",http://www.cmegroup.com/trading/energy/refined-products/mini-european-35pct-fuel-oil-platts-barges-fob-rdam-swap-futures_product_calendar_futures.html,2018-10-19 00:15:29,2015-02-12,2018-10-18,2019,0D,0DM19,June 2019 Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures,2015-01-02,2019-06-28,2019-07-02
