root_symbol,exchange,name,multiplier,tick_size,url,Product Code,Settlement Method,Price Quotation,Contract Unit,Minimum Price Fluctuation,Termination Of Trading,Trading Hours,sector,sub_sector,exchange_y,sector,symbol,strategy,tick,tick value,multiplier_y,,
0D,NYMEX,Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures,100,0.001,http://www.cmegroup.com/trading/energy/refined-products/mini-european-35pct-fuel-oil-platts-barges-fob-rdam-swap-futures_contract_specifications.html,CME Globex: A0DCME ClearPort: 0DClearing: 0D ,Financially Settled ,U.S. dollars and cents per metric ton ,100 metric tons ,$0.001 per metric ton ,Trading shall cease on the last business day of the contract month. ,CME Globex: ,Energy,Refined Products,,,,,,,,,L
0F,NYMEX,Mini Singapore Fuel Oil 180 cst (Platts) Futures,100,0.001,http://www.cmegroup.com/trading/energy/refined-products/mini-singapore-fuel-oil-180-cst-platts-swap-futures_contract_specifications.html,CME Globex: A0FCME ClearPort: 0FClearing: 0F ,Financially Settled ,U.S. dollars and cents per metric ton ,100 metric tons ,$0.001 per metric ton ,Trading shall cease on the last business day of the contract month. ,CME Globex: ,Energy,Refined Products,,,,,,,,,L
1N,NYMEX,Singapore Mogas 92 Unleaded (Platts) Futures,1000,0.001,http://www.cmegroup.com/trading/energy/refined-products/singapore-mogas-92-unleaded-platts-swap-futures_contract_specifications.html,CME Globex: N1BCME ClearPort: 1NClearing: 1N ,Financially Settled ,U.S. dollars and cents per barrel ,"1,000 barrels ",$0.001 per barrel ,Trading shall cease on the last business day of the contract month. ,CME Globex: ,Energy,Refined Products,,,,,,,,,L
1NB,NYMEX,Singapore Mogas 92 Unleaded (Platts) Brent Crack Spread Futures,1000,0.001,http://www.cmegroup.com/trading/energy/refined-products/singapore-mogas-92-unleaded-platts-brent-crack-spread-swap-futures_contract_specifications.html,CME Globex: D1NCME ClearPort: 1NBClearing: 1NB ,Financially Settled ,U.S. dollars and cents per barrel ,"1,000 barrels ",$0.001 per barrel ,Trading shall cease on the last business day of the contract month. ,CME Globex: ,Energy,Refined Products,,,,,,,,,L
1R,NYMEX,Propane Non-LDH Mont Belvieu (OPIS) Futures,42000,1.00E-05,http://www.cmegroup.com/trading/energy/petrochemicals/propane-non-ldh-mt-belvieu-opis-swap_contract_specifications.html,CME Globex: A1RCME ClearPort: 1RClearing: 1R ,Financially Settled ,U.S. dollars and cents per gallon ,"42,000 gallons ",$0.00001 per gallon ,Trading shall cease on the last business day of the contract month. ,CME Globex: ,Energy,Petrochemicals,,,,,,,,,L
1U,NYMEX,NY Jet Fuel (Platts) vs. NY Harbor ULSD Futures,42000,0.0001,http://www.cmegroup.com/trading/energy/refined-products/new-york-jet-fuel-platt-vs-heating-oil-swap_contract_specifications.html,CME Globex: A1UCME ClearPort: 1UClearing: 1U ,Financially Settled ,U.S. dollars and cents per gallon ,"42,000 U.S. gallons ",$0.0001 per gallon ,Trading shall cease on the last business day of the contract month. ,CME Globex: ,Energy,Refined Products,,,,,,,,,L
46,NYMEX,PJM METED Zone Off-Peak Calendar-Month Day-Ahead LMP Futures,5,0.05,http://www.cmegroup.com/trading/energy/electricity/pjm-meted-zone-off-peak-calendar-month-day-ahead-lmp-swap-futures_contract_specifications.html,CME Globex: A46CME ClearPort: 46Clearing: 46 ,Financially Settled ,The contract quantity shall be 5 Megawatts hours (MWh). Transaction sizes for trading in any delivery month shall be restricted to whole number multiples of the number of off-peak hours in the month. ,5 Megawatts hours (MWh) ,$0.05 per MWh ,CME Globex: ,CME Globex: ,Energy,Electricity,,,,,,,,,
47,NYMEX,PJM METED Zone Peak Calendar-Month Day-Ahead LMP Futures,5,0.05,http://www.cmegroup.com/trading/energy/electricity/pjm-meted-zone-peak-calendar-month-day-ahead-lmp-swap-futures_contract_specifications.html,CME Globex: A47CME ClearPort: 47Clearing: 47 ,Financially Settled ,The contract quantity shall be 80 Megawatt Hours (MWH) and is based on 5 megawatts for peak daily hours. Transaction sizes for trading in any delivery month shall be restricted to whole number multiples of the number of peak days in the contract month. ,5 MWh ,$0.05 per MWh ,CME Globex: ,CME Globex: ,Energy,Electricity,,,,,,,,,
4L,NYMEX,NYISO Zone F 5 MW Peak Calendar-Month Day-Ahead LBMP Futures,5,0.05,http://www.cmegroup.com/trading/energy/electricity/nyiso-zone-f-5-mw-peak-calendar-month-day-ahead-lbmp-swap-futures_contract_specifications.html,CME Globex: A4LCME ClearPort: 4LClearing: 4L ,Financially Settled ,The contract quantity shall be 80 Megawatt Hours (MWh) and is based on 5 megawatts for peak daily hours. Transaction sizes for trading in any delivery month shall be restricted to whole number multiples of the number of peak days in the contract month. ,5 MWh ,$0.05 per MWh ,CME Globex: ,CME Globex: ,Energy,Electricity,,,,,,,,,
4M,NYMEX,NYISO Zone F 5 MW Off-Peak Calendar-Month Day-Ahead LBMP Futures,5,0.05,http://www.cmegroup.com/trading/energy/electricity/nyiso-zone-f-5-mw-off-peak-calendar-month-day-ahead-lbmp-swap-futures_contract_specifications.html,CME Globex: A4M ,Financially Settled ,The contract quantity shall be 5 MWh. Transaction sizes for trading in any delivery month shall be restricted to whole number multiples of the number of off-peak hours in the month. ,5 Megawatts hours (MWh) ,$0.05 per MWh ,CME Globex: ,CME Globex: ,Energy,Electricity,,,,,,,,,
4N,NYMEX,PJM PECO Zone 5 MW Peak Calendar-Month Day-Ahead LMP Futures,5,0.05,http://www.cmegroup.com/trading/energy/electricity/pjm-peco-zone-5-mw-peak-calendar-month-day-ahead-lmp-swap-futures_contract_specifications.html,CME Globex: A4NCME ClearPort: 4NClearing: 4N ,Financially Settled ,The contract quantity shall be 80 Megawatt Hours (MWH) and is based on 5 megawatts for peak daily hours. Transaction sizes for trading in any delivery month shall be restricted to whole number multiples of the number of peak days in the contract month. ,5 MWh ,$0.05 ,CME Globex: ,CME Globex: ,Energy,Electricity,,,,,,,,,
4P,NYMEX,PJM PECO Zone 5 MW Off-Peak Calendar-Month Day-Ahead LMP Futures,5,0.05,http://www.cmegroup.com/trading/energy/electricity/pjm-peco-zone-5-mw-off-peak-calendar-month-day-ahead-lmp-swap-futures_contract_specifications.html,CME Globex: A4PCME ClearPort: 4PClearing: 4P ,Financially Settled ,The contract quantity shall be 5 Megawatts hours (MWh). Transaction sizes for trading in any delivery month shall be restricted to whole number multiples of the number of off-peak hours in the month. ,5 Megawatts hours (MWh) ,$0.05 per MWh ,CME Globex: ,CME Globex: ,Energy,Electricity,,,,,,,,,
58,NYMEX,NYISO Zone E 5 MW Off-Peak Calendar-Month Day-Ahead LBMP Futures,5,0.05,http://www.cmegroup.com/trading/energy/electricity/nyiso-zone-e-5-mw-off-peak-calendar-month-day-ahead-lbmp-swap-futures_contract_specifications.html,CME Globex: A58CME ClearPort: 58Clearing: 58 ,Financially Settled ,The contract quantity shall be 5 Megawatts hours (MWh). Transaction sizes for trading in any delivery month shall be restricted to whole number multiples of the number of off-peak hours in the month. ,5 Megawatts hours (MWh) ,$0.05 per MWh ,CME Globex: ,CME Globex: ,Energy,Electricity,,,,,,,,,
5C,NYMEX,Chicago ULSD (Platts) vs. NY Harbor ULSD Futures,42000,0.0001,http://www.cmegroup.com/trading/energy/refined-products/chicago-ultra-low-sulfur-diesel-ulsd-platts-vs-heating-oil-spread-swap_contract_specifications.html,CME Globex: A5CCME ClearPort: 5CClearing: 5C ,Financially Settled ,U.S. dollars and cents per gallon ,"42,000 U.S. gallons ",$0.0001 per gallon ,Trading shall cease on the last business day of the contract month. ,CME Globex: ,Energy,Refined Products,,,,,,,,,L
5Z,NYMEX,Columbia Gulf Mainline Natural Gas (Platts IFERC) Basis Futures,2500,0.0001,http://www.cmegroup.com/trading/energy/natural-gas/columbia-gulf-mainline-natural-gas-basis-swap-futures_contract_specifications.html,CME Globex: 5ZNCME ClearPort: 5ZClearing: 5Z ,Financially Settled ,U.S. dollars and cents per MMBtu ,"2,500 MMBtu ",$0.0001 per MMBtu ,Trading shall cease on the last business day of the month prior to the contract month. ,CME Globex: ,Energy,Natural Gas,,,,,,,,,P
6T,NYMEX,In Delivery Month European Union Allowance (EUA) Futures,1000,0.0025,http://www.cmegroup.com/trading/energy/emissions/in-delivery-month-european-union-allowance_contract_specifications.html ,,,,,,,,Energy,Emissions,,,,,,,,,
6Z,NYMEX,Tennessee 800 Leg Natural Gas (Platts IFERC) Basis Futures,2500,0.0001,https://www.cmegroup.com/trading/energy/natural-gas/panhandle-natural-gas-basis-swap-futures-platts-iferc_contract_specifications.html,,,,,,,,Energy,Natural Gas,,,,,,,,,
71,CBT,Ethanol Forward Month Futures,14500,0.0001,http://www.cmegroup.com/trading/energy/ethanol/CBT-ethanol-forward-month-swap_contract_specifications.html,,,,,,,,Energy,Ethanol,,,,,,,,,
7H,NYMEX,Gasoline Euro-bob Oxy NWE Barges (Argus) Futures,1000,0.001,http://www.cmegroup.com/trading/energy/refined-products/gasoline-euro-bob-oxy-new-barges-swap-futures_contract_specifications.html,CME Globex: B7HCME ClearPort: 7HClearing: 7H ,Financially Settled ,U.S. dollars and cents per metric ton ,"1,000 metric tons ",$0.001 per metric ton ,Trading shall cease on the last business day of the contract month. ,CME Globex: ,Energy,Refined Products,,,,,,,,,L
7K,NYMEX,Gasoline Euro-bob Oxy NWE Barges (Argus) Crack Spread Futures,1000,0.001,http://www.cmegroup.com/trading/energy/refined-products/gasoline-euro-bob-oxy-new-barges-crack-spread-swap-futures_contract_specifications.html,CME Globex: T7KCME ClearPort: 7KClearing: 7K ,Financially Settled ,U.S. dollars and cents per barrel ,"1,000 barrels ",$0.001 per barrel ,Trading ceases on the last business day of the contract month. ,CME Globex: ,Energy,Refined Products,,,,,,,,,L
7Q,NYMEX,Mont Belvieu Natural Gasoline (OPIS) Futures,42000,1.00E-05,http://www.cmegroup.com/trading/energy/petrochemicals/mont-belvieu-natural-gasoline-5-decimal-opis-swap_contract_specifications.html,CME Globex: A7QCME ClearPort: 7QClearing: 7Q ,Financially Settled ,U.S. dollars and cents per gallon ,"42,000 gallons ",$0.00001 per gallon ,Trading shall cease on the last business day of the contract month. ,CME Globex: ,Energy,Petrochemicals,,,,,,,,,L
7Y,NYMEX,NY ULSD (Argus) vs. NY Harbor ULSD Futures,42000,0.0001,http://www.cmegroup.com/trading/energy/refined-products/new-york-ulsd-vs-heating-oil-spread-swap-futures_contract_specifications.html,CME Globex: A7YCME ClearPort: 7YClearing: 7Y ,Financially Settled ,U.S. dollars and cents per gallon ,"42,000 U.S. gallons ",$0.0001 per gallon ,Trading shall cease on the last business day of the contract month. ,CME Globex: ,Energy,Refined Products,,,,,,,,,L
8I,NYMEX,Mont Belvieu Iso-Butane (OPIS) Futures,42000,1.00E-05,http://www.cmegroup.com/trading/energy/petrochemicals/mont-belvieu-iso-butane-5-decimal-opis-swap-futures_contract_specifications.html,CME Globex: A8ICME ClearPort: 8IClearing: 8I ,Financially Settled ,U.S. dollars and cents per gallon ,"42,000 gallons ",$0.00001 per gallon ,Trading shall cease on the last business day of the contract month. ,CME Globex: ,Energy,Petrochemicals,,,,,,,,,L
8Z,NYMEX,Southern Star Tx.-Okla.-Kan. Natural Gas (Platts IFERC) Basis Futures,2500,0.0001,http://www.cmegroup.com/trading/energy/natural-gas/southern-star-texas-oklahoma-kansas-natural-gas-basis-swap-futures-platts-iferc_contract_specifications.html,CME Globex: 8ZNCME ClearPort: 8ZClearing: 8Z ,Financially Settled ,U.S. dollars and cents per MMBtu ,"2,500 MMBtu ",$0.0001 per MMBtu ,Trading shall cease on the last business day of the month prior to the contract month. ,CME Globex: ,Energy,Natural Gas,,,,,,,,,P
