,amount,commission,dt,order_id,price,sid,symbol,txn_dollars
1998-01-05 21:00:00+00:00,-69,,1998-01-05 21:00:00+00:00,8f575bea340144a885b53745c02464ec,0.765,Future(4704 [HGF98]),Future(4704 [HGF98]),1319625.0
1998-01-05 21:00:00+00:00,-101,,1998-01-05 21:00:00+00:00,d193646cd0db4b76907b962c7ee67cd8,57.55,Future(4712 [LNG98]),Future(4712 [LNG98]),2325019.9999999995
1998-01-05 21:00:00+00:00,25,,1998-01-05 21:00:00+00:00,633b48ba32aa4b658bcd7fbdf2efb6ea,113.031,Future(4754 [TYH98]),Future(4754 [TYH98]),-2825775.0
1998-01-05 21:00:00+00:00,-68,,1998-01-05 21:00:00+00:00,d62d13eb6ef84a29bdd6051ec988e9af,0.485,Future(4709 [HOG98]),Future(4709 [HOG98]),1385159.9999999998
1998-01-05 21:00:00+00:00,240,,1998-01-05 21:00:00+00:00,c8e3735d29b84dd592b470dd73b51cea,94.44,Future(4710 [FFF98]),Future(4710 [FFF98]),-94447555.19999999
1998-01-05 21:00:00+00:00,49,,1998-01-05 21:00:00+00:00,c2e88c37f6b6444ba06e657a4f12f12e,100.515,Future(4759 [TUH98]),Future(4759 [TUH98]),-9850470.0
1998-01-05 21:00:00+00:00,-12,,1998-01-05 21:00:00+00:00,9eff51e5fb5e4fab9091a277e7186582,7581.0,Future(4728 [JYH98]),Future(4728 [JYH98]),1137150.0
1998-01-05 21:00:00+00:00,15,,1998-01-05 21:00:00+00:00,7be55d64fd174f9ab07ba7122455a008,121.687,Future(4746 [USH98]),Future(4746 [USH98]),-1825305.0
1998-01-05 21:00:00+00:00,-123,,1998-01-05 21:00:00+00:00,13e6747d1cdb4c458e147424b179aeb3,64.599,Future(4716 [LCG98]),Future(4716 [LCG98]),3178270.8000000003
1998-01-05 21:00:00+00:00,-77,,1998-01-05 21:00:00+00:00,308ee469d4c84ba7930fb614f700fa74,17.01,Future(4698 [CLG98]),Future(4698 [CLG98]),1309770.0000000002
1998-01-05 21:00:00+00:00,41,,1998-01-05 21:00:00+00:00,c5d29690b5924ba99ce508b46e4573a5,109.312,Future(4750 [FVH98]),Future(4750 [FVH98]),-4481791.999999999
1998-01-06 21:00:00+00:00,98,,1998-01-06 21:00:00+00:00,a86a46cbfbf84e57b09bc576d66d8f77,94.355,Future(4802 [EDM98]),Future(4802 [EDM98]),-23116975.000000004
1998-01-06 21:00:00+00:00,218,,1998-01-06 21:00:00+00:00,ae4d2a3a962144e08109ed74309d84bc,12.84,Future(4711 [DAF98]),Future(4711 [DAF98]),-5598240.0
1998-01-06 21:00:00+00:00,-10,,1998-01-06 21:00:00+00:00,d515916e8d32400da6e011e9f2e02f31,0.681,Future(4732 [SFH98]),Future(4732 [SFH98]),851250.0000000001
1998-01-06 21:00:00+00:00,-25,,1998-01-06 21:00:00+00:00,dbcd88add3ff46bf9f41317be80e7fb9,283.2,Future(4718 [GCG98]),Future(4718 [GCG98]),708000.0
1998-01-06 21:00:00+00:00,-16,,1998-01-06 21:00:00+00:00,6a27eee9bf804c169cc5fe7b7a3ada03,0.637,Future(4735 [ADH98]),Future(4735 [ADH98]),1019200.0
1998-01-07 21:00:00+00:00,-24,,1998-01-07 21:00:00+00:00,7ee16391e57a4864b3ace2da2bf74a71,324.0,Future(4747 [WH98]),Future(4747 [WH98]),388800.0
1998-01-07 21:00:00+00:00,-39,,1998-01-07 21:00:00+00:00,014cf4ea6801401ba94b415ec6d8915a,261.0,Future(4751 [CH98]),Future(4751 [CH98]),508950.0
1998-01-09 21:00:00+00:00,-25,,1998-01-09 21:00:00+00:00,0e152d0d42e64ac9b600f5dfdefa8976,2.07,Future(4705 [NGG98]),Future(4705 [NGG98]),517499.99999999994
1998-01-12 21:00:00+00:00,175,,1998-01-12 21:00:00+00:00,3a1e87c16a23468d9b666092846bbb50,94.59,Future(4722 [FFG98]),Future(4722 [FFG98]),-68977392.75
1998-01-12 21:00:00+00:00,34,,1998-01-12 21:00:00+00:00,fc3b6222bddd44e29a0da4dff1ab4b7f,223.0,Future(4756 [PAH98]),Future(4756 [PAH98]),-758200.0
1998-01-12 21:00:00+00:00,-11,,1998-01-12 21:00:00+00:00,ca7cbf56a8604ab99b9598d28e1279e3,14670.0,Future(4725 [NKH98]),Future(4725 [NKH98]),806850.0
1998-01-12 21:00:00+00:00,-240,,1998-01-12 21:00:00+00:00,72f7d0f1fc89427c968807781d90b921,94.475,Future(4710 [FFF98]),Future(4710 [FFF98]),94482558.0
1998-01-13 21:00:00+00:00,-98,,1998-01-13 21:00:00+00:00,dd10f62b39ab4ed0b4345accd0cec9c4,94.545,Future(4802 [EDM98]),Future(4802 [EDM98]),23163525.0
1998-01-14 21:00:00+00:00,69,,1998-01-14 21:00:00+00:00,708f9319f8f3431ab7b7565fbb90a7ae,0.77,Future(4704 [HGF98]),Future(4704 [HGF98]),-1328250.0
1998-01-14 21:00:00+00:00,-175,,1998-01-14 21:00:00+00:00,4437ec4494b84831b3ff35e133236341,94.52,Future(4722 [FFG98]),Future(4722 [FFG98]),68926347.0
1998-01-14 21:00:00+00:00,-53,,1998-01-14 21:00:00+00:00,a6a09ad024cb4f3189943aa97c210428,0.77,Future(4761 [HGH98]),Future(4761 [HGH98]),1020250.0
1998-01-16 21:00:00+00:00,16,,1998-01-16 21:00:00+00:00,b49b4d71a3fc40a08bea7a39e5dff6af,0.66,Future(4735 [ADH98]),Future(4735 [ADH98]),-1056000.0
1998-01-16 21:00:00+00:00,39,,1998-01-16 21:00:00+00:00,0d30253367114994b3deaea676bbc212,277.5,Future(4751 [CH98]),Future(4751 [CH98]),-541125.0
1998-01-20 21:00:00+00:00,11,,1998-01-20 21:00:00+00:00,cecfd3b1bcdd41fb9e3872c3697438dc,16230.0,Future(4725 [NKH98]),Future(4725 [NKH98]),-892650.0
1998-01-20 21:00:00+00:00,12,,1998-01-20 21:00:00+00:00,45c43a47f4384104ac8ffa569b682c33,7793.0,Future(4728 [JYH98]),Future(4728 [JYH98]),-1168950.0
1998-01-20 21:00:00+00:00,77,,1998-01-20 21:00:00+00:00,272789cd0d6a40c393b9386df1fe5ac6,16.68,Future(4698 [CLG98]),Future(4698 [CLG98]),-1284360.0
1998-01-20 21:00:00+00:00,-81,,1998-01-20 21:00:00+00:00,209735af03a848fe880002d572c818a0,16.9,Future(4715 [CLH98]),Future(4715 [CLH98]),1368899.9999999998
1998-01-20 21:00:00+00:00,123,,1998-01-20 21:00:00+00:00,79aeb5a914fa45a281246533da65d47e,66.25,Future(4716 [LCG98]),Future(4716 [LCG98]),-3259500.0
1998-01-20 21:00:00+00:00,25,,1998-01-20 21:00:00+00:00,a35b9911d3b345ea80cd8a2c21fa2da2,291.8,Future(4718 [GCG98]),Future(4718 [GCG98]),-729500.0
1998-01-21 21:00:00+00:00,-134,,1998-01-21 21:00:00+00:00,b1896d1699484223945f64d63819c83a,0.695,Future(4736 [CDH98]),Future(4736 [CDH98]),9313000.0
1998-01-21 21:00:00+00:00,330,,1998-01-21 21:00:00+00:00,deedb555866b41c5a547c8d0c14fb0a1,12.8,Future(4724 [DAG98]),Future(4724 [DAG98]),-8448000.0
1998-01-21 21:00:00+00:00,-218,,1998-01-21 21:00:00+00:00,d1f759d13e3b400fa2772532d80046f1,13.3,Future(4711 [DAF98]),Future(4711 [DAF98]),5798800.0
1998-01-21 21:00:00+00:00,-34,,1998-01-21 21:00:00+00:00,cf431cb88b014c3db75bfd0f74c92050,235.0,Future(4756 [PAH98]),Future(4756 [PAH98]),799000.0
1998-01-26 21:00:00+00:00,-25,,1998-01-26 21:00:00+00:00,e20a49c3399140c3873346944012ed72,112.687,Future(4754 [TYH98]),Future(4754 [TYH98]),2817174.9999999995
1998-01-26 21:00:00+00:00,-49,,1998-01-26 21:00:00+00:00,2b2f2f6cb31447ba9b7dacec445ffe85,100.781,Future(4759 [TUH98]),Future(4759 [TUH98]),9876538.0
1998-01-26 21:00:00+00:00,-15,,1998-01-26 21:00:00+00:00,4fc25c52285c4c05b19c7010a5f703bc,120.156,Future(4746 [USH98]),Future(4746 [USH98]),1802340.0000000002
1998-01-26 21:00:00+00:00,10,,1998-01-26 21:00:00+00:00,23584d8551844cbab4951d6261a6bfc0,0.694,Future(4732 [SFH98]),Future(4732 [SFH98]),-867499.9999999999
1998-01-26 21:00:00+00:00,-41,,1998-01-26 21:00:00+00:00,e4f614a0b3644d9b9f6df6b020db837c,109.484,Future(4750 [FVH98]),Future(4750 [FVH98]),4488844.0
1998-01-28 21:00:00+00:00,25,,1998-01-28 21:00:00+00:00,,2.001,Future(4705 [NGG98]),Future(4705 [NGG98]),-500250.0
1998-01-29 21:00:00+00:00,-83,,1998-01-29 21:00:00+00:00,a9981ef66e734443bcc14248900efe44,0.49,Future(4723 [HOH98]),Future(4723 [HOH98]),1708140.0
1998-01-29 21:00:00+00:00,68,,1998-01-29 21:00:00+00:00,a501fb1880ea433aaef6eab07d414458,0.484,Future(4709 [HOG98]),Future(4709 [HOG98]),-1382304.0
